source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD002870-Sample-11	Mus musculus	heart	healthy, hypertrophic	not available	male	9–12 weeks	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	not available	strain (A/J, BALB/cJ, C57BL/6J, CE/J, DBA/2J, FVB/NJ), condition (healthy, hypertrophic)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	600 ppm	dithiothreitol	iodoacetamide	orbitrap	C57_CTRL_Heart_Cyto_d00_A04.raw	v1.1.0	HAMLET-agentic v2.1.0	healthy, hypertrophic
PXD002870-Sample-12	Mus musculus	heart	healthy, hypertrophic	not available	male	9–12 weeks	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	not available	strain (A/J, BALB/cJ, C57BL/6J, CE/J, DBA/2J, FVB/NJ), condition (healthy, hypertrophic)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	600 ppm	dithiothreitol	iodoacetamide	orbitrap	C57_CTRL_Heart_Cyto_d01_A06.raw	v1.1.0	HAMLET-agentic v2.1.0	healthy, hypertrophic
PXD002870-Sample-13	Mus musculus	heart	healthy, hypertrophic	not available	male	9–12 weeks	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	not available	strain (A/J, BALB/cJ, C57BL/6J, CE/J, DBA/2J, FVB/NJ), condition (healthy, hypertrophic)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	600 ppm	dithiothreitol	iodoacetamide	orbitrap	C57_CTRL_Heart_Mito_d03_A11.raw	v1.1.0	HAMLET-agentic v2.1.0	healthy, hypertrophic
PXD002870-Sample-14	Mus musculus	heart	healthy, hypertrophic	not available	male	9–12 weeks	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	not available	strain (A/J, BALB/cJ, C57BL/6J, CE/J, DBA/2J, FVB/NJ), condition (healthy, hypertrophic)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	600 ppm	dithiothreitol	iodoacetamide	orbitrap	C57_CTRL_Heart_Mito_d14_A07.raw	v1.1.0	HAMLET-agentic v2.1.0	healthy, hypertrophic
PXD002870-Sample-15	Mus musculus	heart	healthy, hypertrophic	not available	male	9–12 weeks	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	not available	strain (A/J, BALB/cJ, C57BL/6J, CE/J, DBA/2J, FVB/NJ), condition (healthy, hypertrophic)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	600 ppm	dithiothreitol	iodoacetamide	orbitrap	C57_ISO_Heart_Cyto_d01_A06.raw	v1.1.0	HAMLET-agentic v2.1.0	healthy, hypertrophic
PXD002870-Sample-16	Mus musculus	heart	healthy, hypertrophic	not available	male	9–12 weeks	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	not available	strain (A/J, BALB/cJ, C57BL/6J, CE/J, DBA/2J, FVB/NJ), condition (healthy, hypertrophic)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	600 ppm	dithiothreitol	iodoacetamide	orbitrap	C57_ISO_Heart_Cyto_d03_A02.raw	v1.1.0	HAMLET-agentic v2.1.0	healthy, hypertrophic
PXD002870-Sample-17	Mus musculus	heart	healthy, hypertrophic	not available	male	9–12 weeks	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	not available	strain (A/J, BALB/cJ, C57BL/6J, CE/J, DBA/2J, FVB/NJ), condition (healthy, hypertrophic)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	600 ppm	dithiothreitol	iodoacetamide	orbitrap	CEJ_CTRL_Heart_Cyto_d03_A02.raw	v1.1.0	HAMLET-agentic v2.1.0	healthy, hypertrophic
PXD002870-Sample-18	Mus musculus	heart	healthy, hypertrophic	not available	male	9–12 weeks	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	not available	strain (A/J, BALB/cJ, C57BL/6J, CE/J, DBA/2J, FVB/NJ), condition (healthy, hypertrophic)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	600 ppm	dithiothreitol	iodoacetamide	orbitrap	CEJ_CTRL_Heart_Mito_d00_A12.raw	v1.1.0	HAMLET-agentic v2.1.0	healthy, hypertrophic
PXD002870-Sample-19	Mus musculus	heart	healthy, hypertrophic	not available	male	9–12 weeks	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	not available	strain (A/J, BALB/cJ, C57BL/6J, CE/J, DBA/2J, FVB/NJ), condition (healthy, hypertrophic)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	600 ppm	dithiothreitol	iodoacetamide	orbitrap	CEJ_CTRL_Heart_Mito_d05_A08.raw	v1.1.0	HAMLET-agentic v2.1.0	healthy, hypertrophic
PXD002870-Sample-20	Mus musculus	heart	healthy, hypertrophic	not available	male	9–12 weeks	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	not available	strain (A/J, BALB/cJ, C57BL/6J, CE/J, DBA/2J, FVB/NJ), condition (healthy, hypertrophic)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	600 ppm	dithiothreitol	iodoacetamide	orbitrap	CEJ_ISO_Heart_Nucl_d03_A13.raw	v1.1.0	HAMLET-agentic v2.1.0	healthy, hypertrophic
PXD002870-Sample-21	Mus musculus	heart	healthy, hypertrophic	not available	male	9–12 weeks	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	not available	strain (A/J, BALB/cJ, C57BL/6J, CE/J, DBA/2J, FVB/NJ), condition (healthy, hypertrophic)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	600 ppm	dithiothreitol	iodoacetamide	orbitrap	DBA_ISO_Heart_Cyto_d07_A05.raw	v1.1.0	HAMLET-agentic v2.1.0	healthy, hypertrophic
PXD002870-Sample-22	Mus musculus	heart	healthy, hypertrophic	not available	male	9–12 weeks	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	not available	strain (A/J, BALB/cJ, C57BL/6J, CE/J, DBA/2J, FVB/NJ), condition (healthy, hypertrophic)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	600 ppm	dithiothreitol	iodoacetamide	orbitrap	DBA_ISO_Heart_Nucl_d03_A14.raw	v1.1.0	HAMLET-agentic v2.1.0	healthy, hypertrophic
PXD002870-Sample-23	Mus musculus	heart	healthy, hypertrophic	not available	male	9–12 weeks	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	not available	strain (A/J, BALB/cJ, C57BL/6J, CE/J, DBA/2J, FVB/NJ), condition (healthy, hypertrophic)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	600 ppm	dithiothreitol	iodoacetamide	orbitrap	DBA_ISO_Heart_Nucl_d05_A17.raw	v1.1.0	HAMLET-agentic v2.1.0	healthy, hypertrophic
PXD002870-Sample-24	Mus musculus	heart	healthy, hypertrophic	not available	male	9–12 weeks	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	not available	strain (A/J, BALB/cJ, C57BL/6J, CE/J, DBA/2J, FVB/NJ), condition (healthy, hypertrophic)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	600 ppm	dithiothreitol	iodoacetamide	orbitrap	FVB_CTRL_Heart_Cyto_d00_A06.raw	v1.1.0	HAMLET-agentic v2.1.0	healthy, hypertrophic
PXD002870-Sample-25	Mus musculus	heart	healthy, hypertrophic	not available	male	9–12 weeks	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	not available	strain (A/J, BALB/cJ, C57BL/6J, CE/J, DBA/2J, FVB/NJ), condition (healthy, hypertrophic)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	600 ppm	dithiothreitol	iodoacetamide	orbitrap	FVB_CTRL_Heart_Cyto_d01_A05.raw	v1.1.0	HAMLET-agentic v2.1.0	healthy, hypertrophic
PXD002870-Sample-26	Mus musculus	heart	healthy, hypertrophic	not available	male	9–12 weeks	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	not available	strain (A/J, BALB/cJ, C57BL/6J, CE/J, DBA/2J, FVB/NJ), condition (healthy, hypertrophic)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	600 ppm	dithiothreitol	iodoacetamide	orbitrap	FVB_CTRL_Heart_Cyto_d03_A03.raw	v1.1.0	HAMLET-agentic v2.1.0	healthy, hypertrophic
PXD002870-Sample-27	Mus musculus	heart	healthy, hypertrophic	not available	male	9–12 weeks	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	not available	strain (A/J, BALB/cJ, C57BL/6J, CE/J, DBA/2J, FVB/NJ), condition (healthy, hypertrophic)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	600 ppm	dithiothreitol	iodoacetamide	orbitrap	FVB_CTRL_Heart_Nucl_d05_A14.raw	v1.1.0	HAMLET-agentic v2.1.0	healthy, hypertrophic
PXD002870-Sample-28	Mus musculus	heart	healthy, hypertrophic	not available	male	9–12 weeks	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	not available	strain (A/J, BALB/cJ, C57BL/6J, CE/J, DBA/2J, FVB/NJ), condition (healthy, hypertrophic)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	600 ppm	dithiothreitol	iodoacetamide	orbitrap	FVB_ISO_Heart_Cyto_d10_A05.raw	v1.1.0	HAMLET-agentic v2.1.0	healthy, hypertrophic
PXD002870-Sample-29	Mus musculus	heart	healthy, hypertrophic	not available	male	9–12 weeks	run 29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	not available	strain (A/J, BALB/cJ, C57BL/6J, CE/J, DBA/2J, FVB/NJ), condition (healthy, hypertrophic)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	600 ppm	dithiothreitol	iodoacetamide	orbitrap	FVB_ISO_Heart_Nucl_d03_A14.raw	v1.1.0	HAMLET-agentic v2.1.0	healthy, hypertrophic
PXD002870-Sample-30	Mus musculus	heart	healthy, hypertrophic	not available	male	9–12 weeks	run 30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	not available	strain (A/J, BALB/cJ, C57BL/6J, CE/J, DBA/2J, FVB/NJ), condition (healthy, hypertrophic)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	600 ppm	dithiothreitol	iodoacetamide	orbitrap	FVB_ISO_Heart_Nucl_d10_A13.raw	v1.1.0	HAMLET-agentic v2.1.0	healthy, hypertrophic
