source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms1 scan range]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD001725-Sample-11	Homo sapiens	lymph node	metastatic melanoma	melanoma cells	1	not available	not available	run 11	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Trypsin;AC=MS:1001251	6	3	not available	genomic subtype (pigmentation, high immune)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	1 Da	1 Da	dithiothreitol	iodoacetamide	350m/z-1800m/z	30 NCE	130708_M835_002.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD001725-Sample-12	Homo sapiens	lymph node	metastatic melanoma	melanoma cells	1	not available	not available	run 12	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Trypsin;AC=MS:1001251	6	3	not available	genomic subtype (pigmentation, high immune)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	1 Da	1 Da	dithiothreitol	iodoacetamide	350m/z-1800m/z	30 NCE	130708_M812_002.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD001725-Sample-13	Homo sapiens	lymph node	metastatic melanoma	melanoma cells	1	not available	not available	run 13	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Trypsin;AC=MS:1001251	6	3	not available	genomic subtype (pigmentation, high immune)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	1 Da	1 Da	dithiothreitol	iodoacetamide	350m/z-1800m/z	30 NCE	130708_M504_001.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD001725-Sample-14	Homo sapiens	lymph node	metastatic melanoma	melanoma cells	1	not available	not available	run 14	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Trypsin;AC=MS:1001251	6	3	not available	genomic subtype (pigmentation, high immune)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	1 Da	1 Da	dithiothreitol	iodoacetamide	350m/z-1800m/z	30 NCE	130708_M825_002.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD001725-Sample-15	Homo sapiens	lymph node	metastatic melanoma	melanoma cells	1	not available	not available	run 15	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Trypsin;AC=MS:1001251	6	3	not available	genomic subtype (pigmentation, high immune)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	1 Da	1 Da	dithiothreitol	iodoacetamide	350m/z-1800m/z	30 NCE	130708_M787_002.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD001725-Sample-16	Homo sapiens	lymph node	metastatic melanoma	melanoma cells	1	not available	not available	run 16	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Trypsin;AC=MS:1001251	6	3	not available	genomic subtype (pigmentation, high immune)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	1 Da	1 Da	dithiothreitol	iodoacetamide	350m/z-1800m/z	30 NCE	130708_M829_003.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD001725-Sample-17	Homo sapiens	lymph node	metastatic melanoma	melanoma cells	1	not available	not available	run 17	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Trypsin;AC=MS:1001251	6	3	not available	genomic subtype (pigmentation, high immune)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	1 Da	1 Da	dithiothreitol	iodoacetamide	350m/z-1800m/z	30 NCE	130708_M835_001.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD001725-Sample-18	Homo sapiens	lymph node	metastatic melanoma	melanoma cells	1	not available	not available	run 18	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Trypsin;AC=MS:1001251	6	3	not available	genomic subtype (pigmentation, high immune)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	1 Da	1 Da	dithiothreitol	iodoacetamide	350m/z-1800m/z	30 NCE	130708_M35_001.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD001725-Sample-19	Homo sapiens	lymph node	metastatic melanoma	melanoma cells	1	not available	not available	run 19	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Trypsin;AC=MS:1001251	6	3	not available	genomic subtype (pigmentation, high immune)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	1 Da	1 Da	dithiothreitol	iodoacetamide	350m/z-1800m/z	30 NCE	130708_M812_003.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD001725-Sample-20	Homo sapiens	lymph node	metastatic melanoma	melanoma cells	1	not available	not available	run 20	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Trypsin;AC=MS:1001251	6	3	not available	genomic subtype (pigmentation, high immune)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	1 Da	1 Da	dithiothreitol	iodoacetamide	350m/z-1800m/z	30 NCE	130708_M825_003.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD001725-Sample-21	Homo sapiens	lymph node	metastatic melanoma	melanoma cells	1	not available	not available	run 21	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Trypsin;AC=MS:1001251	6	3	not available	genomic subtype (pigmentation, high immune)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	1 Da	1 Da	dithiothreitol	iodoacetamide	350m/z-1800m/z	30 NCE	130708_M812_001.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD001725-Sample-22	Homo sapiens	lymph node	metastatic melanoma	melanoma cells	1	not available	not available	run 22	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Trypsin;AC=MS:1001251	6	3	not available	genomic subtype (pigmentation, high immune)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	1 Da	1 Da	dithiothreitol	iodoacetamide	350m/z-1800m/z	30 NCE	130708_M98_001.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD001725-Sample-23	Homo sapiens	lymph node	metastatic melanoma	melanoma cells	1	not available	not available	run 23	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Trypsin;AC=MS:1001251	6	3	not available	genomic subtype (pigmentation, high immune)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	1 Da	1 Da	dithiothreitol	iodoacetamide	350m/z-1800m/z	30 NCE	130708_M504_003.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD001725-Sample-24	Homo sapiens	lymph node	metastatic melanoma	melanoma cells	1	not available	not available	run 24	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Trypsin;AC=MS:1001251	6	3	not available	genomic subtype (pigmentation, high immune)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	1 Da	1 Da	dithiothreitol	iodoacetamide	350m/z-1800m/z	30 NCE	130708_M829_001.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD001725-Sample-25	Homo sapiens	lymph node	metastatic melanoma	melanoma cells	1	not available	not available	run 25	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Trypsin;AC=MS:1001251	6	3	not available	genomic subtype (pigmentation, high immune)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	1 Da	1 Da	dithiothreitol	iodoacetamide	350m/z-1800m/z	30 NCE	130708_M813_001.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD001725-Sample-26	Homo sapiens	lymph node	metastatic melanoma	melanoma cells	1	not available	not available	run 26	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Trypsin;AC=MS:1001251	6	3	not available	genomic subtype (pigmentation, high immune)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	1 Da	1 Da	dithiothreitol	iodoacetamide	350m/z-1800m/z	30 NCE	130708_M687_003.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD001725-Sample-27	Homo sapiens	lymph node	metastatic melanoma	melanoma cells	1	not available	not available	run 27	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Trypsin;AC=MS:1001251	6	3	not available	genomic subtype (pigmentation, high immune)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	1 Da	1 Da	dithiothreitol	iodoacetamide	350m/z-1800m/z	30 NCE	130708_M687_002.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD001725-Sample-28	Homo sapiens	lymph node	metastatic melanoma	melanoma cells	1	not available	not available	run 28	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Trypsin;AC=MS:1001251	6	3	not available	genomic subtype (pigmentation, high immune)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	1 Da	1 Da	dithiothreitol	iodoacetamide	350m/z-1800m/z	30 NCE	130708_M98_003.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD001725-Sample-29	Homo sapiens	lymph node	metastatic melanoma	melanoma cells	1	not available	not available	run 29	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Trypsin;AC=MS:1001251	6	3	not available	genomic subtype (pigmentation, high immune)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	1 Da	1 Da	dithiothreitol	iodoacetamide	350m/z-1800m/z	30 NCE	130708_M787_003.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD001725-Sample-30	Homo sapiens	lymph node	metastatic melanoma	melanoma cells	1	not available	not available	run 30	proteomic profiling by mass spectrometry	not available	label free sample	Q-Exactive	NT=Trypsin;AC=MS:1001251	6	3	not available	genomic subtype (pigmentation, high immune)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	1 Da	1 Da	dithiothreitol	iodoacetamide	350m/z-1800m/z	30 NCE	130708_M35_002.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
