source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD008840-Sample-12	homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	293T	not available	1	not available	not available	run 12	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	not available	6	1	not available	tissue type (tumor, nearby tissue)	6.1 ppm	orbitrap	GC066N_DGC_83874_E001201_F6_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-13	homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	293T	not available	1	not available	not available	run 13	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	not available	6	1	not available	tissue type (tumor, nearby tissue)	6.1 ppm	orbitrap	GC067N_DGC_83876_E001203_F6_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-14	homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	293T	not available	1	not available	not available	run 14	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	not available	6	1	not available	tissue type (tumor, nearby tissue)	6.1 ppm	orbitrap	GC076N_DGC_83962_E001404_F1_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-15	homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	293T	not available	1	not available	not available	run 15	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	not available	6	1	not available	tissue type (tumor, nearby tissue)	6.1 ppm	orbitrap	GC077T_DGC_83963_E001405_F4_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-16	homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	293T	not available	1	not available	not available	run 16	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (tumor, nearby tissue)	6.1 ppm	orbitrap	GC090N_DGC_85273_E015038_F4_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-17	homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	293T	not available	1	not available	not available	run 17	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	not available	6	1	not available	tissue type (tumor, nearby tissue)	6.1 ppm	orbitrap	GC091N_DGC_85347_E002675_F1_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-18	homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	293T	not available	1	not available	not available	run 18	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	not available	6	1	not available	tissue type (tumor, nearby tissue)	6.1 ppm	orbitrap	GC094T_DGC_85350_E002678_F5_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-19	homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	293T	not available	1	not available	not available	run 19	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	not available	6	1	not available	tissue type (tumor, nearby tissue)	6.1 ppm	orbitrap	GC101T_DGC_85297_E002499_F6_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-20	homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	293T	not available	1	not available	not available	run 20	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	not available	6	1	not available	tissue type (tumor, nearby tissue)	6.1 ppm	orbitrap	GC102T_DGC_85357_E002685_F4_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-21	homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	293T	not available	1	not available	not available	run 21	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	not available	6	1	not available	tissue type (tumor, nearby tissue)	6.1 ppm	orbitrap	GC103T_DGC_85358_E002686_F3_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-22	homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	293T	not available	1	not available	not available	run 22	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	not available	6	1	not available	tissue type (tumor, nearby tissue)	6.1 ppm	orbitrap	GC103T_DGC_85358_E002686_F6_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-23	homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	293T	not available	1	not available	not available	run 23	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	not available	6	1	not available	tissue type (tumor, nearby tissue)	6.1 ppm	orbitrap	GC104N_DGC_85299_E002501_F1_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-24	homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	293T	not available	1	not available	not available	run 24	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	not available	6	1	not available	tissue type (tumor, nearby tissue)	6.1 ppm	orbitrap	GC111N_DGC_85330_E002512_F1_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-25	homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	293T	not available	1	not available	not available	run 25	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (tumor, nearby tissue)	6.1 ppm	orbitrap	GC112T_DGC_85365_E002693_F5_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-26	homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	293T	not available	1	not available	not available	run 26	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	not available	6	1	not available	tissue type (tumor, nearby tissue)	6.1 ppm	orbitrap	GC114N_DGC_85334_E002516_F2_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-27	homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	293T	not available	1	not available	not available	run 27	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	not available	6	1	not available	tissue type (tumor, nearby tissue)	6.1 ppm	orbitrap	GC114N_DGC_85334_E002516_F5_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-28	homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	293T	not available	1	not available	not available	run 28	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	not available	6	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue type (tumor, nearby tissue)	6.1 ppm	orbitrap	GC117T_DGC_85369_E002697_F3_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-29	homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	293T	not available	1	not available	not available	run 29	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	not available	6	1	not available	tissue type (tumor, nearby tissue)	6.1 ppm	orbitrap	GC118N_DGC_85338_E002520_F2_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
PXD008840-Sample-30	homo sapiens	stomach	diffuse-type gastric cancer	tumor cells	293T	not available	1	not available	not available	run 30	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion, Orbitrap Fusion Lumos, Q Exactive Plus, Q Exactive HF	not available	6	1	not available	tissue type (tumor, nearby tissue)	6.1 ppm	orbitrap	GC118N_DGC_85338_E002520_F5_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	diffuse-type gastric cancer
