source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD018117-Sample-11	Homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins, including wild-type and catalytic dead mutants)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	qx017124.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-12	Homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins, including wild-type and catalytic dead mutants)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	qx017125.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-13	Homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins, including wild-type and catalytic dead mutants)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	qx017138.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-14	Homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins, including wild-type and catalytic dead mutants)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	qx017139.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-15	Homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins, including wild-type and catalytic dead mutants)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	qx017140.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-16	Homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins, including wild-type and catalytic dead mutants)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	qx017145.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-17	Homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins, including wild-type and catalytic dead mutants)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	qx017150.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-18	Homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins, including wild-type and catalytic dead mutants)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	qx017155.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-19	Homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins, including wild-type and catalytic dead mutants)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	qx017156.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-20	Homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins, including wild-type and catalytic dead mutants)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	qx017164.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-21	Homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins, including wild-type and catalytic dead mutants)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	qx017165.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-22	Homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins, including wild-type and catalytic dead mutants)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	qx017166.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-23	Homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins, including wild-type and catalytic dead mutants)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	qx017173.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-24	Homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins, including wild-type and catalytic dead mutants)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	qx017178.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-25	Homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins, including wild-type and catalytic dead mutants)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	qx017184.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-26	Homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins, including wild-type and catalytic dead mutants)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	qx017187.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-27	Homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins, including wild-type and catalytic dead mutants)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	qx017190.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-28	Homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins, including wild-type and catalytic dead mutants)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	qx017191.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-29	Homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins, including wild-type and catalytic dead mutants)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	qx017200.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-30	Homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins, including wild-type and catalytic dead mutants)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	qx017202.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-31	Homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 31	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins, including wild-type and catalytic dead mutants)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	qx017091.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-32	Homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 32	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins, including wild-type and catalytic dead mutants)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	qx017146.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-33	Homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins, including wild-type and catalytic dead mutants)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	qx017201.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-34	Homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 34	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins, including wild-type and catalytic dead mutants)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	qx017126.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-35	Homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 35	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins, including wild-type and catalytic dead mutants)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	qx017134.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-36	Homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 36	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins, including wild-type and catalytic dead mutants)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	qx017215.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-37	Homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 37	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins, including wild-type and catalytic dead mutants)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	qx017080.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-38	Homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 38	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins, including wild-type and catalytic dead mutants)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	qx017169.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-39	Homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 39	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins, including wild-type and catalytic dead mutants)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	qx017192.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-40	Homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 40	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins, including wild-type and catalytic dead mutants)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	qx017106.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD018117-Sample-41	Homo sapiens	kidney	not available	kidney cells	HEK-293T	not available	3	not available	not available	run 41	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	1	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	viral protein bait (26 different SARS-CoV-2 proteins, including wild-type and catalytic dead mutants)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	7 ppm	10 ppm	dithiothreitol	iodoacetamide	orbitrap	qx017152.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
