source name	assay name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[individual]	comment[proteomexchange accession number]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[cleavage agent details]	material type	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[technical replicate]	factor value[protocol]	factor value[staining]	sampleChecksum	sampleAccession
PXD006401-Sample 1	run 11	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	not available	mouse 1	1	PXD006401	11_FASP30k_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/11_FASP30k_3.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	11	FASP 30k	unstained	4623187eadf386ab606b126ec055810a4430b37a87b4d7304a6f5a46fa6df4ae	SAMEA7717432
PXD006401-Sample 1	run 12	mus musculus	kidney	not applicable	not applicable	6 month	male	not available	not available	mouse 1	1	PXD006401	12_FASP30k_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/12_FASP30k_4.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	12	FASP 30k	unstained	4623187eadf386ab606b126ec055810a4430b37a87b4d7304a6f5a46fa6df4ae	SAMEA7717432
PXD006401-Sample 2	run 13	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	human 1	2	PXD006401	1_HE1_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/1_HE1_1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	1	DTR	H&E	5d59cec2bfcad864005889efd4b7702d6fb0df18f969feff5bcefb7d9000210f	SAMEA7717433
PXD006401-Sample 2	run 14	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	human 1	2	PXD006401	2_HE1_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/2_HE1_2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	2	DTR	H&E	5d59cec2bfcad864005889efd4b7702d6fb0df18f969feff5bcefb7d9000210f	SAMEA7717433
PXD006401-Sample 3	run 15	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	human 2	3	PXD006401	9_HE2_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/9_HE2_1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	1	DTR	H&E	df7142012e146761fcb8629e6e91d44caeb6d2e3c925fde49a49df47ef3d9c26	SAMEA7717434
PXD006401-Sample 3	run 16	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	human 2	3	PXD006401	10_HE2_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/10_HE2_2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	2	DTR	H&E	df7142012e146761fcb8629e6e91d44caeb6d2e3c925fde49a49df47ef3d9c26	SAMEA7717434
PXD006401-Sample 4	run 17	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	human 1	2	PXD006401	3_hematoxylin1_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/3_hematoxylin1_1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	1	DTR	hematoxylin	93af114e1a006f42114bd614f6722eb3b6b62d5823373900f2626274b8fdf0a9	SAMEA7717435
PXD006401-Sample 4	run 18	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	human 1	2	PXD006401	4_hematoxylin1_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/4_hematoxylin1_2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	2	DTR	hematoxylin	93af114e1a006f42114bd614f6722eb3b6b62d5823373900f2626274b8fdf0a9	SAMEA7717435
PXD006401-Sample 5	run 19	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	human 2	3	PXD006401	11_hematoxylin2_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/11_hematoxylin2_1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	1	DTR	hematoxylin	9f60671986dc9c8e78d665140c7a356ce8c25188a86db141f2721417d257e73d	SAMEA7717436
PXD006401-Sample 5	run 20	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	human 2	3	PXD006401	12_hematoxylin2_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/12_hematoxylin2_2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	2	DTR	hematoxylin	9f60671986dc9c8e78d665140c7a356ce8c25188a86db141f2721417d257e73d	SAMEA7717436
PXD006401-Sample 6	run 21	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	human 1	2	PXD006401	5_hemalaun1_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/5_hemalaun1_1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	1	DTR	hemalum	d21560e26c3e3c8d61488bf9ca56f09fe813919031399bd857412e5d386947aa	SAMEA7717437
PXD006401-Sample 6	run 22	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	human 1	2	PXD006401	6_hemalaun1_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/6_hemalaun1_2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	2	DTR	hemalum	d21560e26c3e3c8d61488bf9ca56f09fe813919031399bd857412e5d386947aa	SAMEA7717437
PXD006401-Sample 7	run 23	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	human 2	3	PXD006401	13_hemalaun2_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/13_hemalaun2_1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	1	DTR	hemalum	57e558804c79c98c54322ed22ed56baf2bfc6385acadbb1e068208e070fb4cd7	SAMEA7717438
PXD006401-Sample 7	run 24	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	human 2	3	PXD006401	14_hemalaun2_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/14_hemalaun2_2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	2	DTR	hemalum	57e558804c79c98c54322ed22ed56baf2bfc6385acadbb1e068208e070fb4cd7	SAMEA7717438
PXD006401-Sample 8	run 25	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	human 1	2	PXD006401	7_unstained1_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/7_unstained1_1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	1	DTR	unstained	cbc9a0a6e2ef715952a36ceab92cf0abcaad26efdb62aa6f7feb843b807cda24	SAMEA7717439
PXD006401-Sample 8	run 26	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	human 1	2	PXD006401	8_unstained1_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/8_unstained1_2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	2	DTR	unstained	cbc9a0a6e2ef715952a36ceab92cf0abcaad26efdb62aa6f7feb843b807cda24	SAMEA7717439
PXD006401-Sample 9	run 27	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	human 2	3	PXD006401	15_unstained2_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/15_unstained2_1.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	1	DTR	unstained	7713e0092f636ae9c8c9bdd8da13167a535543d2811f35e78e5ea17df6d9c0fd	SAMEA7717440
PXD006401-Sample 9	run 28	homo sapiens	tonsil	not applicable	not available	not available	not available	not available	not available	human 2	3	PXD006401	16_unstained2_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2018/08/PXD006401/16_unstained2_2.raw	1	AC=MS:1002634;NT=Q Exactive Plus	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	Formalin-fixed paraffin-embedded tissue	AC=MS:1002038;NT=label free sample	20 ppm	4.5 ppm	2	DTR	unstained	7713e0092f636ae9c8c9bdd8da13167a535543d2811f35e78e5ea17df6d9c0fd	SAMEA7717440
