source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[alkylation reagent]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD002080-Sample-11	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 11	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-A6-3810-01A-22_W_VU_20121029_A0218_5E_R_FR07.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-12	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 12	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3529-01A-12_W_VU_20121203_A0218_7B_R_FR04.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-13	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 13	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-A6-3808-01A-22_W_VU_20121206_A0218_7D_R_FR12.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-14	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 14	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-A6-3810-01A-22_W_VU_20121029_A0218_5E_R_FR06.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-15	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 15	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-A6-3810-01A-22_W_VU_20121029_A0218_5E_R_FR11.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-16	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 16	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3552-01A-22_W_VU_20130126_A0218_9F_R_FR09.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-17	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 17	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3518-01A-11_W_VU_20120915_A0218_3F_R_FR01.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-18	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 18	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-A6-3810-01A-22_W_VU_20121029_A0218_5E_R_FR09.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-19	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 19	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-A6-3807-01A-22_W_VU_20121019_A0218_4I_R_FR06.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-20	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 20	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3529-01A-12_W_VU_20121203_A0218_7B_R_FR05.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-21	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 21	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-A6-3807-01A-22_W_VU_20121019_A0218_4I_R_FR01.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-22	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 22	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3518-01A-11_W_VU_20120916_A0218_3F_R_FR11.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-23	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 23	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-A6-3808-01A-22_W_VU_20121206_A0218_7D_R_FR02.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-24	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 24	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3518-01A-11_W_VU_20120916_A0218_3F_R_FR14.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-25	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 25	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3525-01A-12_W_VU_20121210_A0218_7F_R_FR03.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-26	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 26	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3529-01A-12_W_VU_20121203_A0218_7B_R_FR10.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-27	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 27	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3531-01A-22_W_VU_20130102_A0218_8G_R_FR09.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-28	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 28	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3518-01A-11_W_VU_20120915_A0218_3F_R_FR04.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-29	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 29	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3518-01A-11_W_VU_20120915_A0218_3F_R_FR03.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-30	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 30	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3531-01A-22_W_VU_20130101_A0218_8G_R_FR04.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-31	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 31	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3531-01A-22_W_VU_20130102_A0218_8G_R_FR11.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-32	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 32	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3529-01A-12_W_VU_20121204_A0218_7B_R_FR13.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-33	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 33	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3526-01A-11_W_VU_20130107_A0218_8J_R_FR15.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-34	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 34	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3534-01A-22_W_VU_20130208_A0218_10B_R_FR02.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-35	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 35	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3534-01A-22_W_VU_20130209_A0218_10B_R_FR14.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-36	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 36	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-A6-3810-01A-22_W_VU_20121029_A0218_5E_R_FR14.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-37	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 37	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3534-01A-22_W_VU_20130208_A0218_10B_R_FR05.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-38	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 38	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3526-01A-11_W_VU_20130106_A0218_8J_R_FR10.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-39	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 39	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-A6-3808-01A-22_W_VU_20121205_A0218_7D_R_FR01.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-40	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 40	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3518-01A-11_W_VU_20120916_A0218_3F_R_FR13.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-41	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 41	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3525-01A-12_W_VU_20121210_A0218_7F_R_FR06.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-42	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 42	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3525-01A-12_W_VU_20121210_A0218_7F_R_FR15.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-43	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 43	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3552-01A-22_W_VU_20130126_A0218_9F_R_FR15.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-44	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 44	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-A6-3810-01A-22_W_VU_20121029_A0218_5E_R_FR12.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-45	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 45	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-A6-3807-01A-22_W_VU_20121020_A0218_4I_R_FR13.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-46	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 46	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3531-01A-22_W_VU_20130101_A0218_8G_R_FR06.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-47	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 47	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3526-01A-11_W_VU_20130106_A0218_8J_R_FR06.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-48	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 48	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3552-01A-22_W_VU_20130126_A0218_9F_R_FR11.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-49	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 49	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3534-01A-22_W_VU_20130209_A0218_10B_R_FR10.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-50	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 50	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3552-01A-22_W_VU_20130126_A0218_9F_R_FR08.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-51	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 51	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3534-01A-22_W_VU_20130208_A0218_10B_R_FR04.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-52	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 52	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-AA-3531-01A-22_W_VU_20130101_A0218_8G_R_FR05.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
PXD002080-Sample-53	Homo sapiens	colon, rectum	colon cancer, rectal cancer	1	not available	not available	run 53	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Trypsin;AC=MS:1001251	15	1	not available	tissue type (colon tumor, rectal tumor, normal colon biopsy)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	iodoacetamide	TCGA-A6-3808-01A-22_W_VU_20121206_A0218_7D_R_FR05.raw	v1.1.0	HAMLET-agentic v0.1.0	colon cancer, rectal cancer
