source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD012143-Sample-11	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 11	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A25RW21_A1.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD012143-Sample-12	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 12	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A25RW23_A2.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD012143-Sample-13	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 13	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A26RW30_B6.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD012143-Sample-14	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 14	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A26RW35_B8.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD012143-Sample-15	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 15	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A26RW25_B3.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD012143-Sample-16	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 16	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A25RW35_A8.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD012143-Sample-17	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 17	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A26RW31_B6.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD012143-Sample-18	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 18	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A26RW32_B7.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD012143-Sample-19	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 19	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A25RW25_A3.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD012143-Sample-20	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 20	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A25RW33_A7.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD012143-Sample-21	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 21	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A26RW24_B3.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD012143-Sample-22	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 22	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A26RW21_B1.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD012143-Sample-23	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 23	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A25RW30_A6.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD012143-Sample-24	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 24	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A25RW34_A8.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD012143-Sample-25	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 25	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A26RW22_B2.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD012143-Sample-26	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 26	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A26RW27_B4.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD012143-Sample-27	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 27	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A26RW33_B7.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD012143-Sample-28	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 28	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A25RW32_A7.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD012143-Sample-29	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 29	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A25RW29_A5.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD012143-Sample-30	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 30	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A26RW28_B5.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD012143-Sample-31	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 31	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A25RW27_A4.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
PXD012143-Sample-32	P. falciparum	not available	malaria	schizonts, merozoites	not available	not available	45 h	run 32	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Fusion Lumos	not available	not available	not available	not available	treatment (DMSO, RAP), parasite line (ACβ-HA:loxP, PKAc-HA:loxP)	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	iodoacetamide	PAB9129A26RW20_B1.raw	v1.1.0	HAMLET-agentic v2.2.5	malaria
