source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[compound]	characteristics[phenotype]	characteristics[biological replicate]	comment[technical replicate]	comment[data file]	assay name	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]
PVT2	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	T3	ligand-binding domain mutant TRb (PV)	2	2	qe+2020_0173_6.2.raw	run 1	2	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
PVT2	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	T3	ligand-binding domain mutant TRb (PV)	2	2	qe+2020_0185_6.3.raw	run 1	3	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
TRV1	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	vehicle	wildtype TRb	1	1	qe+2020_0139_7.1.raw	run 1	1	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
TRV1	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	vehicle 	wildtype TRb	1	1	qe+2020_0143_7.2.raw	run 1	2	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
TRV1	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	vehicle	wildtype TRb	1	1	qe+2020_0141_7.3.raw	run 1	3	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
TRV2	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	vehicle	wildtype TRb	2	2	qe+2020_0146_8.1.raw	run 1	1	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
TRV2	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	vehicle 	wildtype TRb	2	2	qe+2020_0145_8.2.raw	run 1	2	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
TRV2	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	vehicle	wildtype TRb	2	2	qe+2020_0144_8.3.raw	run 1	3	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
TRT1	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	T3	wildtype TRb	1	1	qe+2020_0153_9.1.raw	run 1	1	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
TRT1	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	T3	wildtype TRb	1	1	qe+2020_0150_9.2.raw	run 1	2	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
TRT1	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	T3	wildtype TRb	1	1	qe+2020_0147_9.3.raw	run 1	3	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
TRT2	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	T3	wildtype TRb	2	2	qe+2020_0154_10.1.raw	run 1	1	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
TRT2	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	T3	wildtype TRb	2	2	qe+2020_0151_10.2.raw	run 1	2	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
TRT2	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	T3	wildtype TRb	2	2	qe+2020_0148_10.3.raw	run 1	3	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
GSV1	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	vehicle	DNA-binding domain mutant TRb	1	1	qe+2020_0155_11.1.raw	run 1	1	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
GSV1	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	vehicle 	DNA-binding domain mutant TRb	1	1	qe+2020_0152_11.2.raw	run 1	2	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
GSV1	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	vehicle	DNA-binding domain mutant TRb	1	1	qe+2020_0149_11.3.raw	run 1	3	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
GSV2	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	vehicle	DNA-binding domain mutant TRb	2	2	qe+2020_0164_12.1.raw	run 1	1	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
GSV2	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	vehicle 	DNA-binding domain mutant TRb	2	2	qe+2020_0161_12.2.raw	run 1	2	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
GSV2	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	vehicle	DNA-binding domain mutant TRb	2	2	qe+2020_0159_12.3.raw	run 1	3	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
GST1	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	T3	DNA-binding domain mutant TRb	1	1	qe+2020_0163_13.1.raw	run 1	1	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
GST1	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	T3	DNA-binding domain mutant TRb	1	1	qe+2020_0160_13.2.raw	run 1	2	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
GST1	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	T3	DNA-binding domain mutant TRb	1	1	qe+2020_0158_13.3.raw	run 1	3	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
GST2	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	T3	DNA-binding domain mutant TRb	2	2	qe+2020_0162_14.1.raw	run 1	1	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
GST2	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	T3	DNA-binding domain mutant TRb	2	2	qe+2020_0142_14.2.raw	run 1	2	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
GST2	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	T3	DNA-binding domain mutant TRb	2	2	qe+2020_0157_14.3.raw	run 1	3	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
EV1	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	none	empty vector	1	1	qe+2020_0174_1.1.raw	run 1	1	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
EV1	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	none	empty vector	1	1	qe+2020_0175_1.2.raw	run 1	2	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
EV1	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	none	empty vector	1	1	qe+2020_0167_1.3.raw	run 1	3	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
EV2	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	none	empty vector	2	2	qe+2020_0168_1.2.raw	run 1	1	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
EV2	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	none	empty vector	2	2	qe+2020_0169_2.2.raw	run 1	2	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
EV2	Homo sapiens	thyroid	thyroid epithelial cell	normal	Nthy-ORI	none	empty vector	2	2	qe+2020_0181_2.3.raw	run 1	3	label free sample	NT=Trypsin	NT= LTQ-Orbitrap
