source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD001468-Sample-11	Homo sapiens, Mus musculus	kidney	adenocarcinoma	epithelial cell	HEK293	not available	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	Open search, Closed search	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	b1931_293T_proteinID_11A_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.1.0	adenocarcinoma
PXD001468-Sample-12	Homo sapiens, Mus musculus	kidney	adenocarcinoma	epithelial cell	HEK293	not available	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	Open search, Closed search	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	b1932_293T_proteinID_12A_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.1.0	adenocarcinoma
PXD001468-Sample-13	Homo sapiens, Mus musculus	kidney	adenocarcinoma	epithelial cell	HEK293	not available	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	Open search, Closed search	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	b1937_293T_proteinID_01B_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.1.0	adenocarcinoma
PXD001468-Sample-14	Homo sapiens, Mus musculus	kidney	adenocarcinoma	epithelial cell	HEK293	not available	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	Open search, Closed search	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	b1938_293T_proteinID_02B_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.1.0	adenocarcinoma
PXD001468-Sample-15	Homo sapiens, Mus musculus	kidney	adenocarcinoma	epithelial cell	HEK293	not available	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	Open search, Closed search	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	b1939_293T_proteinID_03B_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.1.0	adenocarcinoma
PXD001468-Sample-16	Homo sapiens, Mus musculus	kidney	adenocarcinoma	epithelial cell	HEK293	not available	not available	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	Open search, Closed search	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	b1940_293T_proteinID_04B_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.1.0	adenocarcinoma
PXD001468-Sample-17	Homo sapiens, Mus musculus	kidney	adenocarcinoma	epithelial cell	HEK293	not available	not available	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	Open search, Closed search	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	b1941_293T_proteinID_05B_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.1.0	adenocarcinoma
PXD001468-Sample-18	Homo sapiens, Mus musculus	kidney	adenocarcinoma	epithelial cell	HEK293	not available	not available	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	Open search, Closed search	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	b1942_293T_proteinID_06B_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.1.0	adenocarcinoma
PXD001468-Sample-19	Homo sapiens, Mus musculus	kidney	adenocarcinoma	epithelial cell	HEK293	not available	not available	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	Open search, Closed search	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	b1943_293T_proteinID_07B_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.1.0	adenocarcinoma
PXD001468-Sample-20	Homo sapiens, Mus musculus	kidney	adenocarcinoma	epithelial cell	HEK293	not available	not available	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	Open search, Closed search	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	b1944_293T_proteinID_08B_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.1.0	adenocarcinoma
PXD001468-Sample-21	Homo sapiens, Mus musculus	kidney	adenocarcinoma	epithelial cell	HEK293	not available	not available	not available	not available	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	Open search, Closed search	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	b1945_293T_proteinID_09B_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.1.0	adenocarcinoma
PXD001468-Sample-22	Homo sapiens, Mus musculus	kidney	adenocarcinoma	epithelial cell	HEK293	not available	not available	not available	not available	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	Open search, Closed search	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	b1946_293T_proteinID_10B_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.1.0	adenocarcinoma
PXD001468-Sample-23	Homo sapiens, Mus musculus	kidney	adenocarcinoma	epithelial cell	HEK293	not available	not available	not available	not available	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	Open search, Closed search	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	b1947_293T_proteinID_11B_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.1.0	adenocarcinoma
PXD001468-Sample-24	Homo sapiens, Mus musculus	kidney	adenocarcinoma	epithelial cell	HEK293	not available	not available	not available	not available	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	Open search, Closed search	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	5 ppm	0.01 Da	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	b1948_293T_proteinID_12B_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.1.0	adenocarcinoma
