source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD008440-Sample-17	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_29_2.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-18	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_29ter_3.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-19	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_2ter_4.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-20	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_30_3.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-21	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_31_1.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-22	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_31_3.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-23	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_35_4.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-24	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_35ter_2.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-25	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_36qua_4.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-26	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_36ter_2.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-27	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_3A_4.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-28	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_3B_2.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-29	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_6_1.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-30	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_9_3.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-31	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 31	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_13bis_1.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-32	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 32	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_17_2.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-33	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_28_2.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
PXD008440-Sample-34	Homo sapiens	rectum	locally advanced non-metastatic rectal cancer	cancer cells	not available	not available	58.6 ± 11.1 years (31–75)	run 34	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment response (non-responders (NR), partial responders (PR), total responders (TR))	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	iodoacetamide	orbitrap	350m/z-1600m/z	35 NCE	VL_BX_12bis_3.raw	v1.1.0	HAMLET-agentic v2.1.0	locally advanced non-metastatic rectal cancer
