source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD017347-Sample-11	Rattus norvegicus	hippocampus	normal	not available	not available	P14, P21, and P30	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (co-IP, Mock)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Proline oxidation to 5-hydroxy-2-aminovaleric acid;AC=UNIMOD:1922;MT=Variable;TA=P	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	375m/z-1200m/z	Bert_181109_P0784_MR_CS_IP_TMT_fr1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD017347-Sample-12	Rattus norvegicus	hippocampus	normal	not available	not available	P14, P21, and P30	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (co-IP, Mock)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Proline oxidation to 5-hydroxy-2-aminovaleric acid;AC=UNIMOD:1922;MT=Variable;TA=P	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	375m/z-1200m/z	Bert_181109_P0784_MR_CS_IP_TMT_fr1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD017347-Sample-13	Rattus norvegicus	hippocampus	normal	not available	not available	P14, P21, and P30	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (co-IP, Mock)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Proline oxidation to 5-hydroxy-2-aminovaleric acid;AC=UNIMOD:1922;MT=Variable;TA=P	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	375m/z-1200m/z	Bert_181109_P0784_MR_CS_IP_TMT_fr1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD017347-Sample-14	Rattus norvegicus	hippocampus	normal	not available	not available	P14, P21, and P30	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (co-IP, Mock)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Proline oxidation to 5-hydroxy-2-aminovaleric acid;AC=UNIMOD:1922;MT=Variable;TA=P	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	375m/z-1200m/z	Bert_181109_P0784_MR_CS_IP_TMT_fr1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD017347-Sample-15	Rattus norvegicus	hippocampus	normal	not available	not available	P14, P21, and P30	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (co-IP, Mock)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Proline oxidation to 5-hydroxy-2-aminovaleric acid;AC=UNIMOD:1922;MT=Variable;TA=P	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	375m/z-1200m/z	Bert_181109_P0784_MR_CS_IP_TMT_fr1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD017347-Sample-16	Rattus norvegicus	hippocampus	normal	not available	not available	P14, P21, and P30	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (co-IP, Mock)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Proline oxidation to 5-hydroxy-2-aminovaleric acid;AC=UNIMOD:1922;MT=Variable;TA=P	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	375m/z-1200m/z	Bert_181109_P0784_MR_CS_IP_TMT_fr1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD017347-Sample-17	Rattus norvegicus	hippocampus	normal	not available	not available	P14, P21, and P30	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (co-IP, Mock)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Proline oxidation to 5-hydroxy-2-aminovaleric acid;AC=UNIMOD:1922;MT=Variable;TA=P	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	375m/z-1200m/z	Bert_181109_P0784_MR_CS_IP_TMT_fr1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD017347-Sample-18	Rattus norvegicus	hippocampus	normal	not available	not available	P14, P21, and P30	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (co-IP, Mock)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Proline oxidation to 5-hydroxy-2-aminovaleric acid;AC=UNIMOD:1922;MT=Variable;TA=P	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	375m/z-1200m/z	Bert_181109_P0784_MR_CS_IP_TMT_fr1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD017347-Sample-19	Rattus norvegicus	hippocampus	normal	not available	not available	P14, P21, and P30	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (co-IP, Mock)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Proline oxidation to 5-hydroxy-2-aminovaleric acid;AC=UNIMOD:1922;MT=Variable;TA=P	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	375m/z-1200m/z	Bert_181109_P0784_MR_CS_IP_TMT_fr1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD017347-Sample-20	Rattus norvegicus	hippocampus	normal	not available	not available	P14, P21, and P30	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (co-IP, Mock)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Proline oxidation to 5-hydroxy-2-aminovaleric acid;AC=UNIMOD:1922;MT=Variable;TA=P	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	375m/z-1200m/z	Bert_181109_P0784_MR_CS_IP_TMT_fr1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD017347-Sample-21	Rattus norvegicus	hippocampus	normal	not available	not available	P14, P21, and P30	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (co-IP, Mock)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Proline oxidation to 5-hydroxy-2-aminovaleric acid;AC=UNIMOD:1922;MT=Variable;TA=P	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	375m/z-1200m/z	Bert_181109_P0784_MR_CS_IP_TMT_fr2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD017347-Sample-22	Rattus norvegicus	hippocampus	normal	not available	not available	P14, P21, and P30	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (co-IP, Mock)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Proline oxidation to 5-hydroxy-2-aminovaleric acid;AC=UNIMOD:1922;MT=Variable;TA=P	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	375m/z-1200m/z	Bert_181109_P0784_MR_CS_IP_TMT_fr2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD017347-Sample-23	Rattus norvegicus	hippocampus	normal	not available	not available	P14, P21, and P30	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (co-IP, Mock)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Proline oxidation to 5-hydroxy-2-aminovaleric acid;AC=UNIMOD:1922;MT=Variable;TA=P	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	375m/z-1200m/z	Bert_181109_P0784_MR_CS_IP_TMT_fr2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD017347-Sample-24	Rattus norvegicus	hippocampus	normal	not available	not available	P14, P21, and P30	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (co-IP, Mock)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Proline oxidation to 5-hydroxy-2-aminovaleric acid;AC=UNIMOD:1922;MT=Variable;TA=P	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	375m/z-1200m/z	Bert_181109_P0784_MR_CS_IP_TMT_fr2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD017347-Sample-25	Rattus norvegicus	hippocampus	normal	not available	not available	P14, P21, and P30	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (co-IP, Mock)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Proline oxidation to 5-hydroxy-2-aminovaleric acid;AC=UNIMOD:1922;MT=Variable;TA=P	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	375m/z-1200m/z	Bert_181109_P0784_MR_CS_IP_TMT_fr2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD017347-Sample-26	Rattus norvegicus	hippocampus	normal	not available	not available	P14, P21, and P30	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (co-IP, Mock)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Proline oxidation to 5-hydroxy-2-aminovaleric acid;AC=UNIMOD:1922;MT=Variable;TA=P	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	375m/z-1200m/z	Bert_181109_P0784_MR_CS_IP_TMT_fr2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD017347-Sample-27	Rattus norvegicus	hippocampus	normal	not available	not available	P14, P21, and P30	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (co-IP, Mock)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Proline oxidation to 5-hydroxy-2-aminovaleric acid;AC=UNIMOD:1922;MT=Variable;TA=P	10 ppm	0.02 Da	dithiothreitol	chloroacetamide	orbitrap	375m/z-1200m/z	Bert_181109_P0784_MR_CS_IP_TMT_fr2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
