source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cultured cell]	assay name	comment[data file]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[instrument]	characteristics[enrichment method]	characteristics[enrichment process]	sampleChecksum	sampleAccession
PXD001558-sample 2 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC011	20120703_MLP_363211_TiO2ps124.raw	membrane	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	02288db74a45e2d575db1d4538692d46e5f4a62e6ec1d51b87cdcde8aa3563d4	SAMEA7714444
PXD001558-sample 2 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC011	20120229_MLP_333188_ps111TiO2.raw	cytoplasm	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	02288db74a45e2d575db1d4538692d46e5f4a62e6ec1d51b87cdcde8aa3563d4	SAMEA7714444
PXD001558-sample 2 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC011	20120326_MLP_333188_Tio2ps111.raw	cytoplasm	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	02288db74a45e2d575db1d4538692d46e5f4a62e6ec1d51b87cdcde8aa3563d4	SAMEA7714444
PXD001558-sample 2 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC011	20120823_MLP_363227_TiO2ps111.raw	cytoplasm	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	02288db74a45e2d575db1d4538692d46e5f4a62e6ec1d51b87cdcde8aa3563d4	SAMEA7714444
PXD001558-sample 2 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC011	20120229_MLP_333188_ps110ATiO2.raw	membrane	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	02288db74a45e2d575db1d4538692d46e5f4a62e6ec1d51b87cdcde8aa3563d4	SAMEA7714444
PXD001558-sample 2 cancer cells in monoculture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC011	20120703_MLP_363211_TiO2ps125.raw	cytoplasm	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	b3f349aee405eaafd883f77a1555854317b454b3472b4735732d44fc699a3d43	SAMEA7714445
PXD001558-sample 2 cancer cells in monoculture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC011	20120703_MLP_363211_TiO2ps124.raw	membrane	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	b3f349aee405eaafd883f77a1555854317b454b3472b4735732d44fc699a3d43	SAMEA7714445
PXD001558-sample 2 cancer cells in monoculture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC011	20120229_MLP_333188_ps111TiO2.raw	cytoplasm	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	b3f349aee405eaafd883f77a1555854317b454b3472b4735732d44fc699a3d43	SAMEA7714445
PXD001558-sample 2 cancer cells in monoculture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC011	20120326_MLP_333188_Tio2ps111.raw	cytoplasm	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	b3f349aee405eaafd883f77a1555854317b454b3472b4735732d44fc699a3d43	SAMEA7714445
PXD001558-sample 2 cancer cells in monoculture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC011	20120823_MLP_363227_TiO2ps111.raw	cytoplasm	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	b3f349aee405eaafd883f77a1555854317b454b3472b4735732d44fc699a3d43	SAMEA7714445
PXD001558-sample 2 cancer cells in monoculture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC011	20120229_MLP_333188_ps110ATiO2.raw	membrane	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	b3f349aee405eaafd883f77a1555854317b454b3472b4735732d44fc699a3d43	SAMEA7714445
PXD001558-sample 2 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC011	20120703_MLP_363211_TiO2ps125.raw	cytoplasm	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	a5cf9c1c4123d48cc7cff9657f0c6af7047e5b89175c2d8025ccc31e9c066d93	SAMEA7714446
PXD001558-sample 2 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC011	20120703_MLP_363211_TiO2ps124.raw	membrane	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	a5cf9c1c4123d48cc7cff9657f0c6af7047e5b89175c2d8025ccc31e9c066d93	SAMEA7714446
PXD001558-sample 2 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC011	20120229_MLP_333188_ps111TiO2.raw	cytoplasm	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	a5cf9c1c4123d48cc7cff9657f0c6af7047e5b89175c2d8025ccc31e9c066d93	SAMEA7714446
PXD001558-sample 2 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC011	20120326_MLP_333188_Tio2ps111.raw	cytoplasm	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	a5cf9c1c4123d48cc7cff9657f0c6af7047e5b89175c2d8025ccc31e9c066d93	SAMEA7714446
PXD001558-sample 2 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC011	20120823_MLP_363227_TiO2ps111.raw	cytoplasm	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	a5cf9c1c4123d48cc7cff9657f0c6af7047e5b89175c2d8025ccc31e9c066d93	SAMEA7714446
PXD001558-sample 2 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC011	20120229_MLP_333188_ps110ATiO2.raw	membrane	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	a5cf9c1c4123d48cc7cff9657f0c6af7047e5b89175c2d8025ccc31e9c066d93	SAMEA7714446
PXD001558-sample 3 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC012	20120703_MLP_363211_TiO2ps127.raw	cytoplasm	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	4576722c3e34999591ce86651dbe74c417380b5bd37549912ea53e84c9267df7	SAMEA7714447
PXD001558-sample 3 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC012	20120703_MLP_363211_TiO2ps126.raw	membrane	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	4576722c3e34999591ce86651dbe74c417380b5bd37549912ea53e84c9267df7	SAMEA7714447
PXD001558-sample 3 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC012	20120326_MLP_333188_Tio2ps113.raw	cytoplasm	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	4576722c3e34999591ce86651dbe74c417380b5bd37549912ea53e84c9267df7	SAMEA7714447
PXD001558-sample 3 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC012	20120326_MLP_333188_Tio2ps112.raw	membrane	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	4576722c3e34999591ce86651dbe74c417380b5bd37549912ea53e84c9267df7	SAMEA7714447
PXD001558-sample 3 cancer cells in monoculture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC012	20120703_MLP_363211_TiO2ps127.raw	cytoplasm	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	bbf1cb8a2faaf0bf8a896c363c33a244778dc2ff4ff7a3ebbbe8b1e6a3f03324	SAMEA7714448
PXD001558-sample 3 cancer cells in monoculture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC012	20120703_MLP_363211_TiO2ps126.raw	membrane	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	bbf1cb8a2faaf0bf8a896c363c33a244778dc2ff4ff7a3ebbbe8b1e6a3f03324	SAMEA7714448
PXD001558-sample 3 cancer cells in monoculture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC012	20120326_MLP_333188_Tio2ps113.raw	cytoplasm	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	bbf1cb8a2faaf0bf8a896c363c33a244778dc2ff4ff7a3ebbbe8b1e6a3f03324	SAMEA7714448
PXD001558-sample 3 cancer cells in monoculture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC012	20120326_MLP_333188_Tio2ps112.raw	membrane	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	bbf1cb8a2faaf0bf8a896c363c33a244778dc2ff4ff7a3ebbbe8b1e6a3f03324	SAMEA7714448
PXD001558-sample 3 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC012	20120703_MLP_363211_TiO2ps127.raw	cytoplasm	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	c111d922676a039e8d7bd0cb8b1ed944bd5c17d8e699fd00178c4571e6db5698	SAMEA7714449
PXD001558-sample 3 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC012	20120703_MLP_363211_TiO2ps126.raw	membrane	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	c111d922676a039e8d7bd0cb8b1ed944bd5c17d8e699fd00178c4571e6db5698	SAMEA7714449
PXD001558-sample 3 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC012	20120326_MLP_333188_Tio2ps113.raw	cytoplasm	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	c111d922676a039e8d7bd0cb8b1ed944bd5c17d8e699fd00178c4571e6db5698	SAMEA7714449
PXD001558-sample 3 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC012	20120326_MLP_333188_Tio2ps112.raw	membrane	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	c111d922676a039e8d7bd0cb8b1ed944bd5c17d8e699fd00178c4571e6db5698	SAMEA7714449
PXD001558-sample 4 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC013	20120703_MLP_363211_TiO2ps129.raw	cytoplasm	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	8b4c25da07a8bc2a9c32cbf14c6d94b394a86220f5dc66b6523a985487212d6e	SAMEA7714450
PXD001558-sample 4 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC013	20120703_MLP_363211_TiO2ps128.raw	membrane	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	8b4c25da07a8bc2a9c32cbf14c6d94b394a86220f5dc66b6523a985487212d6e	SAMEA7714450
PXD001558-sample 4 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC013	20120326_MLP_333188_Tio2ps115.raw	cytoplasm	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	8b4c25da07a8bc2a9c32cbf14c6d94b394a86220f5dc66b6523a985487212d6e	SAMEA7714450
PXD001558-sample 4 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC013	20120326_MLP_333188_Tio2ps114.raw	membrane	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	8b4c25da07a8bc2a9c32cbf14c6d94b394a86220f5dc66b6523a985487212d6e	SAMEA7714450
PXD001558-sample 4 cancer cells in monoculture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC013	20120703_MLP_363211_TiO2ps129.raw	cytoplasm	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	b689c176497559dfe27809061cba89af2e748706fbf36c0f5a7f9882afd6cbb9	SAMEA7714451
PXD001558-sample 4 cancer cells in monoculture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC013	20120703_MLP_363211_TiO2ps128.raw	membrane	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	b689c176497559dfe27809061cba89af2e748706fbf36c0f5a7f9882afd6cbb9	SAMEA7714451
PXD001558-sample 4 cancer cells in monoculture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC013	20120326_MLP_333188_Tio2ps115.raw	cytoplasm	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	b689c176497559dfe27809061cba89af2e748706fbf36c0f5a7f9882afd6cbb9	SAMEA7714451
PXD001558-sample 4 cancer cells in monoculture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	SILAC013	20120326_MLP_333188_Tio2ps114.raw	membrane	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	b689c176497559dfe27809061cba89af2e748706fbf36c0f5a7f9882afd6cbb9	SAMEA7714451
PXD001558-sample 4 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC013	20120703_MLP_363211_TiO2ps129.raw	cytoplasm	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	d62d26d25b18d6decaa869d52b7e90b77024f865b03e4d1a94c347027d647314	SAMEA7714452
PXD001558-sample 4 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC013	20120703_MLP_363211_TiO2ps128.raw	membrane	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	d62d26d25b18d6decaa869d52b7e90b77024f865b03e4d1a94c347027d647314	SAMEA7714452
PXD001558-sample 4 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC013	20120326_MLP_333188_Tio2ps115.raw	cytoplasm	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	d62d26d25b18d6decaa869d52b7e90b77024f865b03e4d1a94c347027d647314	SAMEA7714452
PXD001558-sample 4 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC013	20120326_MLP_333188_Tio2ps114.raw	membrane	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	d62d26d25b18d6decaa869d52b7e90b77024f865b03e4d1a94c347027d647314	SAMEA7714452
PXD001558-sample 5 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC014	20120516_psMLP119.raw	cytoplasm	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	none	enrichment of phosphorylated peptides	005d1e93c0ec6158300b33998ecd2b20a6b103d8c917791d4fb6139b0eee019e	SAMEA7714453
PXD001558-sample 5 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC014	20120601_psMLP118.raw	membrane	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	none	enrichment of phosphorylated peptides	005d1e93c0ec6158300b33998ecd2b20a6b103d8c917791d4fb6139b0eee019e	SAMEA7714453
PXD001558-sample 5 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC014	20120410_MLP_333195_TiO2ps117.raw	cytoplasm	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	b21305959e8d25082145f3e9730a0ed7a207c475a2881e26146dcf20aae1f469	
PXD001558-sample 5 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC014	20120410_MLP_333195_TiO2ps116.raw	membrane	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	b21305959e8d25082145f3e9730a0ed7a207c475a2881e26146dcf20aae1f469	
PXD001558-sample 6 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC015	20120802_MLP_363216_Tio2ps131.raw	cytoplasm	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	f373ffe3c38571416d24befc90e55e950fd68b3d86ea9ff482d8448e9f0dd796	SAMEA7714455
PXD001558-sample 6 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC015	20120802_MLP_363216_Tio2ps130.raw	membrane	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	f373ffe3c38571416d24befc90e55e950fd68b3d86ea9ff482d8448e9f0dd796	SAMEA7714455
PXD001558-sample 6 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC015	20120326_MLP_363207_Tio2ps121.raw	cytoplasm	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	f373ffe3c38571416d24befc90e55e950fd68b3d86ea9ff482d8448e9f0dd796	SAMEA7714455
PXD001558-sample 6 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC015	20120326_MLP_363207_Tio2ps120.raw	membrane	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	f373ffe3c38571416d24befc90e55e950fd68b3d86ea9ff482d8448e9f0dd796	SAMEA7714455
PXD001558-sample 7 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC016	20120823_MLP_363227_TiO2ps133.raw	cytoplasm	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	1e638091517d4d51929761613948c4ee906433b97b70906e4cd2213fa2201d1d	SAMEA7714456
PXD001558-sample 7 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC016	20120823_MLP_363227_TiO2ps132.raw	membrane	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	1e638091517d4d51929761613948c4ee906433b97b70906e4cd2213fa2201d1d	SAMEA7714456
PXD001558-sample 7 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC016	20120326_MLP_363207_Tio2ps123.raw	cytoplasm	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	1e638091517d4d51929761613948c4ee906433b97b70906e4cd2213fa2201d1d	SAMEA7714456
PXD001558-sample 7 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC016	20120326_MLP_363207_Tio2ps122.raw	membrane	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	1e638091517d4d51929761613948c4ee906433b97b70906e4cd2213fa2201d1d	SAMEA7714456
PXD001558-sample 5 endothelial cells in monoculture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC014	20120516_psMLP119.raw	cytoplasm	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	none	none	7a8dd39622b137a0cc99eb29e232f7da361cccd1c010996861d5d0cb1b44eaee	SAMEA7714457
PXD001558-sample 5 endothelial cells in monoculture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC014	20120601_psMLP118.raw	membrane	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	none	none	7a8dd39622b137a0cc99eb29e232f7da361cccd1c010996861d5d0cb1b44eaee	SAMEA7714457
PXD001558-sample 5 endothelial cells in monoculture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC014	20120410_MLP_333195_TiO2ps117.raw	cytoplasm	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	ecb67d4787ad339a3fa0f0dea66800d2cb480415ddf7eeaaa316088919f85dfb	
PXD001558-sample 5 endothelial cells in monoculture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC014	20120410_MLP_333195_TiO2ps116.raw	membrane	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	ecb67d4787ad339a3fa0f0dea66800d2cb480415ddf7eeaaa316088919f85dfb	
PXD001558-sample 6 endothelial cells in monoculture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	SILAC015	20120802_MLP_363216_Tio2ps131.raw	cytoplasm	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos	TIO2	enrichment of phosphorylated peptides	29d2458e4486a7b118ff3d3e2d2b09ee3a9bb41ca38968e29d0157d2b51d95e1	SAMEA7714459
