source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD003028-Sample-11	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_3_fractionated6.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-12	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_3_fractionated8.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-13	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_5_fractionated3.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-14	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_5_fractionated5.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-15	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_5_fractionated6.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-16	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_6_fractionated5.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-17	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_6_fractionated6.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-18	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_6_fractionated7.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-19	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_6_fractionated8.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-20	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_7_fractionated3.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-21	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_7_fractionated8.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-22	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_7m.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-23	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_8_fractionated2.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-24	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_8_fractionated6.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-25	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_8_fractionated7.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-26	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150513_QEp4_NiGr_SA_workflow_rep1.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-27	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150602_QEp3_NiGr_SA_saliva3_4_frac1.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-28	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150602_QEp3_NiGr_SA_saliva3_4_frac3.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-29	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150602_QEp3_NiGr_SA_saliva3_4_frac5.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-30	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150602_QEp3_NiGr_SA_saliva3_4_frac6.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-31	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 31	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_8m.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-32	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 32	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated4.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-33	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150513_QEp4_NiGr_SA_workflow_rep3.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-34	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 34	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_7_fractionated2.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-35	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 35	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_2_fractionated1.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-36	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 36	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_2_fractionated3.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-37	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 37	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_QC_SA_Saliva2_2.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-38	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 38	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_6.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-39	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 39	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_5m.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-40	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 40	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_5.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-41	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 41	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_5_fractionated1.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-42	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 42	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_8_fractionated8.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD003028-Sample-43	Homo sapiens	saliva	normal	8	not available	24 to 40 years	run 43	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	not available	8	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	time point (waking, post-prandial after tooth brushing)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	6.1 ppm	13 ppm	tris(2-carboxyethyl)phosphine	chloroacetamide	orbitrap	20150414_QEp1_LC7_NiGr_SA_Saliva_8_fractionated5.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
