Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[sex]	Characteristics[age]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[infect]	Characteristics[multiplicities of infection]	assay name	comment[label]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Material Type	Factor Value[time]	Factor Value[multiplicities of infection]	sampleChecksum	sampleAccession
PXD018594-Sample 11	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0.01	run 11	AC=MS:1002038;NT=label free sample	Q10461_MS20-17_CoV2_J1(MOI-01)r.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10461_MS20-17_CoV2_J1(MOI-01)r.raw	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable	5 ppm	0.02 Da	cell	1 day	0.01	53702ee66c4215dda4532690ad1ba150988d9ba823c75ab5f8b566629b31dd44	SAMEA7711806
PXD018594-Sample 12	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0.001	run 12	AC=MS:1002038;NT=label free sample	Q10462_MS20-17_CoV2_J1(MOI-001)r.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10462_MS20-17_CoV2_J1(MOI-001)r.raw	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable	5 ppm	0.02 Da	cell	2 day	0.001	576c39e1d3dba10886a6e9ea47a4ebcf2c5213a17c8afe8210811fa95d0a22dd	SAMEA7711807
PXD018594-Sample 13	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0.01	run 13	AC=MS:1002038;NT=label free sample	Q10463_MS20-17_CoV2_J2(MOI-01)r.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10463_MS20-17_CoV2_J2(MOI-01)r.raw	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable	5 ppm	0.02 Da	cell	2 days	0.01	7ce64fed22e1f0168a08ce96c835558bb70295e3a208293382879473107a32e0	SAMEA7711808
PXD018594-Sample 14	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0.001	run 14	AC=MS:1002038;NT=label free sample	Q10464_MS20-17_CoV2_J2(MOI-001)r.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10464_MS20-17_CoV2_J2(MOI-001)r.raw	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable	5 ppm	0.02 Da	cell	2 days	0.001	6a6f434b41a303bf50ab389b60347d00ff048e5d58af933811d22ffbe6406c24	SAMEA7711809
PXD018594-Sample 15	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0.01	run 15	AC=MS:1002038;NT=label free sample	Q10465_MS20-17_CoV2_J3(MOI-01)r.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10465_MS20-17_CoV2_J3(MOI-01)r.raw	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable	5 ppm	0.02 Da	cell	3 days	0.01	48a5c78e368972d8daa58cc2eb016947c363abb67c548192171cc069bc52f2c5	SAMEA7711810
PXD018594-Sample 16	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0.001	run 16	AC=MS:1002038;NT=label free sample	Q10466_MS20-17_CoV2_J3(MOI-001)r.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10466_MS20-17_CoV2_J3(MOI-001)r.raw	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable	5 ppm	0.02 Da	cell	3 days	0.001	1aa957fe9c36a2ba05281dbaad9f5679241eb283dbf8dd2f51becd52ec78c189	SAMEA7711811
PXD018594-Sample 17	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0.01	run 17	AC=MS:1002038;NT=label free sample	Q10467_MS20-17_CoV2_J4(MOI-01)r.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10467_MS20-17_CoV2_J4(MOI-01)r.raw	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable	5 ppm	0.02 Da	cell	4 days	0.01	de5fb26dd91c14269b055013209928acf3a087164df004d064fd113a064a4585	SAMEA7711812
PXD018594-Sample 18	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0.001	run 18	AC=MS:1002038;NT=label free sample	Q10468_MS20-17_CoV2_J4(MOI-001)r.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10468_MS20-17_CoV2_J4(MOI-001)r.raw	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable	5 ppm	0.02 Da	cell	4 days	0.001	ac6bf7ccba24d11e3ffb8d6a554afe36676a294242670f81d2e2185db726e3cd	SAMEA7711813
PXD018594-Sample 19	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0.01	run 19	AC=MS:1002038;NT=label free sample	Q10469_MS20-17_CoV2_J7(MOI-01)r.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10469_MS20-17_CoV2_J7(MOI-01)r.raw	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable	5 ppm	0.02 Da	cell	7 days	0.01	e0d385325eb4e0bcb6d680c7e4be1160f0f2df1deed887f9f548939942d8a190	SAMEA7711814
PXD018594-Sample 20	Chlorocebus sabaeus	kidney	not available	normal	not available	not available	epithelial	Vero E6	Severe acute respiratory syndrome coronavirus 2	0.001	run 20	AC=MS:1002038;NT=label free sample	Q10470_MS20-17_CoV2_J7(MOI-001)r.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/06/PXD018594/Q10470_MS20-17_CoV2_J7(MOI-001)r.raw	1	AC=MS:1001251;NT=Trypsin	NT=Q Exactive HF;AC=MS:1002523	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=fixed;TA=M;AC=UNIMOD:35	NT=Deamidated;AC=UNIMOD:7;TA=N,Q;MT=variable	5 ppm	0.02 Da	cell	7 days	0.001	6f6642c52a39767508c90fb4d8d11da3b55a0bb2678825d52ba1a5d855ab740b	SAMEA7711815
