source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD003668-Sample-11	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20131021_EXQ3_FaCo_SA_CL_ME180_B.raw	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
PXD003668-Sample-12	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20131022_EXQ3_FaCo_SA_CL_TYKNU_C.raw	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
PXD003668-Sample-13	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20131025_EXQ3_FaCo_SA_CL_IGROV1_A.raw	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
PXD003668-Sample-14	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20131029_EXQ3_FaCo_SA_CL_TYKNU_B.raw	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
PXD003668-Sample-15	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20140109_EXQ8_FaCo_SA_CL_KURAMOCHI_C.raw	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
PXD003668-Sample-16	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20140109_EXQ8_FaCo_SA_CL_SNU119_C.raw	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
PXD003668-Sample-17	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20140402_EXQ6_FaCo_SA_CL_PEO1_A.raw	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
PXD003668-Sample-18	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20140516_QEp3_FaCo_SA_CL_TYKNUCP_B.raw	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
PXD003668-Sample-19	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20140521_QEp4_FaCo_SA_PC_FTEC_1218.raw	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
PXD003668-Sample-20	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20140521_QEp4_FaCo_SA_PC_FTEC_1229.raw	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
PXD003668-Sample-21	Homo sapiens	ovary, fallopian tube	high-grade serous ovarian cancer	epithelial cell, mesenchymal cell, clear cell, fallopian tube epithelial cell, ovarian surface epithelial cell	OVKATE, SNU119, JHOS4, OVCAR3, COV318, OVSAHO, KURAMOCHI, CAOV3, OVCA433, JHOS2, PEO1, PEO4, OVCAR5, ME180, C13, OVISE, IGROV1, SKOV3IP1, IOSE-397, IOSE-7576, HEYA8, DOV13, 59M, TOV112D, TOV112DR, A2780, TYKNU	not available	not available	not available	not available	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line category (epithelial/group I, clear cell/group II, mesenchymal/group III)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	12 ppm	dithiothreitol	iodoacetamide	orbitrap	20140709_QEp3_FaCo_SA_CL_59M_C.raw	v1.1.0	HAMLET-agentic v2.1.0	high-grade serous ovarian cancer
