source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD012987-Sample-11	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03818.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-12	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03822.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-13	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03826.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-14	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03916.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-15	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03918.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-16	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03920.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-17	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03922.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-18	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03930.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-19	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04026.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-20	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04032.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-21	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04036.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-22	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04038.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-23	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04050.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-24	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04052.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-25	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04058.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-26	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04062.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-27	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04068.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-28	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04087.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-29	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04089.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-30	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04091.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-31	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 31	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03816.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-32	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 32	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03253.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-33	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04040.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-34	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 34	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04093.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-35	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 35	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF04074.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-36	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 36	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03802.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
PXD012987-Sample-37	Mus musculus	muscle	normal	myoblast	C2C12	not available	3	not available	not available	run 37	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	1	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	spike-in concentration (5 levels)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	7 ppm	8 ppm	orbitrap	350m/z-1400m/z	QExHF03824.raw	v1.1.0	HAMLET-agentic v0.1.0	normal
