source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD022741-Sample-12	saccharomyces cerevisiae	not available	not available	yeast	BY4742	not available	3	not available	11 time points over 33 h after inoculation	run 12	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	NT=collision-induced dissociation;AC=MS:1000133	time (11 time points over 33 h)	459.3 ppm	orbitrap	a11950.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-13	saccharomyces cerevisiae	not available	not available	yeast	BY4742	not available	3	not available	11 time points over 33 h after inoculation	run 13	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	time (11 time points over 33 h)	459.3 ppm	orbitrap	a11951.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-14	saccharomyces cerevisiae	not available	not available	yeast	BY4742	not available	3	not available	11 time points over 33 h after inoculation	run 14	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	time (11 time points over 33 h)	459.3 ppm	orbitrap	a11952.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-15	saccharomyces cerevisiae	not available	not available	yeast	BY4742	not available	3	not available	11 time points over 33 h after inoculation	run 15	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	NT=collision-induced dissociation;AC=MS:1000133	time (11 time points over 33 h)	459.3 ppm	orbitrap	a11953.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-16	saccharomyces cerevisiae	not available	not available	yeast	BY4742	not available	3	not available	11 time points over 33 h after inoculation	run 16	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	NT=collision-induced dissociation;AC=MS:1000133	time (11 time points over 33 h)	459.3 ppm	orbitrap	a11954.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-17	saccharomyces cerevisiae	not available	not available	yeast	BY4742	not available	3	not available	11 time points over 33 h after inoculation	run 17	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	NT=collision-induced dissociation;AC=MS:1000133	time (11 time points over 33 h)	459.3 ppm	orbitrap	a11955.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-18	saccharomyces cerevisiae	not available	not available	yeast	BY4742	not available	3	not available	11 time points over 33 h after inoculation	run 18	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	NT=collision-induced dissociation;AC=MS:1000133	time (11 time points over 33 h)	459.3 ppm	orbitrap	a11956.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-19	saccharomyces cerevisiae	not available	not available	yeast	BY4742	not available	3	not available	11 time points over 33 h after inoculation	run 19	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	NT=collision-induced dissociation;AC=MS:1000133	time (11 time points over 33 h)	459.3 ppm	orbitrap	a11957.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-20	saccharomyces cerevisiae	not available	not available	yeast	BY4742	not available	3	not available	11 time points over 33 h after inoculation	run 20	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	NT=collision-induced dissociation;AC=MS:1000133	time (11 time points over 33 h)	459.3 ppm	orbitrap	a11958.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-21	saccharomyces cerevisiae	not available	not available	yeast	BY4742	not available	3	not available	11 time points over 33 h after inoculation	run 21	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	NT=collision-induced dissociation;AC=MS:1000133	time (11 time points over 33 h)	459.3 ppm	orbitrap	a11959.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-22	saccharomyces cerevisiae	not available	not available	yeast	BY4742	not available	3	not available	11 time points over 33 h after inoculation	run 22	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	time (11 time points over 33 h)	459.3 ppm	orbitrap	a11960.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-23	saccharomyces cerevisiae	not available	not available	yeast	BY4742	not available	3	not available	11 time points over 33 h after inoculation	run 23	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	NT=collision-induced dissociation;AC=MS:1000133	time (11 time points over 33 h)	459.3 ppm	orbitrap	a11961.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-24	saccharomyces cerevisiae	not available	not available	yeast	BY4742	not available	3	not available	11 time points over 33 h after inoculation	run 24	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	NT=collision-induced dissociation;AC=MS:1000133	time (11 time points over 33 h)	459.3 ppm	orbitrap	a11963.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-25	saccharomyces cerevisiae	not available	not available	yeast	BY4742	not available	3	not available	11 time points over 33 h after inoculation	run 25	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	time (11 time points over 33 h)	459.3 ppm	orbitrap	a11964.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-26	saccharomyces cerevisiae	not available	not available	yeast	BY4742	not available	3	not available	11 time points over 33 h after inoculation	run 26	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	NT=collision-induced dissociation;AC=MS:1000133	time (11 time points over 33 h)	459.3 ppm	orbitrap	a11965.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-27	saccharomyces cerevisiae	not available	not available	yeast	BY4742	not available	3	not available	11 time points over 33 h after inoculation	run 27	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	time (11 time points over 33 h)	459.3 ppm	orbitrap	a11966.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-28	saccharomyces cerevisiae	not available	not available	yeast	BY4742	not available	3	not available	11 time points over 33 h after inoculation	run 28	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	NT=collision-induced dissociation;AC=MS:1000133	time (11 time points over 33 h)	459.3 ppm	orbitrap	a11968.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-29	saccharomyces cerevisiae	not available	not available	yeast	BY4742	not available	3	not available	11 time points over 33 h after inoculation	run 29	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	NT=collision-induced dissociation;AC=MS:1000133	time (11 time points over 33 h)	459.3 ppm	orbitrap	a11969.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD022741-Sample-30	saccharomyces cerevisiae	not available	not available	yeast	BY4742	not available	3	not available	11 time points over 33 h after inoculation	run 30	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	NT=collision-induced dissociation;AC=MS:1000133	time (11 time points over 33 h)	459.3 ppm	orbitrap	a11970.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
