source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD021678-Sample-11	Mus musculus, Homo sapiens, Saccharomyces cerevisiae	embryo	normal	mesenchymal cells, mouse embryonic stem cells, neural stem cells	C3H/10T1/2	not available	not available	not available	E11.5	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	RNA bait (P3, P4, a9 IRES180, 4xS1m control)	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=reduced 4-Hydroxynonenal;AC=UNIMOD:335;MT=?;TA=CHK	NT=Formylation;AC=UNIMOD:122;MT=?;TA=KST,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 40%	20150512_C10T12_IP_rep1.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD021678-Sample-12	Mus musculus, Homo sapiens, Saccharomyces cerevisiae	embryo	normal	mesenchymal cells, mouse embryonic stem cells, neural stem cells	C3H/10T1/2	not available	not available	not available	E11.5	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	RNA bait (P3, P4, a9 IRES180, 4xS1m control)	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=reduced 4-Hydroxynonenal;AC=UNIMOD:335;MT=?;TA=CHK	NT=Formylation;AC=UNIMOD:122;MT=?;TA=KST,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 40%	20150512_C10T12_IP_rep1.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD021678-Sample-13	Mus musculus, Homo sapiens, Saccharomyces cerevisiae	embryo	normal	mesenchymal cells, mouse embryonic stem cells, neural stem cells	C3H/10T1/2	not available	not available	not available	E11.5	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	RNA bait (P3, P4, a9 IRES180, 4xS1m control)	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=reduced 4-Hydroxynonenal;AC=UNIMOD:335;MT=?;TA=CHK	NT=Formylation;AC=UNIMOD:122;MT=?;TA=KST,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 40%	20150512_C10T12_IP_rep2.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD021678-Sample-14	Mus musculus, Homo sapiens, Saccharomyces cerevisiae	embryo	normal	mesenchymal cells, mouse embryonic stem cells, neural stem cells	C3H/10T1/2	not available	not available	not available	E11.5	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	RNA bait (P3, P4, a9 IRES180, 4xS1m control)	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=reduced 4-Hydroxynonenal;AC=UNIMOD:335;MT=?;TA=CHK	NT=Formylation;AC=UNIMOD:122;MT=?;TA=KST,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 40%	20150512_C10T12_IP_rep2.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD021678-Sample-15	Mus musculus, Homo sapiens, Saccharomyces cerevisiae	embryo	normal	mesenchymal cells, mouse embryonic stem cells, neural stem cells	C3H/10T1/2	not available	not available	not available	E11.5	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	RNA bait (P3, P4, a9 IRES180, 4xS1m control)	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=reduced 4-Hydroxynonenal;AC=UNIMOD:335;MT=?;TA=CHK	NT=Formylation;AC=UNIMOD:122;MT=?;TA=KST,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 40%	20150512_C10T12_IP_rep2.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD021678-Sample-16	Mus musculus, Homo sapiens, Saccharomyces cerevisiae	embryo	normal	mesenchymal cells, mouse embryonic stem cells, neural stem cells	C3H/10T1/2	not available	not available	not available	E11.5	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	RNA bait (P3, P4, a9 IRES180, 4xS1m control)	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=reduced 4-Hydroxynonenal;AC=UNIMOD:335;MT=?;TA=CHK	NT=Formylation;AC=UNIMOD:122;MT=?;TA=KST,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 40%	20150512_C10T12_IP_rep2.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD021678-Sample-17	Mus musculus, Homo sapiens, Saccharomyces cerevisiae	embryo	normal	mesenchymal cells, mouse embryonic stem cells, neural stem cells	C3H/10T1/2	not available	not available	not available	E11.5	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	RNA bait (P3, P4, a9 IRES180, 4xS1m control)	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=reduced 4-Hydroxynonenal;AC=UNIMOD:335;MT=?;TA=CHK	NT=Formylation;AC=UNIMOD:122;MT=?;TA=KST,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 40%	20150512_C10T12_IP_rep2.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD021678-Sample-18	Mus musculus, Homo sapiens, Saccharomyces cerevisiae	embryo	normal	mesenchymal cells, mouse embryonic stem cells, neural stem cells	C3H/10T1/2	not available	not available	not available	E11.5	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	RNA bait (P3, P4, a9 IRES180, 4xS1m control)	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=reduced 4-Hydroxynonenal;AC=UNIMOD:335;MT=?;TA=CHK	NT=Formylation;AC=UNIMOD:122;MT=?;TA=KST,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 40%	20150512_C10T12_IP_rep2.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD021678-Sample-19	Mus musculus, Homo sapiens, Saccharomyces cerevisiae	embryo	normal	mesenchymal cells, mouse embryonic stem cells, neural stem cells	C3H/10T1/2	not available	not available	not available	E11.5	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	RNA bait (P3, P4, a9 IRES180, 4xS1m control)	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=reduced 4-Hydroxynonenal;AC=UNIMOD:335;MT=?;TA=CHK	NT=Formylation;AC=UNIMOD:122;MT=?;TA=KST,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 40%	20170830_mouse-embryo-E11.5_TMT3.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD021678-Sample-20	Mus musculus, Homo sapiens, Saccharomyces cerevisiae	embryo	normal	mesenchymal cells, mouse embryonic stem cells, neural stem cells	C3H/10T1/2	not available	not available	not available	E11.5	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	RNA bait (P3, P4, a9 IRES180, 4xS1m control)	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=reduced 4-Hydroxynonenal;AC=UNIMOD:335;MT=?;TA=CHK	NT=Formylation;AC=UNIMOD:122;MT=?;TA=KST,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 40%	20170830_mouse-embryo-E11.5_TMT3.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD021678-Sample-21	Mus musculus, Homo sapiens, Saccharomyces cerevisiae	embryo	normal	mesenchymal cells, mouse embryonic stem cells, neural stem cells	C3H/10T1/2	not available	not available	not available	E11.5	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	RNA bait (P3, P4, a9 IRES180, 4xS1m control)	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=reduced 4-Hydroxynonenal;AC=UNIMOD:335;MT=?;TA=CHK	NT=Formylation;AC=UNIMOD:122;MT=?;TA=KST,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 40%	20170830_mouse-embryo-E11.5_TMT3.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD021678-Sample-22	Mus musculus, Homo sapiens, Saccharomyces cerevisiae	embryo	normal	mesenchymal cells, mouse embryonic stem cells, neural stem cells	C3H/10T1/2	not available	not available	not available	E11.5	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	RNA bait (P3, P4, a9 IRES180, 4xS1m control)	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=reduced 4-Hydroxynonenal;AC=UNIMOD:335;MT=?;TA=CHK	NT=Formylation;AC=UNIMOD:122;MT=?;TA=KST,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 40%	20170830_mouse-embryo-E11.5_TMT3.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD021678-Sample-23	Mus musculus, Homo sapiens, Saccharomyces cerevisiae	embryo	normal	mesenchymal cells, mouse embryonic stem cells, neural stem cells	C3H/10T1/2	not available	not available	not available	E11.5	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	RNA bait (P3, P4, a9 IRES180, 4xS1m control)	NT=TMT6plex-126 reporter+balance reagent acylated residue;AC=MOD:01720;MT=?	NT=Sixplex Tandem Mass Tag®;AC=UNIMOD:737;MT=?;TA=HKSTY,N-term	NT=reduced 4-Hydroxynonenal;AC=UNIMOD:335;MT=?;TA=CHK	NT=Formylation;AC=UNIMOD:122;MT=?;TA=KST,N-term	NT=Iodoacetamide derivative;AC=UNIMOD:4;MT=?;TA=CDEHKMSTUY,N-term	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 40%	20170830_mouse-embryo-E11.5_TMT3.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
