source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[ms2 mass analyzer]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD040176-Sample-11	Diplonema papillatum	not available	normal	mS49, mS63, mL46, mL76, mtPrA	not available	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion	NT=Trypsin;AC=MS:1001251	not available	not available	not available	tagged protein (mS49, mS63, mL46, mL76), control (wild-type, mtPrA)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	normalized collision energy at 30 V	OF_20210714_OEF_03.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD040176-Sample-12	Diplonema papillatum	not available	normal	mS49, mS63, mL46, mL76, mtPrA	not available	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion	NT=Trypsin;AC=MS:1001251	not available	not available	not available	tagged protein (mS49, mS63, mL46, mL76), control (wild-type, mtPrA)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	normalized collision energy at 30 V	OF_20210716_OEF_10.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD040176-Sample-13	Diplonema papillatum	not available	normal	mS49, mS63, mL46, mL76, mtPrA	not available	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion	NT=Trypsin;AC=MS:1001251	not available	not available	not available	tagged protein (mS49, mS63, mL46, mL76), control (wild-type, mtPrA)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	normalized collision energy at 30 V	OF_20210531_OEF_06.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD040176-Sample-14	Diplonema papillatum	not available	normal	mS49, mS63, mL46, mL76, mtPrA	not available	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion	NT=Trypsin;AC=MS:1001251	not available	not available	not available	tagged protein (mS49, mS63, mL46, mL76), control (wild-type, mtPrA)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	normalized collision energy at 30 V	OF_20210531_OEF_04.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD040176-Sample-15	Diplonema papillatum	not available	normal	mS49, mS63, mL46, mL76, mtPrA	not available	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion	NT=Trypsin;AC=MS:1001251	not available	not available	not available	tagged protein (mS49, mS63, mL46, mL76), control (wild-type, mtPrA)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	normalized collision energy at 30 V	OF_20210716_OEF_11.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD040176-Sample-16	Diplonema papillatum	not available	normal	mS49, mS63, mL46, mL76, mtPrA	not available	not available	not available	not available	run 16	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion	NT=Trypsin;AC=MS:1001251	not available	not available	not available	tagged protein (mS49, mS63, mL46, mL76), control (wild-type, mtPrA)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	normalized collision energy at 30 V	OF_20210716_OEF_01.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD040176-Sample-17	Diplonema papillatum	not available	normal	mS49, mS63, mL46, mL76, mtPrA	not available	not available	not available	not available	run 17	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion	NT=Trypsin;AC=MS:1001251	not available	not available	not available	tagged protein (mS49, mS63, mL46, mL76), control (wild-type, mtPrA)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	normalized collision energy at 30 V	OF_20210717_OEF_07.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD040176-Sample-18	Diplonema papillatum	not available	normal	mS49, mS63, mL46, mL76, mtPrA	not available	not available	not available	not available	run 18	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion	NT=Trypsin;AC=MS:1001251	not available	not available	not available	tagged protein (mS49, mS63, mL46, mL76), control (wild-type, mtPrA)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	normalized collision energy at 30 V	OF_20210716_OEF_12.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD040176-Sample-19	Diplonema papillatum	not available	normal	mS49, mS63, mL46, mL76, mtPrA	not available	not available	not available	not available	run 19	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion	NT=Trypsin;AC=MS:1001251	not available	not available	not available	tagged protein (mS49, mS63, mL46, mL76), control (wild-type, mtPrA)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	normalized collision energy at 30 V	OF_20210716_OEF_02.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD040176-Sample-20	Diplonema papillatum	not available	normal	mS49, mS63, mL46, mL76, mtPrA	not available	not available	not available	not available	run 20	proteomic profiling by mass spectrometry	not available	label free sample	Orbitrap Fusion	NT=Trypsin;AC=MS:1001251	not available	not available	not available	tagged protein (mS49, mS63, mL46, mL76), control (wild-type, mtPrA)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	normalized collision energy at 30 V	OF_20210531_OEF_05.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
