source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD005445-Sample-11	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp15-3547.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-12	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp15-3549.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-13	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp15-3551.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-14	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp15-3565.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-15	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp15-3600.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-16	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp15-3607.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-17	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp15-3623.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-18	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp15-3632.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-19	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp15-3640.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-20	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp15-3641.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-21	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp15-3643.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-22	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp15-3646.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-23	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp15-3650.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-24	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp16-1965_DFCd.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-25	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp16-1970_DFCd.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-26	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp16-2020_STRd.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-27	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp16-2086_HIPd.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-28	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp16-2101_V1Cd.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-29	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp16-2121_V1Cd.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-30	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp16-2146_CBCd.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-31	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 31	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp15-3149.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-32	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 32	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp15-3606.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-33	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp16-2055_HIPd.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-34	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 34	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp15-3611.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-35	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 35	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp15-3559.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD005445-Sample-36	Homo sapiens	brain	normal	not available	not available	one year post conception to 42 years	run 36	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	brain region (CBC, STR, MD, AMY, HIP, V1C, DFC), developmental age (1 to 42 years)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6 ppm	11 ppm	dithiothreitol	iodoacetamide	orbitrap	300m/z-1500m/z	QEp15-3621.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
