source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD011175-Sample-12	Homo sapiens	lymph node	malignant melanoma	3	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF-X	NT=Lys-C;AC=MS:1001309	7	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient tissue (3 different MM tissues), protein input amount (12.5–200 μg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	25 NCE	MM3_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD011175-Sample-13	Homo sapiens	lymph node	malignant melanoma	3	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF-X	NT=Lys-C;AC=MS:1001309	7	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient tissue (3 different MM tissues), protein input amount (12.5–200 μg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	25 NCE	MM3_R2.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD011175-Sample-14	Homo sapiens	lymph node	malignant melanoma	3	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF-X	NT=Lys-C;AC=MS:1001309	7	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient tissue (3 different MM tissues), protein input amount (12.5–200 μg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	25 NCE	MM_100ug_IMAC_Bravo_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD011175-Sample-15	Homo sapiens	lymph node	malignant melanoma	3	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF-X	NT=Lys-C;AC=MS:1001309	7	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient tissue (3 different MM tissues), protein input amount (12.5–200 μg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	25 NCE	MM_100ug_IMAC_Bravo_R2.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD011175-Sample-16	Homo sapiens	lymph node	malignant melanoma	3	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF-X	NT=Lys-C;AC=MS:1001309	7	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient tissue (3 different MM tissues), protein input amount (12.5–200 μg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	25 NCE	MM_100ug_IMAC_Bravo_R3.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD011175-Sample-17	Homo sapiens	lymph node	malignant melanoma	3	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF-X	NT=Lys-C;AC=MS:1001309	7	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient tissue (3 different MM tissues), protein input amount (12.5–200 μg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	25 NCE	MM_12ug_IMAC_Bravo_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD011175-Sample-18	Homo sapiens	lymph node	malignant melanoma	3	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF-X	NT=Lys-C;AC=MS:1001309	7	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient tissue (3 different MM tissues), protein input amount (12.5–200 μg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	25 NCE	MM_12ug_IMAC_Bravo_R2.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD011175-Sample-19	Homo sapiens	lymph node	malignant melanoma	3	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF-X	NT=Lys-C;AC=MS:1001309	7	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient tissue (3 different MM tissues), protein input amount (12.5–200 μg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	25 NCE	MM_12ug_IMAC_Bravo_R3.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD011175-Sample-20	Homo sapiens	lymph node	malignant melanoma	3	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF-X	NT=Lys-C;AC=MS:1001309	7	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient tissue (3 different MM tissues), protein input amount (12.5–200 μg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	25 NCE	MM_200ug_IMAC_Bravo_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD011175-Sample-21	Homo sapiens	lymph node	malignant melanoma	3	not available	not available	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF-X	NT=Lys-C;AC=MS:1001309	7	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient tissue (3 different MM tissues), protein input amount (12.5–200 μg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	25 NCE	MM_200ug_IMAC_Bravo_R2.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD011175-Sample-22	Homo sapiens	lymph node	malignant melanoma	3	not available	not available	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF-X	NT=Lys-C;AC=MS:1001309	7	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient tissue (3 different MM tissues), protein input amount (12.5–200 μg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	25 NCE	MM_200ug_IMAC_Bravo_R3.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD011175-Sample-23	Homo sapiens	lymph node	malignant melanoma	3	not available	not available	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF-X	NT=Lys-C;AC=MS:1001309	7	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient tissue (3 different MM tissues), protein input amount (12.5–200 μg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	25 NCE	MM_25ug_IMAC_Bravo_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD011175-Sample-24	Homo sapiens	lymph node	malignant melanoma	3	not available	not available	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF-X	NT=Lys-C;AC=MS:1001309	7	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient tissue (3 different MM tissues), protein input amount (12.5–200 μg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	25 NCE	MM_25ug_IMAC_Bravo_R2.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD011175-Sample-25	Homo sapiens	lymph node	malignant melanoma	3	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF-X	NT=Lys-C;AC=MS:1001309	7	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient tissue (3 different MM tissues), protein input amount (12.5–200 μg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	25 NCE	MM_25ug_IMAC_Bravo_R3.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD011175-Sample-26	Homo sapiens	lymph node	malignant melanoma	3	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF-X	NT=Lys-C;AC=MS:1001309	7	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient tissue (3 different MM tissues), protein input amount (12.5–200 μg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	25 NCE	MM_50ug_IMAC_Bravo_R1.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD011175-Sample-27	Homo sapiens	lymph node	malignant melanoma	3	not available	not available	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF-X	NT=Lys-C;AC=MS:1001309	7	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient tissue (3 different MM tissues), protein input amount (12.5–200 μg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	25 NCE	MM_50ug_IMAC_Bravo_R2.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
PXD011175-Sample-28	Homo sapiens	lymph node	malignant melanoma	3	not available	not available	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q Exactive, Q Exactive HF-X	NT=Lys-C;AC=MS:1001309	7	2	NT=beam-type collision-induced dissociation;AC=MS:1000422	patient tissue (3 different MM tissues), protein input amount (12.5–200 μg)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	7 ppm	8 ppm	dithiothreitol	iodoacetamide	orbitrap	25 NCE	MM_50ug_IMAC_Bravo_R3.raw	v1.1.0	HAMLET-agentic v0.1.0	malignant melanoma
