source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD003977-Sample-12	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_ET_F23F38_hybrid.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-13	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_ET_F25F40_hybrid.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-14	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	NT=collision-induced dissociation;AC=MS:1000133	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_ET_F25F40_uni.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-15	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_ET_F27_hybrid.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-16	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_ET_F36_hybrid.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-17	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_ET_F37_hybrid.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-18	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_ET_F40_hybrid_151219140953.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-19	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_E_F14F29_hybrid.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-20	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_E_F17F32_hybrid.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-21	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_E_F20F35_hybrid.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-22	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_E_F23F38_hybrid.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-23	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_E_F23F38_uni.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-24	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_E_F24F39_uni.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-25	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_Trypsin_F13F28_hybrid.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-26	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	NT=collision-induced dissociation;AC=MS:1000133	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_Trypsin_F16F31_uni.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-27	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	NT=collision-induced dissociation;AC=MS:1000133	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_Trypsin_F17F32_uni.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-28	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	NT=collision-induced dissociation;AC=MS:1000133	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_Trypsin_F22F37_uni.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-29	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_Trypsin_F23F38_hybrid.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-30	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	NT=collision-induced dissociation;AC=MS:1000133	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_Trypsin_F24F39_uni.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-31	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 31	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_ET_F17F32_uni.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-32	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 32	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_ET_F39_hybrid.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-33	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_ET_F23F38_uni.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-34	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 34	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_Trypsin_F26F41_uni.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-35	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 35	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_ET_F19F34_uni.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-36	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 36	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_Trypsin_F21F36_hybrid.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-37	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 37	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_ET_F25_hybrid.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-38	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 38	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_E_F12F27_uni.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-39	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 39	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_ET_F20_hybrid.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-40	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 40	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_ET_F21F36_uni.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-41	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 41	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_Trypsin_F14F29_uni.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-42	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 42	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_Trypsin_F16F31_hybrid.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-43	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 43	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_ET_F35_hybrid.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-44	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 44	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_Trypsin_F19F34_hybrid.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-45	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 45	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_E_F14F29_uni.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-46	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 46	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_Trypsin_F21F36_uni.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
PXD003977-Sample-47	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF-7	not available	1	not available	not available	run 47	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=Trypsin;AC=MS:1001251	30	3	not available	protease (trypsin, elastase, Post Digest Mix), acquisition method (CHOPIN, Universal Method)	not available	7 ppm	orbitrap	FL0026_RFI_261114_Deep_High_Trypsin_F13F28_uni.raw	v1.1.0	HAMLET-agentic v0.1.0	breast carcinoma
