source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD010603-Sample-11	homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 11	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (tangle density)	6 ppm	orbitrap	20171018_JMM_MFG146_6.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-12	homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 12	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (tangle density)	6 ppm	orbitrap	20171018_JMM_STG146_8.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-13	homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 13	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (tangle density)	6 ppm	orbitrap	20171019_JMM_T146_9.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-14	homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 14	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (tangle density)	6 ppm	orbitrap	20171025_JMM_VC146_1.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-15	homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 15	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (tangle density)	6 ppm	orbitrap	20171025_JMM_VC146_10.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-16	homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 16	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (tangle density)	6 ppm	orbitrap	20171025_JMM_VC146_6.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-17	homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 17	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (tangle density)	6 ppm	orbitrap	20171026_JMM_C383_9.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-18	homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 18	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (tangle density)	6 ppm	orbitrap	20171026_JMM_CN383_1.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-19	homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 19	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (tangle density)	6 ppm	orbitrap	20171026_JMM_CN383_11.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-20	homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 20	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (tangle density)	6 ppm	orbitrap	20171026_JMM_CN383_8.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-21	homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 21	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (tangle density)	6 ppm	orbitrap	20171101_JMM_MFG383_8.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-22	homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 22	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (tangle density)	6 ppm	orbitrap	20171103_JMM_A405_2.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-23	homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 23	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (tangle density)	6 ppm	orbitrap	20171103_JMM_VC383_11.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-24	homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 24	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (tangle density)	6 ppm	orbitrap	20171113_JMM_CN405_5.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-25	homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 25	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (tangle density)	6 ppm	orbitrap	20171114_JMM_EC405_12.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-26	homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 26	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (tangle density)	6 ppm	orbitrap	20171114_JMM_IPL405_6.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-27	homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 27	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (tangle density)	6 ppm	orbitrap	20171116_JMM_STG405_1.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-28	homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 28	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (tangle density)	6 ppm	orbitrap	20171116_JMM_STG405_8.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-29	homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 29	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (tangle density)	6 ppm	orbitrap	20171117_JMM_T405_6.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
PXD010603-Sample-30	homo sapiens	brain	alzheimer’s disease, healthy	neuron	3	not available	aged	run 30	proteomic profiling by mass spectrometry	data-dependent acquisition	TMTpro126C	Orbitrap Fusion Lumos	not available	12	1	not available	brain region (AMY, CNC, CBM, ECX, IPL, MFG, STG, THA, VCX), disease progression (tangle density)	6 ppm	orbitrap	20171117_JMM_VC405_2.raw	v1.1.0	HAMLET-agentic v0.1.0	alzheimer’s disease, healthy
