source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD018357-Sample-11	homo sapiens	colon	colorectal carcinoma	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 11	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion Lumos	not available	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, SARS-CoV-2 infected)	6 ppm	orbitrap	20200317_KKL_CoV2_24h_5v5_F1_20200318175539.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD018357-Sample-12	homo sapiens	colon	colorectal carcinoma	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 12	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion Lumos	not available	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, SARS-CoV-2 infected)	6 ppm	orbitrap	20200317_KKL_CoV2_24h_5v5_F20.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD018357-Sample-13	homo sapiens	colon	colorectal carcinoma	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 13	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion Lumos	not available	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, SARS-CoV-2 infected)	6 ppm	orbitrap	20200317_KKL_CoV2_24h_5v5_F21.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD018357-Sample-14	homo sapiens	colon	colorectal carcinoma	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 14	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion Lumos	not available	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, SARS-CoV-2 infected)	6 ppm	orbitrap	20200317_KKL_CoV2_24h_5v5_F22.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD018357-Sample-15	homo sapiens	colon	colorectal carcinoma	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 15	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion Lumos	not available	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, SARS-CoV-2 infected)	6 ppm	orbitrap	20200317_KKL_CoV2_24h_5v5_F23.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD018357-Sample-16	homo sapiens	colon	colorectal carcinoma	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 16	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion Lumos	not available	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, SARS-CoV-2 infected)	6 ppm	orbitrap	20200317_KKL_CoV2_24h_5v5_F24.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD018357-Sample-17	homo sapiens	colon	colorectal carcinoma	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 17	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion Lumos	not available	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, SARS-CoV-2 infected)	6 ppm	orbitrap	20200317_KKL_CoV2_24h_5v5_F2_20200318195837.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD018357-Sample-18	homo sapiens	colon	colorectal carcinoma	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 18	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion Lumos	not available	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, SARS-CoV-2 infected)	6 ppm	orbitrap	20200317_KKL_CoV2_24h_5v5_F3.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD018357-Sample-19	homo sapiens	colon	colorectal carcinoma	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 19	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion Lumos	not available	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, SARS-CoV-2 infected)	6 ppm	orbitrap	20200317_KKL_CoV2_24h_5v5_F4.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD018357-Sample-20	homo sapiens	colon	colorectal carcinoma	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 20	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion Lumos	not available	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, SARS-CoV-2 infected)	6 ppm	orbitrap	20200317_KKL_CoV2_24h_5v5_F5.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD018357-Sample-21	homo sapiens	colon	colorectal carcinoma	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 21	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion Lumos	not available	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, SARS-CoV-2 infected)	6 ppm	orbitrap	20200317_KKL_CoV2_24h_5v5_F6.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD018357-Sample-22	homo sapiens	colon	colorectal carcinoma	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 22	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion Lumos	not available	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, SARS-CoV-2 infected)	6 ppm	orbitrap	20200317_KKL_CoV2_24h_5v5_F7.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD018357-Sample-23	homo sapiens	colon	colorectal carcinoma	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 23	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion Lumos	not available	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, SARS-CoV-2 infected)	6 ppm	orbitrap	20200317_KKL_CoV2_24h_5v5_F8.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD018357-Sample-24	homo sapiens	colon	colorectal carcinoma	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 24	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion Lumos	not available	1	1	NT=collision-induced dissociation;AC=MS:1000133	infection status (mock-infected, SARS-CoV-2 infected)	6 ppm	orbitrap	20200317_KKL_CoV2_24h_5v5_F9.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD018357-Sample-25	homo sapiens	colon	colorectal carcinoma	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 25	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion Lumos	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	infection status (mock-infected, SARS-CoV-2 infected)	6 ppm	orbitrap	20200317_KKL_CoV2_Phospho_F1.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD018357-Sample-26	homo sapiens	colon	colorectal carcinoma	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 26	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion Lumos	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	infection status (mock-infected, SARS-CoV-2 infected)	6 ppm	orbitrap	20200317_KKL_CoV2_Phospho_F2.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD018357-Sample-27	homo sapiens	colon	colorectal carcinoma	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 27	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion Lumos	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	infection status (mock-infected, SARS-CoV-2 infected)	6 ppm	orbitrap	20200317_KKL_CoV2_Phospho_F3.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
PXD018357-Sample-28	homo sapiens	colon	colorectal carcinoma	epithelial cell	Caco-2, UKF-RC-2	not available	10	not available	not available	run 28	proteomic profiling by mass spectrometry	data-dependent acquisition	not available	Orbitrap Fusion Lumos	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	infection status (mock-infected, SARS-CoV-2 infected)	6 ppm	orbitrap	20200317_KKL_CoV2_Phospho_F4.raw	v1.1.0	HAMLET-agentic v0.1.0	colorectal carcinoma
