source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD045770-Sample-11	Homo sapiens, Mus musculus	adipose	simpson-golabi-behmel syndrome type 1	adipocyte	SGBS, 3T3-L1	not available	3	male	not available	run 2	proteomic profiling by mass spectrometry	not available	TMT126	Q Exactive HF Hybrid Quadrupole Orbitrap mass spectrometer	not available	2	1	not available	cell line (SGBS, 3T3-L1), differentiation stage (preadipocytes, immature, mature)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	Mix1_SGBS_F1.raw	v1.1.0	HAMLET-agentic v0.1.0	simpson-golabi-behmel syndrome type 1
PXD045770-Sample-12	Homo sapiens, Mus musculus	adipose	simpson-golabi-behmel syndrome type 1	adipocyte	SGBS, 3T3-L1	not available	3	male	not available	run 2	proteomic profiling by mass spectrometry	not available	TMT127N	Q Exactive HF Hybrid Quadrupole Orbitrap mass spectrometer	not available	2	1	not available	cell line (SGBS, 3T3-L1), differentiation stage (preadipocytes, immature, mature)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	Mix1_SGBS_F1.raw	v1.1.0	HAMLET-agentic v0.1.0	simpson-golabi-behmel syndrome type 1
PXD045770-Sample-13	Homo sapiens, Mus musculus	adipose	simpson-golabi-behmel syndrome type 1	adipocyte	SGBS, 3T3-L1	not available	3	male	not available	run 2	proteomic profiling by mass spectrometry	not available	TMT127C	Q Exactive HF Hybrid Quadrupole Orbitrap mass spectrometer	not available	2	1	not available	cell line (SGBS, 3T3-L1), differentiation stage (preadipocytes, immature, mature)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	Mix1_SGBS_F1.raw	v1.1.0	HAMLET-agentic v0.1.0	simpson-golabi-behmel syndrome type 1
PXD045770-Sample-14	Homo sapiens, Mus musculus	adipose	simpson-golabi-behmel syndrome type 1	adipocyte	SGBS, 3T3-L1	not available	3	male	not available	run 2	proteomic profiling by mass spectrometry	not available	TMT128N	Q Exactive HF Hybrid Quadrupole Orbitrap mass spectrometer	not available	2	1	not available	cell line (SGBS, 3T3-L1), differentiation stage (preadipocytes, immature, mature)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	Mix1_SGBS_F1.raw	v1.1.0	HAMLET-agentic v0.1.0	simpson-golabi-behmel syndrome type 1
PXD045770-Sample-15	Homo sapiens, Mus musculus	adipose	simpson-golabi-behmel syndrome type 1	adipocyte	SGBS, 3T3-L1	not available	3	male	not available	run 2	proteomic profiling by mass spectrometry	not available	TMT128C	Q Exactive HF Hybrid Quadrupole Orbitrap mass spectrometer	not available	2	1	not available	cell line (SGBS, 3T3-L1), differentiation stage (preadipocytes, immature, mature)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	Mix1_SGBS_F1.raw	v1.1.0	HAMLET-agentic v0.1.0	simpson-golabi-behmel syndrome type 1
PXD045770-Sample-16	Homo sapiens, Mus musculus	adipose	simpson-golabi-behmel syndrome type 1	adipocyte	SGBS, 3T3-L1	not available	3	male	not available	run 2	proteomic profiling by mass spectrometry	not available	TMT129N	Q Exactive HF Hybrid Quadrupole Orbitrap mass spectrometer	not available	2	1	not available	cell line (SGBS, 3T3-L1), differentiation stage (preadipocytes, immature, mature)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	Mix1_SGBS_F1.raw	v1.1.0	HAMLET-agentic v0.1.0	simpson-golabi-behmel syndrome type 1
PXD045770-Sample-17	Homo sapiens, Mus musculus	adipose	simpson-golabi-behmel syndrome type 1	adipocyte	SGBS, 3T3-L1	not available	3	male	not available	run 2	proteomic profiling by mass spectrometry	not available	TMT129C	Q Exactive HF Hybrid Quadrupole Orbitrap mass spectrometer	not available	2	1	not available	cell line (SGBS, 3T3-L1), differentiation stage (preadipocytes, immature, mature)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	Mix1_SGBS_F1.raw	v1.1.0	HAMLET-agentic v0.1.0	simpson-golabi-behmel syndrome type 1
PXD045770-Sample-18	Homo sapiens, Mus musculus	adipose	simpson-golabi-behmel syndrome type 1	adipocyte	SGBS, 3T3-L1	not available	3	male	not available	run 2	proteomic profiling by mass spectrometry	not available	TMT130N	Q Exactive HF Hybrid Quadrupole Orbitrap mass spectrometer	not available	2	1	not available	cell line (SGBS, 3T3-L1), differentiation stage (preadipocytes, immature, mature)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	Mix1_SGBS_F1.raw	v1.1.0	HAMLET-agentic v0.1.0	simpson-golabi-behmel syndrome type 1
PXD045770-Sample-19	Homo sapiens, Mus musculus	adipose	simpson-golabi-behmel syndrome type 1	adipocyte	SGBS, 3T3-L1	not available	3	male	not available	run 2	proteomic profiling by mass spectrometry	not available	TMT130C	Q Exactive HF Hybrid Quadrupole Orbitrap mass spectrometer	not available	2	1	not available	cell line (SGBS, 3T3-L1), differentiation stage (preadipocytes, immature, mature)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	Mix1_SGBS_F1.raw	v1.1.0	HAMLET-agentic v0.1.0	simpson-golabi-behmel syndrome type 1
PXD045770-Sample-20	Homo sapiens, Mus musculus	adipose	simpson-golabi-behmel syndrome type 1	adipocyte	SGBS, 3T3-L1	not available	3	male	not available	run 2	proteomic profiling by mass spectrometry	not available	TMT131	Q Exactive HF Hybrid Quadrupole Orbitrap mass spectrometer	not available	2	1	not available	cell line (SGBS, 3T3-L1), differentiation stage (preadipocytes, immature, mature)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	Mix1_SGBS_F1.raw	v1.1.0	HAMLET-agentic v0.1.0	simpson-golabi-behmel syndrome type 1
PXD045770-Sample-21	Homo sapiens, Mus musculus	adipose	simpson-golabi-behmel syndrome type 1	adipocyte	SGBS, 3T3-L1	not available	3	male	not available	run 3	proteomic profiling by mass spectrometry	not available	TMT126	Q Exactive HF Hybrid Quadrupole Orbitrap mass spectrometer	not available	2	1	not available	cell line (SGBS, 3T3-L1), differentiation stage (preadipocytes, immature, mature)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	Phospho_Mix1.raw	v1.1.0	HAMLET-agentic v0.1.0	simpson-golabi-behmel syndrome type 1
PXD045770-Sample-22	Homo sapiens, Mus musculus	adipose	simpson-golabi-behmel syndrome type 1	adipocyte	SGBS, 3T3-L1	not available	3	male	not available	run 3	proteomic profiling by mass spectrometry	not available	TMT127N	Q Exactive HF Hybrid Quadrupole Orbitrap mass spectrometer	not available	2	1	not available	cell line (SGBS, 3T3-L1), differentiation stage (preadipocytes, immature, mature)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	Phospho_Mix1.raw	v1.1.0	HAMLET-agentic v0.1.0	simpson-golabi-behmel syndrome type 1
PXD045770-Sample-23	Homo sapiens, Mus musculus	adipose	simpson-golabi-behmel syndrome type 1	adipocyte	SGBS, 3T3-L1	not available	3	male	not available	run 3	proteomic profiling by mass spectrometry	not available	TMT127C	Q Exactive HF Hybrid Quadrupole Orbitrap mass spectrometer	not available	2	1	not available	cell line (SGBS, 3T3-L1), differentiation stage (preadipocytes, immature, mature)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	Phospho_Mix1.raw	v1.1.0	HAMLET-agentic v0.1.0	simpson-golabi-behmel syndrome type 1
PXD045770-Sample-24	Homo sapiens, Mus musculus	adipose	simpson-golabi-behmel syndrome type 1	adipocyte	SGBS, 3T3-L1	not available	3	male	not available	run 3	proteomic profiling by mass spectrometry	not available	TMT128N	Q Exactive HF Hybrid Quadrupole Orbitrap mass spectrometer	not available	2	1	not available	cell line (SGBS, 3T3-L1), differentiation stage (preadipocytes, immature, mature)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	Phospho_Mix1.raw	v1.1.0	HAMLET-agentic v0.1.0	simpson-golabi-behmel syndrome type 1
PXD045770-Sample-25	Homo sapiens, Mus musculus	adipose	simpson-golabi-behmel syndrome type 1	adipocyte	SGBS, 3T3-L1	not available	3	male	not available	run 3	proteomic profiling by mass spectrometry	not available	TMT128C	Q Exactive HF Hybrid Quadrupole Orbitrap mass spectrometer	not available	2	1	not available	cell line (SGBS, 3T3-L1), differentiation stage (preadipocytes, immature, mature)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	Phospho_Mix1.raw	v1.1.0	HAMLET-agentic v0.1.0	simpson-golabi-behmel syndrome type 1
PXD045770-Sample-26	Homo sapiens, Mus musculus	adipose	simpson-golabi-behmel syndrome type 1	adipocyte	SGBS, 3T3-L1	not available	3	male	not available	run 3	proteomic profiling by mass spectrometry	not available	TMT129N	Q Exactive HF Hybrid Quadrupole Orbitrap mass spectrometer	not available	2	1	not available	cell line (SGBS, 3T3-L1), differentiation stage (preadipocytes, immature, mature)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	Phospho_Mix1.raw	v1.1.0	HAMLET-agentic v0.1.0	simpson-golabi-behmel syndrome type 1
PXD045770-Sample-27	Homo sapiens, Mus musculus	adipose	simpson-golabi-behmel syndrome type 1	adipocyte	SGBS, 3T3-L1	not available	3	male	not available	run 3	proteomic profiling by mass spectrometry	not available	TMT129C	Q Exactive HF Hybrid Quadrupole Orbitrap mass spectrometer	not available	2	1	not available	cell line (SGBS, 3T3-L1), differentiation stage (preadipocytes, immature, mature)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	Phospho_Mix1.raw	v1.1.0	HAMLET-agentic v0.1.0	simpson-golabi-behmel syndrome type 1
PXD045770-Sample-28	Homo sapiens, Mus musculus	adipose	simpson-golabi-behmel syndrome type 1	adipocyte	SGBS, 3T3-L1	not available	3	male	not available	run 3	proteomic profiling by mass spectrometry	not available	TMT130N	Q Exactive HF Hybrid Quadrupole Orbitrap mass spectrometer	not available	2	1	not available	cell line (SGBS, 3T3-L1), differentiation stage (preadipocytes, immature, mature)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	Phospho_Mix1.raw	v1.1.0	HAMLET-agentic v0.1.0	simpson-golabi-behmel syndrome type 1
PXD045770-Sample-29	Homo sapiens, Mus musculus	adipose	simpson-golabi-behmel syndrome type 1	adipocyte	SGBS, 3T3-L1	not available	3	male	not available	run 3	proteomic profiling by mass spectrometry	not available	TMT130C	Q Exactive HF Hybrid Quadrupole Orbitrap mass spectrometer	not available	2	1	not available	cell line (SGBS, 3T3-L1), differentiation stage (preadipocytes, immature, mature)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	Phospho_Mix1.raw	v1.1.0	HAMLET-agentic v0.1.0	simpson-golabi-behmel syndrome type 1
PXD045770-Sample-30	Homo sapiens, Mus musculus	adipose	simpson-golabi-behmel syndrome type 1	adipocyte	SGBS, 3T3-L1	not available	3	male	not available	run 3	proteomic profiling by mass spectrometry	not available	TMT131	Q Exactive HF Hybrid Quadrupole Orbitrap mass spectrometer	not available	2	1	not available	cell line (SGBS, 3T3-L1), differentiation stage (preadipocytes, immature, mature)	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	orbitrap	Phospho_Mix1.raw	v1.1.0	HAMLET-agentic v0.1.0	simpson-golabi-behmel syndrome type 1
