pxd	characteristics[age]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[technical replicate]	factor value[disease]	factor value[experimental design]	technology type	comment[fragment mass tolerance]	comment[precursor mass tolerance]	characteristics[sex]	characteristics[cell type]	comment[ms2 mass analyzer]	characteristics[biological replicate]	characteristics[organism part]	characteristics[cell line]	characteristics[disease]	comment[fraction identifier]	comment[dissociation method]	comment[label]	comment[instrument]	characteristics[organism]
PXD010603	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	NA	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	NA	0.266667	0.933333	0.000000	1.000000	0.000000	0.000000
PXD011175	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	NA	0.000000	1.000000	1.000000	NA	0.000000	0.964286	0.000000	0.000000	1.000000	0.000000
PXD011799	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	NA	1.000000	0.933333	1.000000	0.000000	0.000000	0.000000
PXD012203	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	NA	1.000000	0.566667	0.000000	NA	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000
PXD012255	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000
PXD012755	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	NA	1.000000	1.000000	1.000000	NA	0.481481	0.000000	1.000000	1.000000	0.000000	0.000000
PXD013234	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	1.000000	0.000000	1.000000	1.000000	NA	0.433333	1.000000	0.000000	0.000000	0.000000	0.000000
PXD013523	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	NA	1.000000	1.000000	0.000000	NA	0.633333	0.833333	1.000000	0.000000	0.000000	0.000000
PXD013765	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	1.000000	0.000000	0.700000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000
PXD013923	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000
PXD014528	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	1.000000	0.000000	0.000000	1.000000	1.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000
PXD015957	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.666667	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
PXD016002	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	NA	1.000000	1.000000	1.000000	NA	0.000000	0.933333	1.000000	0.000000	0.000000	0.000000
PXD016837	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	1.000000	0.000000	1.000000	1.000000	0.000000	1.000000	0.875000	1.000000	1.000000	0.000000	0.000000
PXD017201	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	NA	1.000000	1.000000	1.000000	NA	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
PXD018117	0.000000	0.000000	1.000000	1.000000	0.000000	1.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.733333	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
PXD019113	0.000000	0.000000	0.233333	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	1.000000	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
