pxd	characteristics[age]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[technical replicate]	factor value[disease]	factor value[experimental design]	technology type	comment[fragment mass tolerance]	comment[precursor mass tolerance]	characteristics[sex]	characteristics[cell type]	comment[ms2 mass analyzer]	characteristics[biological replicate]	characteristics[organism part]	characteristics[cell line]	characteristics[disease]	comment[fraction identifier]	comment[dissociation method]	comment[label]	comment[instrument]	characteristics[organism]
PXD003977	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000	1.000000	1.000000
PXD004143	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	0.000000	1.000000	NA	1.000000	0.000000	0.000000	1.000000	0.000000	1.000000
PXD004242	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NA	1.000000	0.000000	0.000000	NA	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000
PXD004682	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	0.000000	0.000000	NA	0.533333	0.033333	0.000000	1.000000	1.000000	1.000000
PXD004683	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	0.000000	1.000000	NA	1.000000	0.066667	0.000000	0.000000	1.000000	1.000000
PXD004684	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	0.000000	0.000000	NA	0.466667	0.000000	0.000000	1.000000	1.000000	1.000000
PXD004987	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	1.000000	1.000000	0.000000	0.000000	1.000000	1.000000
PXD005354	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.100000	1.000000	1.000000	0.000000	1.000000
PXD005355	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	1.000000
PXD005445	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	1.000000	0.000000	0.933333	NA	0.000000	0.033333	1.000000	1.000000	1.000000	1.000000
PXD005463	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
PXD006003	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.200000	0.000000	0.633333	1.000000	1.000000
PXD006195	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.321429	0.000000	1.000000	1.000000
PXD006233	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	0.000000	0.000000	NA	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000
PXD006401	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.428571	NA	0.000000	0.000000	0.000000	NA	0.000000	1.000000	0.000000	1.000000	1.000000	0.000000
PXD006675	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.206897	1.000000	NA	0.000000	0.034483	0.000000	1.000000	1.000000	1.000000
PXD007555	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NA	0.000000	0.000000	1.000000	NA	0.000000	1.000000	0.000000	1.000000	1.000000	1.000000
PXD008722	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	NA	0.000000	0.133333	1.000000	NA	0.000000	0.166667	0.000000	1.000000	1.000000	1.000000
PXD008840	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	NA	0.000000	0.166667	0.133333	0.000000	0.000000	1.000000
PXD008934	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	1.000000	0.000000	1.000000	1.000000	1.000000
PXD009630	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NA	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000
PXD009815	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NA	0.000000	0.000000	0.000000	NA	0.000000	1.000000	0.000000	1.000000	1.000000	1.000000
PXD010603	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.733333	0.066667	0.000000	0.000000	1.000000	1.000000
PXD011175	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	1.000000	0.000000	0.000000	NA	1.000000	0.035714	1.000000	1.000000	0.000000	1.000000
PXD011799	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	0.066667	0.000000	0.000000	1.000000	1.000000
PXD012203	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	0.433333	1.000000	NA	1.000000	0.000000	0.000000	0.000000	1.000000	1.000000
PXD012255	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	1.000000	1.000000	1.000000
PXD012755	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	0.000000	0.000000	NA	0.518519	1.000000	0.000000	0.000000	1.000000	1.000000
PXD013234	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	NA	0.566667	0.000000	1.000000	1.000000	1.000000	1.000000
PXD013523	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	0.000000	1.000000	NA	0.366667	0.166667	0.000000	1.000000	1.000000	1.000000
PXD013765	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.300000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	1.000000	1.000000
PXD013923	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000
PXD014528	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000
PXD015957	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.333333	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000
PXD016002	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	0.000000	0.000000	NA	1.000000	0.066667	0.000000	0.000000	1.000000	1.000000
PXD016837	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.125000	0.000000	0.000000	1.000000	1.000000
PXD017201	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	0.000000	0.000000	NA	1.000000	0.000000	1.000000	0.000000	1.000000	1.000000
PXD018117	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.266667	1.000000	1.000000	0.000000	1.000000	0.000000	1.000000	1.000000	1.000000
PXD019113	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	0.000000	1.000000	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	1.000000
