pxd	characteristics[age]	comment[cleavage agent details]	comment[proteomics data acquisition method]	comment[technical replicate]	factor value[disease]	factor value[experimental design]	technology type	comment[fragment mass tolerance]	comment[precursor mass tolerance]	characteristics[sex]	characteristics[cell type]	comment[ms2 mass analyzer]	characteristics[biological replicate]	characteristics[organism part]	characteristics[cell line]	characteristics[disease]	comment[fraction identifier]	comment[dissociation method]	comment[label]	comment[instrument]	characteristics[organism]
PXD012203	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	0.000000	NA	0.000000	0.566667	1.000000	NA	2.000000	1.000000	0.000000	4.000000	0.000000	0.000000
PXD012255	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
PXD012755	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	0.000000	NA	0.000000	1.000000	1.000000	NA	0.481481	0.000000	0.000000	1.000000	0.000000	0.000000
PXD013234	0.000000	2.100000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	NA	0.433333	0.000000	0.000000	0.000000	0.000000	0.000000
PXD013523	2.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	NA	0.000000	1.000000	0.000000	NA	0.633333	0.833333	0.000000	0.000000	0.000000	0.000000
PXD013765	0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.700000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
PXD013923	1.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	0.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	3.000000	0.000000	0.000000
PXD014528	0.000000	2.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000
PXD015957	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.666667	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
PXD016002	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.133333	NA	0.000000	1.000000	1.000000	NA	1.000000	1.000000	0.000000	6.000000	0.000000	0.000000
PXD016837	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	0.000000	1.000000	1.000000	0.000000	1.000000	0.875000	0.000000	1.000000	0.000000	0.000000
PXD017201	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	1.000000	1.000000	NA	0.000000	1.000000	0.000000	10.000000	0.000000	0.000000
PXD018117	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.733333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
PXD019113	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.766667	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000
