pxd	characteristics[age]	characteristics[enrichment process]	comment[alkylation reagent]	comment[reduction reagent]	factor value[experimental design]	factor value[disease]	comment[proteomics data acquisition method]	comment[cleavage agent details]	characteristics[biological replicate]	comment[fragment mass tolerance]	technology type	characteristics[sex]	comment[ms2 mass analyzer]	comment[precursor mass tolerance]	characteristics[cell line]	characteristics[cell type]	characteristics[organism part]	characteristics[disease]	comment[technical replicate]	comment[dissociation method]	comment[modification parameters]	comment[fraction identifier]	comment[label]	comment[instrument]	characteristics[organism]
PXD002082	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	NA	0.000000	0.000000	0.000000	0.900000	NA	0.033333	0.000000	1.000000	1.000000
PXD002084	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	NA	0.000000	0.000000	0.000000	0.900000	NA	0.066667	0.000000	1.000000	1.000000
PXD002086	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	NA	0.000000	0.000000	0.000000	0.866667	NA	0.066667	0.000000	1.000000	1.000000
PXD002087	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	NA	0.000000	0.000000	0.000000	0.966667	NA	0.066667	0.000000	1.000000	1.000000
PXD002088	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	NA	0.000000	0.000000	0.000000	0.933333	NA	0.033333	0.000000	1.000000	1.000000
PXD002395	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.200000	0.000000	0.000000	0.700000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	NA	0.233333	1.000000	1.000000	1.000000
PXD002619	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	NA	0.066667	0.000000	1.000000	1.000000
PXD002870	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	NA	1.000000	0.000000	1.000000	0.000000	NA	0.066667	0.000000	1.000000	1.000000
PXD003531	0.000000	NA	NA	NA	0.000000	0.000000	0.400000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.400000	0.566667	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD003668	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.266667	0.000000	0.000000	0.000000	0.000000	0.000000	0.066667	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	1.000000	0.000000	1.000000
PXD003977	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	1.000000	0.000000	0.000000	NA	0.000000	0.000000	1.000000	1.000000
PXD004143	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	NA	1.000000	1.000000	0.000000	0.000000	NA	0.000000	1.000000	0.000000	1.000000
PXD004242	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	NA	NA	0.000000	0.000000	0.333333	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD004682	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	NA	0.000000	0.533333	0.500000	0.000000	NA	0.033333	1.000000	1.000000	1.000000
PXD004683	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	NA	1.000000	1.000000	0.500000	0.000000	NA	0.066667	0.000000	1.000000	1.000000
PXD004684	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	NA	0.000000	0.466667	0.466667	0.000000	NA	0.000000	1.000000	1.000000	1.000000
PXD004987	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	NA	0.000000	0.000000	1.000000	0.000000	0.000000	NA	1.000000	0.000000	1.000000	1.000000
PXD005354	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	NA	0.100000	1.000000	0.000000	1.000000
PXD005355	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	NA	0.000000	1.000000	0.000000	1.000000
PXD005445	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NA	NA	0.933333	0.000000	0.933333	1.000000	NA	0.033333	1.000000	1.000000	1.000000
PXD005463	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	0.000000	0.000000	0.000000
PXD006003	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	NA	0.200000	0.633333	1.000000	0.000000
PXD006195	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	0.000000	0.000000	0.000000	NA	1.000000	0.000000	1.000000	1.000000
PXD006233	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	NA	0.000000	0.000000	1.000000	0.000000	NA	0.000000	1.000000	0.000000	1.000000
PXD006401	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.428571	0.000000	0.000000	NA	NA	0.000000	0.000000	0.035714	0.000000	NA	1.000000	1.000000	1.000000	0.000000
PXD006675	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.200000	0.000000	0.000000	1.000000	0.000000	0.000000	NA	0.000000	1.000000	0.000000	0.000000	0.000000	NA	0.033333	1.000000	1.000000	1.000000
PXD007555	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	NA	NA	1.000000	0.000000	0.000000	0.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD008722	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.133333	0.000000	0.000000	1.000000	0.000000	0.000000	NA	NA	1.000000	0.000000	1.000000	0.000000	NA	0.166667	1.000000	1.000000	1.000000
PXD008840	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	0.000000	0.000000	0.000000	NA	0.000000	1.000000	0.000000	0.000000	0.133333	NA	0.166667	0.000000	0.000000	1.000000
PXD008934	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	0.000000	0.000000	1.000000	0.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD009630	0.000000	NA	NA	NA	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	0.000000	0.000000	0.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD009815	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	NA	NA	0.000000	0.000000	0.266667	0.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD010603	0.000000	NA	NA	NA	0.000000	0.733333	0.000000	0.000000	0.000000	NA	0.000000	0.000000	0.000000	0.000000	NA	0.000000	0.000000	0.733333	1.000000	0.000000	NA	0.066667	0.000000	1.000000	1.000000
PXD011175	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	NA	0.000000	1.000000	0.178571	1.000000	NA	0.035714	1.000000	0.000000	1.000000
PXD011799	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	0.000000	0.000000	1.000000	0.000000	NA	0.066667	0.000000	1.000000	1.000000
PXD012203	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.433333	0.000000	0.000000	0.000000	0.000000	0.000000	NA	NA	1.000000	1.000000	0.000000	0.000000	NA	0.000000	0.000000	1.000000	1.000000
PXD012255	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	1.000000	1.000000	0.000000	NA	0.000000	1.000000	1.000000	1.000000
PXD012755	0.000000	NA	NA	NA	0.000000	0.518519	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	NA	0.000000	0.518519	1.000000	0.000000	NA	1.000000	0.000000	1.000000	1.000000
PXD013234	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NA	0.000000	0.000000	0.566667	0.000000	1.000000	NA	0.000000	1.000000	1.000000	1.000000
PXD013523	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	NA	1.000000	0.366667	1.000000	0.000000	NA	0.166667	1.000000	1.000000	1.000000
PXD013765	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.300000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.400000	0.000000	NA	0.000000	1.000000	1.000000	1.000000
PXD013923	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	0.000000	0.000000	1.000000	1.000000
PXD014528	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.366667	0.000000	NA	1.000000	1.000000	0.000000	1.000000
PXD015957	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.333333	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD016002	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	NA	0.000000	1.000000	0.000000	0.000000	NA	0.066667	0.000000	1.000000	1.000000
PXD016837	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NA	0.125000	0.000000	1.000000	1.000000
PXD017201	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	NA	0.000000	1.000000	0.000000	1.000000	NA	0.000000	0.000000	1.000000	1.000000
PXD018117	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.266667	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD019113	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	1.000000	0.000000	0.000000	1.000000	NA	1.000000	1.000000	1.000000	1.000000
PXD019394	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	NA	0.000000	0.000000	1.000000	0.133333	0.000000	NA	0.133333	0.000000	0.000000	1.000000
PXD036832	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	NA	0.000000	0.000000	0.473684	0.631579	0.000000	NA	0.052632	1.000000	1.000000	1.000000
PXD049224	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	1.000000	0.000000	1.000000	0.000000	0.000000	0.000000	1.000000	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000
PXD054113	0.000000	NA	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	NA	1.000000	0.000000	0.000000	NA	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000
PXD054186	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	1.000000	0.000000	0.000000	NA	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	3.000000	1.000000	0.000000	1.000000	0.000000
PXD054332	0.000000	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	1.000000	0.000000	0.000000	NA	0.000000	1.000000	0.000000	0.000000	1.000000	0.000000	2.000000	1.000000	1.000000	0.000000	0.000000
PXD068894	0.000000	NA	NA	NA	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	NA	NA	0.000000	0.000000	0.000000	0.833333	0.000000	0.000000	1.000000	1.000000	0.000000	1.000000
