source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD001558-Sample-11	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	not available	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20120410_MLP_333195_TiO2ps116.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-12	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20120410_MLP_333195_TiO2ps117.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-13	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20120516_psMLP119.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-14	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20120703_MLP_363211_TiO2ps124.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-15	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20120703_MLP_363211_TiO2ps125.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-16	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20120703_MLP_363211_TiO2ps126.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-17	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20120703_MLP_363211_TiO2ps127.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-18	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20120703_MLP_363211_TiO2ps128.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-19	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20120802_MLP_363216_Tio2ps130.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-20	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20120802_MLP_363216_Tio2ps131.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-21	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20120823_MLP_363227_TiO2ps111.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-22	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20120823_MLP_363227_TiO2ps132.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-23	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20120823_MLP_363227_TiO2ps133.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-24	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20121010_MLP_363245_TiO2ps135T1_121011150632.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-25	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20121010_MLP_363245_TiO2ps135T2.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-26	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20121026_MLP_psMLP137BT.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
PXD001558-Sample-27	Homo sapiens	breast	breast cancer	endothelial cells, breast cancer cells	LM2, MDA-MB-231, BrM2a, BoM1, MDA-MB-468, SUM149PT, MDA-MB-453, HUVECs, EA.hy926, HEK 293FT	not available	8	not available	not available	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap Velos, Q-Exactive Plus	NT=Lys-C;AC=MS:1001309	19	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell type (LM2, HUVEC), condition (co-culture, monoculture)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	20 ppm	dithiothreitol	iodoacetamide	orbitrap	20121026_MLP_psMLP137CT.raw	v1.1.0	HAMLET-agentic v0.1.0	breast cancer
