source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD030715-Sample-11	Homo sapiens, Mus musculus	brain	glioblastoma	GBM cells	Trp53/Pten−/−, Trp53−/−, L1, 612, 120	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT126	NT=Q Exactive Plus;AC=MS:1002634	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (vehicle, ispinesib 6 h, ispinesib 3 weeks)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Reduced acrolein addition +58;AC=UNIMOD:1312;MT=Variable;TA=C	10 ppm	15 mmu	orbitrap	20171107_Supernatant_Normalization.raw	v1.1.0	HAMLET-agentic v2.1.0	glioblastoma
PXD030715-Sample-12	Homo sapiens, Mus musculus	brain	glioblastoma	GBM cells	Trp53/Pten−/−, Trp53−/−, L1, 612, 120	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127N	NT=Q Exactive Plus;AC=MS:1002634	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (vehicle, ispinesib 6 h, ispinesib 3 weeks)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Reduced acrolein addition +58;AC=UNIMOD:1312;MT=Variable;TA=C	10 ppm	15 mmu	orbitrap	20171107_Supernatant_Normalization.raw	v1.1.0	HAMLET-agentic v2.1.0	glioblastoma
PXD030715-Sample-13	Homo sapiens, Mus musculus	brain	glioblastoma	GBM cells	Trp53/Pten−/−, Trp53−/−, L1, 612, 120	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT127C	NT=Q Exactive Plus;AC=MS:1002634	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (vehicle, ispinesib 6 h, ispinesib 3 weeks)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Reduced acrolein addition +58;AC=UNIMOD:1312;MT=Variable;TA=C	10 ppm	15 mmu	orbitrap	20171107_Supernatant_Normalization.raw	v1.1.0	HAMLET-agentic v2.1.0	glioblastoma
PXD030715-Sample-14	Homo sapiens, Mus musculus	brain	glioblastoma	GBM cells	Trp53/Pten−/−, Trp53−/−, L1, 612, 120	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128N	NT=Q Exactive Plus;AC=MS:1002634	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (vehicle, ispinesib 6 h, ispinesib 3 weeks)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Reduced acrolein addition +58;AC=UNIMOD:1312;MT=Variable;TA=C	10 ppm	15 mmu	orbitrap	20171107_Supernatant_Normalization.raw	v1.1.0	HAMLET-agentic v2.1.0	glioblastoma
PXD030715-Sample-15	Homo sapiens, Mus musculus	brain	glioblastoma	GBM cells	Trp53/Pten−/−, Trp53−/−, L1, 612, 120	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT128C	NT=Q Exactive Plus;AC=MS:1002634	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (vehicle, ispinesib 6 h, ispinesib 3 weeks)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Reduced acrolein addition +58;AC=UNIMOD:1312;MT=Variable;TA=C	10 ppm	15 mmu	orbitrap	20171107_Supernatant_Normalization.raw	v1.1.0	HAMLET-agentic v2.1.0	glioblastoma
PXD030715-Sample-16	Homo sapiens, Mus musculus	brain	glioblastoma	GBM cells	Trp53/Pten−/−, Trp53−/−, L1, 612, 120	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129N	NT=Q Exactive Plus;AC=MS:1002634	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (vehicle, ispinesib 6 h, ispinesib 3 weeks)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Reduced acrolein addition +58;AC=UNIMOD:1312;MT=Variable;TA=C	10 ppm	15 mmu	orbitrap	20171107_Supernatant_Normalization.raw	v1.1.0	HAMLET-agentic v2.1.0	glioblastoma
PXD030715-Sample-17	Homo sapiens, Mus musculus	brain	glioblastoma	GBM cells	Trp53/Pten−/−, Trp53−/−, L1, 612, 120	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT129C	NT=Q Exactive Plus;AC=MS:1002634	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (vehicle, ispinesib 6 h, ispinesib 3 weeks)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Reduced acrolein addition +58;AC=UNIMOD:1312;MT=Variable;TA=C	10 ppm	15 mmu	orbitrap	20171107_Supernatant_Normalization.raw	v1.1.0	HAMLET-agentic v2.1.0	glioblastoma
PXD030715-Sample-18	Homo sapiens, Mus musculus	brain	glioblastoma	GBM cells	Trp53/Pten−/−, Trp53−/−, L1, 612, 120	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130N	NT=Q Exactive Plus;AC=MS:1002634	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (vehicle, ispinesib 6 h, ispinesib 3 weeks)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Reduced acrolein addition +58;AC=UNIMOD:1312;MT=Variable;TA=C	10 ppm	15 mmu	orbitrap	20171107_Supernatant_Normalization.raw	v1.1.0	HAMLET-agentic v2.1.0	glioblastoma
PXD030715-Sample-19	Homo sapiens, Mus musculus	brain	glioblastoma	GBM cells	Trp53/Pten−/−, Trp53−/−, L1, 612, 120	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT130C	NT=Q Exactive Plus;AC=MS:1002634	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (vehicle, ispinesib 6 h, ispinesib 3 weeks)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Reduced acrolein addition +58;AC=UNIMOD:1312;MT=Variable;TA=C	10 ppm	15 mmu	orbitrap	20171107_Supernatant_Normalization.raw	v1.1.0	HAMLET-agentic v2.1.0	glioblastoma
PXD030715-Sample-20	Homo sapiens, Mus musculus	brain	glioblastoma	GBM cells	Trp53/Pten−/−, Trp53−/−, L1, 612, 120	not available	not available	not available	not available	run 2	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	TMT131	NT=Q Exactive Plus;AC=MS:1002634	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (vehicle, ispinesib 6 h, ispinesib 3 weeks)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=TMT6plex;AC=UNIMOD:730;MT=Fixed;TA=K	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=TMTpro;AC=UNIMOD:737;MT=Variable;TA=K	NT=Reduced acrolein addition +58;AC=UNIMOD:1312;MT=Variable;TA=C	10 ppm	15 mmu	orbitrap	20171107_Supernatant_Normalization.raw	v1.1.0	HAMLET-agentic v2.1.0	glioblastoma
