ID,PXD,Raw Data File,Characteristics[BiologicalReplicate],Characteristics[CleavageAgent],Characteristics[Compound],Characteristics[Label],Characteristics[MaterialType],Characteristics[Modification],Characteristics[NumberOfBiologicalReplicates],Characteristics[NumberOfTechnicalReplicates],Characteristics[Organism],Characteristics[SamplingTime],Characteristics[Treatment],Characteristics[Time],Characteristics[Temperature],FactorValue[Treatment],Comment[AcquisitionMethod],Comment[CollisionEnergy],Comment[FlowRateChromatogram],Comment[FractionationMethod],Comment[FragmentationMethod],Comment[GradientTime],Comment[Instrument],Comment[IonizationType],Comment[MS2MassAnalyzer],Comment[NumberOfMissedCleavages],Comment[PrecursorMassTolerance],Comment[Separation],Characteristics[Age],Characteristics[AlkylationReagent],Characteristics[AnatomicSiteTumor],Characteristics[AncestryCategory],Characteristics[BMI],Characteristics[Bait],Characteristics[CellLine],Characteristics[CellPart],Characteristics[CellType],Characteristics[ConcentrationOfCompound],Characteristics[Depletion],Characteristics[DevelopmentalStage],Characteristics[Disease],Characteristics[DiseaseTreatment],Characteristics[GeneticModification],Characteristics[Genotype],Characteristics[GrowthRate],Characteristics[NumberOfSamples],Characteristics[OrganismPart],Characteristics[OriginSiteDisease],Characteristics[PooledSample],Characteristics[ReductionReagent],Characteristics[Sex],Characteristics[Specimen],Characteristics[SpikedCompound],Characteristics[Staining],Characteristics[Strain],Characteristics[SyntheticPeptide],Characteristics[TumorCellularity],Characteristics[TumorGrade],Characteristics[TumorSize],Characteristics[TumorSite],Characteristics[TumorStage],Comment[EnrichmentMethod],Comment[FractionIdentifier],Comment[FragmentMassTolerance],Comment[NumberOfFractions],Usage
30,PXD062014,HSL_600sec_02_vial01.raw,1,Pepsin,,Deuterium,recombinant protein,Methionine Oxidation,1,3,9606 (Homo Sapiens),60 min,,600 sec,25°C,,DIA,4 V,50 μL/min,RP HLPC,CID,9 min,Waters Synapt XS,ESI,TOF analyzer,1,10 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
31,PXD062014,HSL_600sec_03_vial01.raw,1,Pepsin,,Deuterium,recombinant protein,Methionine Oxidation,1,3,9606 (Homo Sapiens),60 min,,600 sec,25°C,,DIA,4 V,50 μL/min,RP HLPC,CID,9 min,Waters Synapt XS,ESI,TOF analyzer,1,10 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
32,PXD062014,HSL_ALDS_0sec_01_vial02.raw,1,Pepsin,ALD,Label free,recombinant protein,Methionine Oxidation,1,3,9606 (Homo Sapiens),60 min,ALD incubation,0 sec,25°C,ALD incubation,DIA,4 V,50 μL/min,RP HLPC,CID,9 min,Waters Synapt XS,ESI,TOF analyzer,1,10 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
33,PXD062014,HSL_ALDS_0sec_02_vial02.raw,1,Pepsin,ALD,Label free,recombinant protein,Methionine Oxidation,1,3,9606 (Homo Sapiens),60 min,ALD incubation,0 sec,25°C,ALD incubation,DIA,4 V,50 μL/min,RP HLPC,CID,9 min,Waters Synapt XS,ESI,TOF analyzer,1,10 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
34,PXD062014,HSL_ALDS_0sec_03_vial02.raw,1,Pepsin,ALD,Label free,recombinant protein,Methionine Oxidation,1,3,9606 (Homo Sapiens),60 min,ALD incubation,0 sec,25°C,ALD incubation,DIA,4 V,50 μL/min,RP HLPC,CID,9 min,Waters Synapt XS,ESI,TOF analyzer,1,10 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
35,PXD062014,HSL_ALDS_5sec_01_vial02.raw,1,Pepsin,ALD,Deuterium,recombinant protein,Methionine Oxidation,1,3,9606 (Homo Sapiens),60 min,ALD incubation,5 sec,25°C,ALD incubation,DIA,4 V,50 μL/min,RP HLPC,CID,9 min,Waters Synapt XS,ESI,TOF analyzer,1,10 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
36,PXD062014,HSL_ALDS_5sec_02_vial02.raw,1,Pepsin,ALD,Deuterium,recombinant protein,Methionine Oxidation,1,3,9606 (Homo Sapiens),60 min,ALD incubation,5 sec,25°C,ALD incubation,DIA,4 V,50 μL/min,RP HLPC,CID,9 min,Waters Synapt XS,ESI,TOF analyzer,1,10 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
37,PXD062014,HSL_ALDS_5sec_03_vial02.raw,1,Pepsin,ALD,Deuterium,recombinant protein,Methionine Oxidation,1,3,9606 (Homo Sapiens),60 min,ALD incubation,5 sec,25°C,ALD incubation,DIA,4 V,50 μL/min,RP HLPC,CID,9 min,Waters Synapt XS,ESI,TOF analyzer,1,10 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
38,PXD062014,HSL_ALDS_30sec_01_vial02.raw,1,Pepsin,ALD,Deuterium,recombinant protein,Methionine Oxidation,1,3,9606 (Homo Sapiens),60 min,ALD incubation,30 sec,25°C,ALD incubation,DIA,4 V,50 μL/min,RP HLPC,CID,9 min,Waters Synapt XS,ESI,TOF analyzer,1,10 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
39,PXD062014,HSL_ALDS_30sec_02_vial02.raw,1,Pepsin,ALD,Deuterium,recombinant protein,Methionine Oxidation,1,3,9606 (Homo Sapiens),60 min,ALD incubation,30 sec,25°C,ALD incubation,DIA,4 V,50 μL/min,RP HLPC,CID,9 min,Waters Synapt XS,ESI,TOF analyzer,1,10 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
40,PXD062014,HSL_ALDS_30sec_03_vial02.raw,1,Pepsin,ALD,Deuterium,recombinant protein,Methionine Oxidation,1,3,9606 (Homo Sapiens),60 min,ALD incubation,30 sec,25°C,ALD incubation,DIA,4 V,50 μL/min,RP HLPC,CID,9 min,Waters Synapt XS,ESI,TOF analyzer,1,10 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
41,PXD062014,HSL_ALDS_600sec_01_vial02.raw,1,Pepsin,ALD,Deuterium,recombinant protein,Methionine Oxidation,1,3,9606 (Homo Sapiens),60 min,ALD incubation,600 sec,25°C,ALD incubation,DIA,4 V,50 μL/min,RP HLPC,CID,9 min,Waters Synapt XS,ESI,TOF analyzer,1,10 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
42,PXD062014,HSL_ALDS_600sec_02_vial02.raw,1,Pepsin,ALD,Deuterium,recombinant protein,Methionine Oxidation,1,3,9606 (Homo Sapiens),60 min,ALD incubation,600 sec,25°C,ALD incubation,DIA,4 V,50 μL/min,RP HLPC,CID,9 min,Waters Synapt XS,ESI,TOF analyzer,1,10 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
43,PXD062014,HSL_ALDS_600sec_03_vial02.raw,1,Pepsin,ALD,Deuterium,recombinant protein,Methionine Oxidation,1,3,9606 (Homo Sapiens),60 min,ALD incubation,600 sec,25°C,ALD incubation,DIA,4 V,50 μL/min,RP HLPC,CID,9 min,Waters Synapt XS,ESI,TOF analyzer,1,10 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
