ID,PXD,Raw Data File,Characteristics[CleavageAgent],Characteristics[GeneticModification],Characteristics[Genotype],Characteristics[Label],Characteristics[MaterialType],Characteristics[Modification],Characteristics[Modification].1,Characteristics[Modification].2,Characteristics[Modification].3,Characteristics[Modification].4,Characteristics[Modification].5,Characteristics[Modification].6,Characteristics[Organism],Characteristics[OrganismPart],Characteristics[ReductionReagent],Characteristics[Specimen],Characteristics[Treatment],FactorValue[Treatment],Comment[AcquisitionMethod],Comment[EnrichmentMethod],Comment[FractionationMethod],Comment[FragmentationMethod],Comment[FragmentMassTolerance],Comment[Instrument],Comment[IonizationType],Comment[MS2MassAnalyzer],Comment[NumberOfMissedCleavages],Comment[PrecursorMassTolerance],Comment[Separation],Characteristics[Age],Characteristics[AlkylationReagent],Characteristics[AnatomicSiteTumor],Characteristics[AncestryCategory],Characteristics[BMI],Characteristics[Bait],Characteristics[BiologicalReplicate],Characteristics[CellLine],Characteristics[CellPart],Characteristics[CellType],Characteristics[Compound],Characteristics[ConcentrationOfCompound],Characteristics[Depletion],Characteristics[DevelopmentalStage],Characteristics[Disease],Characteristics[DiseaseTreatment],Characteristics[GrowthRate],Characteristics[NumberOfBiologicalReplicates],Characteristics[NumberOfSamples],Characteristics[NumberOfTechnicalReplicates],Characteristics[OriginSiteDisease],Characteristics[PooledSample],Characteristics[SamplingTime],Characteristics[Sex],Characteristics[SpikedCompound],Characteristics[Staining],Characteristics[Strain],Characteristics[SyntheticPeptide],Characteristics[Temperature],Characteristics[Time],Characteristics[TumorCellularity],Characteristics[TumorGrade],Characteristics[TumorSize],Characteristics[TumorSite],Characteristics[TumorStage],Comment[CollisionEnergy],Comment[FlowRateChromatogram],Comment[FractionIdentifier],Comment[GradientTime],Comment[NumberOfFractions],Usage
1610,PXD061285,mousebrain2-WT-CL47_T9AC2-rb1_o.raw,trypsin,,WT,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,anti-TMEM9 “T9AC2” rb 1 pull down,anti-TMEM9 “T9AC2” rb 1 pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
1611,PXD061285,mousebrain2-WT-CL47_T9AC2-rb1_u.raw,trypsin,,WT,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,anti-TMEM9 “T9AC2” rb 1 pull down,anti-TMEM9 “T9AC2” rb 1 pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
1612,PXD061285,mousebrain2-WT-CL47_TMEM9B-Proteintech-24331-1_o.raw,trypsin,,WT,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,anti-TMEM9B pull down,anti-TMEM9B pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
1613,PXD061285,mousebrain2-WT-CL47_TMEM9B-Proteintech-24331-1_u.raw,trypsin,,WT,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,anti-TMEM9B pull down,anti-TMEM9B pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
1614,PXD061285,mousebrain2-WT-CL47-T9BC2_o.raw,trypsin,,WT,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,anti-TMEM9B “T9BC2” pull down,anti-TMEM9B “T9BC2” pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
1615,PXD061285,mousebrain2-WT-CL47-T9BC2_u.raw,trypsin,,WT,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,anti-TMEM9B “T9BC2” pull down,anti-TMEM9B “T9BC2” pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
1616,PXD061285,mousebrain3-Venus-CLCN3-CL47-GFP-RnDSystems-AF4240_o.raw,trypsin,transgenic Venus-ClC-3,Venus-ClC-3,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,Anti-GFP pull down,Anti-GFP pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
1617,PXD061285,mousebrain3-Venus-CLCN3-CL47-GFP-RnDSystems-AF4240_u.raw,trypsin,transgenic Venus-ClC-3,Venus-ClC-3,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,Anti-GFP pull down,Anti-GFP pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
1618,PXD061285,mousebrain-KO-Tmem9b-CL47-T9BC1_o.raw,trypsin,TMEM9B double knockout, T9B−/−,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,anti-TMEM9B “T9BC1” pull down,anti-TMEM9B “T9BC1” pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
1619,PXD061285,mousebrain-KO-Tmem9b-CL47-T9BC1_u.raw,trypsin,TMEM9B double knockout, T9B−/−,Label free,Tissue,Acetyl (Protein N-term),Carbamidomethyl ©,Gln->pyro-Glu (N-term Q),Glu->pyro-Glu (N-term E),Oxidation (M),"Phospho (S, T, Y)",Propionamide (C),10090 (Mus Musculus),Brain,DTT,Brain tissue,anti-TMEM9B “T9BC1” pull down,anti-TMEM9B “T9BC1” pull down,DIA,Pull down and in-gel digestion,nano-HLPC,CID,20 mmu,Thermo LTQ Orbitrap Elite,ESI,Orbitrap,1,5 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
