ID,PXD,Raw Data File,Characteristics[BiologicalReplicate],Characteristics[CellLine],Characteristics[CleavageAgent],Characteristics[Compound],Characteristics[ConcentrationOfCompound],Characteristics[Disease],Characteristics[Label],Characteristics[MaterialType],Characteristics[NumberOfBiologicalReplicates],Characteristics[NumberOfTechnicalReplicates],Characteristics[Organism],Characteristics[ReductionReagent],Characteristics[SpikedCompound],FactorValue[Compound],Comment[AcquisitionMethod],Comment[FlowRateChromatogram],Comment[FractionationMethod],Comment[FragmentationMethod],Comment[Instrument],Comment[IonizationType],Comment[Separation],Characteristics[Age],Characteristics[AlkylationReagent],Characteristics[AnatomicSiteTumor],Characteristics[AncestryCategory],Characteristics[BMI],Characteristics[Bait],Characteristics[CellPart],Characteristics[CellType],Characteristics[Depletion],Characteristics[DevelopmentalStage],Characteristics[DiseaseTreatment],Characteristics[GeneticModification],Characteristics[Genotype],Characteristics[GrowthRate],Characteristics[Modification],Characteristics[NumberOfSamples],Characteristics[OrganismPart],Characteristics[OriginSiteDisease],Characteristics[PooledSample],Characteristics[SamplingTime],Characteristics[Sex],Characteristics[Specimen],Characteristics[Staining],Characteristics[Strain],Characteristics[SyntheticPeptide],Characteristics[Temperature],Characteristics[Time],Characteristics[Treatment],Characteristics[TumorCellularity],Characteristics[TumorGrade],Characteristics[TumorSize],Characteristics[TumorSite],Characteristics[TumorStage],Comment[CollisionEnergy],Comment[EnrichmentMethod],Comment[FractionIdentifier],Comment[FragmentMassTolerance],Comment[GradientTime],Comment[MS2MassAnalyzer],Comment[NumberOfMissedCleavages],Comment[NumberOfFractions],Comment[PrecursorMassTolerance],Usage
152,PXD062469,JM_Plum_310118_100418_DIA_145_MV_DMSO_21.raw,1,DU 145,trypsin,DMSO,0 μM,Prostate Carcinoma,label free,Cell line,1,2,9606 (Homo sapiens),DTT,iRT peptide,DMSO,DIA,300 nL/min,RP-HPLC,CID,Sciex TripleTOF 5600+,Nanospray ESI,C18 Reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
153,PXD062469,JM_Plum_310118_100418_DIA_145_MV_DMSO_22.raw,1,DU 145,trypsin,DMSO,0 μM,Prostate Carcinoma,label free,Cell line,1,2,9606 (Homo sapiens),DTT,iRT peptide,DMSO,DIA,300 nL/min,RP-HPLC,CID,Sciex TripleTOF 5600+,Nanospray ESI,C18 Reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
154,PXD062469,JM_Plum_310118_100418_DIA_145_MV_INHB_11.raw,1,DU 145,trypsin,GW4869,10 μM,Prostate Carcinoma,label free,Cell line,1,2,9606 (Homo sapiens),DTT,iRT peptide,GW4869,DIA,300 nL/min,RP-HPLC,CID,Sciex TripleTOF 5600+,Nanospray ESI,C18 Reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
155,PXD062469,JM_Plum_310118_100418_DIA_145_MV_INHB_12.raw,1,DU 145,trypsin,GW4869,10 μM,Prostate Carcinoma,label free,Cell line,1,2,9606 (Homo sapiens),DTT,iRT peptide,GW4869,DIA,300 nL/min,RP-HPLC,CID,Sciex TripleTOF 5600+,Nanospray ESI,C18 Reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
156,PXD062469,JM_Plum_310118_100418_DIA_145_MV_INHB_21.raw,1,DU 145,trypsin,GW4869,10 μM,Prostate Carcinoma,label free,Cell line,1,2,9606 (Homo sapiens),DTT,iRT peptide,GW4869,DIA,300 nL/min,RP-HPLC,CID,Sciex TripleTOF 5600+,Nanospray ESI,C18 Reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
157,PXD062469,JM_Plum_310118_100418_DIA_145_MV_INHB_22.raw,1,DU 145,trypsin,GW4869,10 μM,Prostate Carcinoma,label free,Cell line,1,2,9606 (Homo sapiens),DTT,iRT peptide,GW4869,DIA,300 nL/min,RP-HPLC,CID,Sciex TripleTOF 5600+,Nanospray ESI,C18 Reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
158,PXD062469,JM_Plum_310118_100418_DIA_PI3_Exo_DMSO_11.raw,1,PU3,trypsin,DMSO,0 μM,Prostate Adenocarcinoma,label free,Cell line,1,2,9606 (Homo sapiens),DTT,iRT peptide,DMSO,DIA,300 nL/min,RP-HPLC,CID,Sciex TripleTOF 5600+,Nanospray ESI,C18 Reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
159,PXD062469,JM_Plum_310118_100418_DIA_PI3_Exo_DMSO_12.raw,1,PU3,trypsin,DMSO,0 μM,Prostate Adenocarcinoma,label free,Cell line,1,2,9606 (Homo sapiens),DTT,iRT peptide,DMSO,DIA,300 nL/min,RP-HPLC,CID,Sciex TripleTOF 5600+,Nanospray ESI,C18 Reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
160,PXD062469,JM_Plum_310118_100418_DIA_PI3_Exo_DMSO_21.raw,1,PU3,trypsin,DMSO,0 μM,Prostate Adenocarcinoma,label free,Cell line,1,2,9606 (Homo sapiens),DTT,iRT peptide,DMSO,DIA,300 nL/min,RP-HPLC,CID,Sciex TripleTOF 5600+,Nanospray ESI,C18 Reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
161,PXD062469,JM_Plum_310118_100418_DIA_PI3_Exo_DMSO_22.raw,1,PU3,trypsin,DMSO,0 μM,Prostate Adenocarcinoma,label free,Cell line,1,2,9606 (Homo sapiens),DTT,iRT peptide,DMSO,DIA,300 nL/min,RP-HPLC,CID,Sciex TripleTOF 5600+,Nanospray ESI,C18 Reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
162,PXD062469,JM_Plum_310118_100418_DIA_PI3_Exo_INHB_11.raw,1,PU3,trypsin,GW4869,10 μM,Prostate Adenocarcinoma,label free,Cell line,1,2,9606 (Homo sapiens),DTT,iRT peptide,GW4869,DIA,300 nL/min,RP-HPLC,CID,Sciex TripleTOF 5600+,Nanospray ESI,C18 Reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
163,PXD062469,JM_Plum_310118_100418_DIA_PI3_Exo_INHB_12.raw,1,PU3,trypsin,GW4869,10 μM,Prostate Adenocarcinoma,label free,Cell line,1,2,9606 (Homo sapiens),DTT,iRT peptide,GW4869,DIA,300 nL/min,RP-HPLC,CID,Sciex TripleTOF 5600+,Nanospray ESI,C18 Reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
164,PXD062469,JM_Plum_310118_100418_DIA_PI3_Exo_INHB_21.raw,1,PU3,trypsin,GW4869,10 μM,Prostate Adenocarcinoma,label free,Cell line,1,2,9606 (Homo sapiens),DTT,iRT peptide,GW4869,DIA,300 nL/min,RP-HPLC,CID,Sciex TripleTOF 5600+,Nanospray ESI,C18 Reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
165,PXD062469,JM_Plum_310118_100418_DIA_PI3_Exo_INHB_22.raw,1,PU3,trypsin,GW4869,10 μM,Prostate Adenocarcinoma,label free,Cell line,1,2,9606 (Homo sapiens),DTT,iRT peptide,GW4869,DIA,300 nL/min,RP-HPLC,CID,Sciex TripleTOF 5600+,Nanospray ESI,C18 Reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
166,PXD062469,JM_Plum_310118_100418_DIA_PI3_MV_DMSO_11.raw,1,PU3,trypsin,DMSO,0 μM,Prostate Adenocarcinoma,label free,Cell line,1,2,9606 (Homo sapiens),DTT,iRT peptide,DMSO,DIA,300 nL/min,RP-HPLC,CID,Sciex TripleTOF 5600+,Nanospray ESI,C18 Reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
167,PXD062469,JM_Plum_310118_100418_DIA_PI3_MV_DMSO_12.raw,1,PU3,trypsin,DMSO,0 μM,Prostate Adenocarcinoma,label free,Cell line,1,2,9606 (Homo sapiens),DTT,iRT peptide,DMSO,DIA,300 nL/min,RP-HPLC,CID,Sciex TripleTOF 5600+,Nanospray ESI,C18 Reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
