ID,PXD,Raw Data File,Characteristics[BiologicalReplicate],Characteristics[CellLine],Characteristics[CleavageAgent],Characteristics[Label],Characteristics[NumberOfBiologicalReplicates],Characteristics[NumberOfTechnicalReplicates],Characteristics[Organism],Characteristics[Treatment],Characteristics[Temperature],Comment[FractionIdentifier],FactorValue[FractionIdentifier],Comment[AcquisitionMethod],Comment[FlowRateChromatogram],Comment[FractionationMethod],Comment[Instrument],Comment[IonizationType],Comment[MS2MassAnalyzer],Comment[Separation],Characteristics[Age],Characteristics[AlkylationReagent],Characteristics[AnatomicSiteTumor],Characteristics[AncestryCategory],Characteristics[BMI],Characteristics[Bait],Characteristics[CellPart],Characteristics[CellType],Characteristics[Compound],Characteristics[ConcentrationOfCompound],Characteristics[Depletion],Characteristics[DevelopmentalStage],Characteristics[Disease],Characteristics[DiseaseTreatment],Characteristics[GeneticModification],Characteristics[Genotype],Characteristics[GrowthRate],Characteristics[MaterialType],Characteristics[Modification],Characteristics[NumberOfSamples],Characteristics[OrganismPart],Characteristics[OriginSiteDisease],Characteristics[PooledSample],Characteristics[ReductionReagent],Characteristics[SamplingTime],Characteristics[Sex],Characteristics[Specimen],Characteristics[SpikedCompound],Characteristics[Staining],Characteristics[Strain],Characteristics[SyntheticPeptide],Characteristics[Time],Characteristics[TumorCellularity],Characteristics[TumorGrade],Characteristics[TumorSize],Characteristics[TumorSite],Characteristics[TumorStage],Comment[CollisionEnergy],Comment[EnrichmentMethod],Comment[FragmentationMethod],Comment[FragmentMassTolerance],Comment[GradientTime],Comment[NumberOfMissedCleavages],Comment[NumberOfFractions],Comment[PrecursorMassTolerance],Usage
122,PXD064564,20243102_150pgHeLa_240k_250ms_20Th_60ms_FAIMSCV-48_2.raw,1,HeLa,trypsin,label free,0,3,9606 (Homo Sapiens),"detergent DDM, lysis buffer TEAB",50°C,150 pg,150 pg,DIA,1000 nL/min,RP HPLC,Thermo Orbitrap Astral,"FAIMS Pro interface, EASY-Spray source",Astral analyzer,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
123,PXD064564,20243102_150pgHeLa_240k_250ms_20Th_60ms_FAIMSCV-48_3.raw,1,HeLa,trypsin,label free,0,3,9606 (Homo Sapiens),"detergent DDM, lysis buffer TEAB",50°C,150 pg,150 pg,DIA,1000 nL/min,RP HPLC,Thermo Orbitrap Astral,"FAIMS Pro interface, EASY-Spray source",Astral analyzer,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
124,PXD064564,20243102_2000pgHeLa_240k_100ms_8Th_14ms_FAIMSCV-48_1.raw,1,HeLa,trypsin,label free,0,3,9606 (Homo Sapiens),"detergent DDM, lysis buffer TEAB",50°C,2000 pg,2000 pg,DIA,1000 nL/min,RP HPLC,Thermo Orbitrap Astral,"FAIMS Pro interface, EASY-Spray source",Astral analyzer,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
125,PXD064564,20243102_2000pgHeLa_240k_100ms_8Th_14ms_FAIMSCV-48_2.raw,1,HeLa,trypsin,label free,0,3,9606 (Homo Sapiens),"detergent DDM, lysis buffer TEAB",50°C,2000 pg,2000 pg,DIA,1000 nL/min,RP HPLC,Thermo Orbitrap Astral,"FAIMS Pro interface, EASY-Spray source",Astral analyzer,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
126,PXD064564,20243102_2000pgHeLa_240k_100ms_8Th_14ms_FAIMSCV-48_3.raw,1,HeLa,trypsin,label free,0,3,9606 (Homo Sapiens),"detergent DDM, lysis buffer TEAB",50°C,2000 pg,2000 pg,DIA,1000 nL/min,RP HPLC,Thermo Orbitrap Astral,"FAIMS Pro interface, EASY-Spray source",Astral analyzer,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
127,PXD064564,20243102_250pgHeLa_240k_250ms_20Th_40ms_FAIMSCV-48_1.raw,1,HeLa,trypsin,label free,0,3,9606 (Homo Sapiens),"detergent DDM, lysis buffer TEAB",50°C,250 pg,250 pg,DIA,1000 nL/min,RP HPLC,Thermo Orbitrap Astral,"FAIMS Pro interface, EASY-Spray source",Astral analyzer,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
128,PXD064564,20243102_250pgHeLa_240k_250ms_20Th_40ms_FAIMSCV-48_2.raw,1,HeLa,trypsin,label free,0,3,9606 (Homo Sapiens),"detergent DDM, lysis buffer TEAB",50°C,250 pg,250 pg,DIA,1000 nL/min,RP HPLC,Thermo Orbitrap Astral,"FAIMS Pro interface, EASY-Spray source",Astral analyzer,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
129,PXD064564,20243102_250pgHeLa_240k_250ms_20Th_40ms_FAIMSCV-48_3.raw,1,HeLa,trypsin,label free,0,3,9606 (Homo Sapiens),"detergent DDM, lysis buffer TEAB",50°C,250 pg,250 pg,DIA,1000 nL/min,RP HPLC,Thermo Orbitrap Astral,"FAIMS Pro interface, EASY-Spray source",Astral analyzer,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
130,PXD064564,20243102_5000pgHeLa_240k_100ms_5Th_10ms_FAIMSCV-48_1.raw,1,HeLa,trypsin,label free,0,3,9606 (Homo Sapiens),"detergent DDM, lysis buffer TEAB",50°C,5000 pg,5000 pg,DIA,1000 nL/min,RP HPLC,Thermo Orbitrap Astral,"FAIMS Pro interface, EASY-Spray source",Astral analyzer,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
131,PXD064564,20243102_5000pgHeLa_240k_100ms_5Th_10ms_FAIMSCV-48_2.raw,1,HeLa,trypsin,label free,0,3,9606 (Homo Sapiens),"detergent DDM, lysis buffer TEAB",50°C,5000 pg,5000 pg,DIA,1000 nL/min,RP HPLC,Thermo Orbitrap Astral,"FAIMS Pro interface, EASY-Spray source",Astral analyzer,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
132,PXD064564,20243102_5000pgHeLa_240k_100ms_5Th_10ms_FAIMSCV-48_3.raw,1,HeLa,trypsin,label free,0,3,9606 (Homo Sapiens),"detergent DDM, lysis buffer TEAB",50°C,5000 pg,5000 pg,DIA,1000 nL/min,RP HPLC,Thermo Orbitrap Astral,"FAIMS Pro interface, EASY-Spray source",Astral analyzer,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
133,PXD064564,20243102_500pgHeLa_240k_100ms_20Th_40ms_FAIMSCV-48_1.raw,1,HeLa,trypsin,label free,0,3,9606 (Homo Sapiens),"detergent DDM, lysis buffer TEAB",50°C,500 pg,500 pg,DIA,1000 nL/min,RP HPLC,Thermo Orbitrap Astral,"FAIMS Pro interface, EASY-Spray source",Astral analyzer,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
134,PXD064564,20243102_500pgHeLa_240k_100ms_20Th_40ms_FAIMSCV-48_2.raw,1,HeLa,trypsin,label free,0,3,9606 (Homo Sapiens),"detergent DDM, lysis buffer TEAB",50°C,500 pg,500 pg,DIA,1000 nL/min,RP HPLC,Thermo Orbitrap Astral,"FAIMS Pro interface, EASY-Spray source",Astral analyzer,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
135,PXD064564,20243102_500pgHeLa_240k_100ms_20Th_40ms_FAIMSCV-48_3.raw,1,HeLa,trypsin,label free,0,3,9606 (Homo Sapiens),"detergent DDM, lysis buffer TEAB",50°C,500 pg,500 pg,DIA,1000 nL/min,RP HPLC,Thermo Orbitrap Astral,"FAIMS Pro interface, EASY-Spray source",Astral analyzer,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
