ID,PXD,Raw Data File,Characteristics[CellLine],Characteristics[CleavageAgent],Characteristics[Label],Characteristics[MaterialType],Characteristics[Modification],Characteristics[Modification].1,Characteristics[Modification].2,Characteristics[Modification].3,Characteristics[Organism],Characteristics[ReductionReagent],Characteristics[Time],Characteristics[Temperature],Characteristics[Treatment],Characteristics[Bait],FactorValue[Bait],Comment[AcquisitionMethod],Comment[EnrichmentMethod],Comment[FlowRateChromatogram],Comment[FractionationMethod],Comment[FractionIdentifier],Comment[FragmentationMethod],Comment[FragmentMassTolerance],Comment[GradientTime],Comment[Instrument],Comment[IonizationType],Comment[MS2MassAnalyzer],Comment[NumberOfMissedCleavages],Comment[PrecursorMassTolerance],Comment[Separation],Characteristics[Age],Characteristics[AlkylationReagent],Characteristics[AnatomicSiteTumor],Characteristics[AncestryCategory],Characteristics[BMI],Characteristics[BiologicalReplicate],Characteristics[CellPart],Characteristics[CellType],Characteristics[Compound],Characteristics[ConcentrationOfCompound],Characteristics[Depletion],Characteristics[DevelopmentalStage],Characteristics[Disease],Characteristics[DiseaseTreatment],Characteristics[GeneticModification],Characteristics[Genotype],Characteristics[GrowthRate],Characteristics[NumberOfBiologicalReplicates],Characteristics[NumberOfSamples],Characteristics[NumberOfTechnicalReplicates],Characteristics[OrganismPart],Characteristics[OriginSiteDisease],Characteristics[PooledSample],Characteristics[SamplingTime],Characteristics[Sex],Characteristics[Specimen],Characteristics[SpikedCompound],Characteristics[Staining],Characteristics[Strain],Characteristics[SyntheticPeptide],Characteristics[TumorCellularity],Characteristics[TumorGrade],Characteristics[TumorSize],Characteristics[TumorSite],Characteristics[TumorStage],Comment[CollisionEnergy],Comment[NumberOfFractions],Usage
188,PXD061195,01-036-VGL-20211018-nsp31-TMT16-0C_1.raw,HEK293T cells,Trypsin/Lys-C,TMT132C,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,Lambda 21G,Lambda 21G,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,0% C,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
189,PXD061195,01-036-VGL-20211018-nsp31-TMT16-0C_1.raw,HEK293T cells,Trypsin/Lys-C,TMT133N,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,Lambda 21G,Lambda 21G,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,0% C,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
190,PXD061195,01-036-VGL-20211018-nsp31-TMT16-0C_1.raw,HEK293T cells,Trypsin/Lys-C,TMT133C,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,Delta 21J,Delta 21J,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,0% C,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
191,PXD061195,01-036-VGL-20211018-nsp31-TMT16-0C_1.raw,HEK293T cells,Trypsin/Lys-C,TMT134N,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,Delta 21J,Delta 21J,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,0% C,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
192,PXD061195,01-036-VGL-20211018-nsp31-TMT16-20C_3.raw,HEK293T cells,Trypsin/Lys-C,TMT126,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,Kappa 21B,Kappa 21B,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,20% C,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
193,PXD061195,01-036-VGL-20211018-nsp31-TMT16-20C_3.raw,HEK293T cells,Trypsin/Lys-C,TMT127N,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,Kappa 21B,Kappa 21B,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,20% C,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
194,PXD061195,01-036-VGL-20211018-nsp31-TMT16-20C_3.raw,HEK293T cells,Trypsin/Lys-C,TMT127C,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,GFP control,GFP control,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,20% C,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
195,PXD061195,01-036-VGL-20211018-nsp31-TMT16-20C_3.raw,HEK293T cells,Trypsin/Lys-C,TMT128N,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,GFP control,GFP control,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,20% C,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
196,PXD061195,01-036-VGL-20211018-nsp31-TMT16-20C_3.raw,HEK293T cells,Trypsin/Lys-C,TMT128C,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,Wuhan-Hu-1,Wuhan-Hu-1,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,20% C,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
197,PXD061195,01-036-VGL-20211018-nsp31-TMT16-20C_3.raw,HEK293T cells,Trypsin/Lys-C,TMT129N,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,Wuhan-Hu-1,Wuhan-Hu-1,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,20% C,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
198,PXD061195,01-036-VGL-20211018-nsp31-TMT16-20C_3.raw,HEK293T cells,Trypsin/Lys-C,TMT129C,cell line,Methionine Oxidation,N-terminal Acetylation,Lysine TMTpro,Cys Carbamidomethylation,9606 (Homo sapiens),TCEP,24 hours,37°C,Immunoprecipation,Alpha 20I,Alpha 20I,DDA,FLAG co-Immunoprecipitation,500 nL/min,RP-HPLC,20% C,HCD,0.02 Da,130 min,Thermo Orbitrap Exploris 480,ESI,Orbitrap,2,20 ppm,C18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
