ID,PXD,Raw Data File,Characteristics[BiologicalReplicate],Characteristics[CellLine],Characteristics[CellPart],Characteristics[CellType],Characteristics[CleavageAgent],Characteristics[Disease],Characteristics[Genotype],Characteristics[Label],Characteristics[MaterialType],Characteristics[NumberOfBiologicalReplicates],Characteristics[NumberOfTechnicalReplicates],Characteristics[Organism],Characteristics[ReductionReagent],Characteristics[SamplingTime],Characteristics[Treatment],FactorValue[Disease],Comment[AcquisitionMethod],Comment[FlowRateChromatogram],Comment[FractionationMethod],Comment[FragmentationMethod],Comment[GradientTime],Comment[Instrument],Comment[IonizationType],Comment[MS2MassAnalyzer],Comment[NumberOfMissedCleavages],Comment[PrecursorMassTolerance],Comment[Separation],Characteristics[Age],Characteristics[AlkylationReagent],Characteristics[AnatomicSiteTumor],Characteristics[AncestryCategory],Characteristics[BMI],Characteristics[Bait],Characteristics[Compound],Characteristics[ConcentrationOfCompound],Characteristics[Depletion],Characteristics[DevelopmentalStage],Characteristics[DiseaseTreatment],Characteristics[GeneticModification],Characteristics[GrowthRate],Characteristics[Modification],Characteristics[NumberOfSamples],Characteristics[OrganismPart],Characteristics[OriginSiteDisease],Characteristics[PooledSample],Characteristics[Sex],Characteristics[Specimen],Characteristics[SpikedCompound],Characteristics[Staining],Characteristics[Strain],Characteristics[SyntheticPeptide],Characteristics[Temperature],Characteristics[Time],Characteristics[TumorCellularity],Characteristics[TumorGrade],Characteristics[TumorSize],Characteristics[TumorSite],Characteristics[TumorStage],Comment[CollisionEnergy],Comment[EnrichmentMethod],Comment[FractionIdentifier],Comment[FragmentMassTolerance],Comment[NumberOfFractions],Usage
74,PXD062877,20240924_006_West_BMDM_2055_rep1.raw,4,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,Polg D257A,label free,cell line,4,2,10090 (Mus musculus),DTT,8 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
75,PXD062877,20240924_006_West_BMDM_2055_rep2.raw,4,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,Polg D257A,label free,cell line,4,2,10090 (Mus musculus),DTT,8 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
76,PXD062877,20240924_007_West_BMDM_2044_rep1.raw,1,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,,Polg D257A,label free,cell line,4,2,10090 (Mus musculus),DTT,0 hrs,Unifected,,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
77,PXD062877,20240924_007_West_BMDM_2044_rep2.raw,1,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,,Polg D257A,label free,cell line,4,2,10090 (Mus musculus),DTT,0 hrs,Unifected,,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
78,PXD062877,20240924_008_West_BMDM_2040_rep1.raw,1,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,WidType,label free,cell line,4,2,10090 (Mus musculus),DTT,8 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
79,PXD062877,20240924_008_West_BMDM_2040_rep2.raw,1,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,WidType,label free,cell line,4,2,10090 (Mus musculus),DTT,8 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
80,PXD062877,20240924_009_West_BMDM_2053_rep1.raw,2,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,Polg D257A,label free,cell line,4,2,10090 (Mus musculus),DTT,8 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
81,PXD062877,20240924_009_West_BMDM_2053_rep2.raw,2,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,Polg D257A,label free,cell line,4,2,10090 (Mus musculus),DTT,8 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
82,PXD062877,20240924_010_West_BMDM_2045_rep1.raw,2,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,,Polg D257A,label free,cell line,4,2,10090 (Mus musculus),DTT,0 hrs,Unifected,,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
83,PXD062877,20240924_010_West_BMDM_2045_rep2.raw,2,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,,Polg D257A,label free,cell line,4,2,10090 (Mus musculus),DTT,0 hrs,Unifected,,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
84,PXD062877,20240924_011_West_BMDM_2050_rep1.raw,3,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,Polg D257A,label free,cell line,4,2,10090 (Mus musculus),DTT,2 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
85,PXD062877,20240924_011_West_BMDM_2050_rep2.raw,3,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,Polg D257A,label free,cell line,4,2,10090 (Mus musculus),DTT,2 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
86,PXD062877,20240924_012_West_BMDM_2042_rep1.raw,3,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,WidType,label free,cell line,4,2,10090 (Mus musculus),DTT,8 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
87,PXD062877,20240924_012_West_BMDM_2042_rep2.raw,3,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,WidType,label free,cell line,4,2,10090 (Mus musculus),DTT,8 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
88,PXD062877,20240924_013_West_BMDM_2038_rep1.raw,3,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,WidType,label free,cell line,4,2,10090 (Mus musculus),DTT,2 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Public
89,PXD062877,20240924_013_West_BMDM_2038_rep2.raw,3,L929 ,subcutaneous areolar and adipose tissue,fibroblasts,trypsin,Mitochondrial disease,WidType,label free,cell line,4,2,10090 (Mus musculus),DTT,2 hrs,PAO1 infection,Mitochondrial disease,DIA,120000 nL/min,RP UHPLC,HCD,25 min,Thermo Orbitrap Astral,EASY-spray ESI,Astral analyzer,1,10 ppm,C-18 reversed-phase,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Private
