source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD006003-Sample-11	homo sapiens, mus musculus	melanoma	metastatic melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	116	not available	not available	run 11	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	8 ppm	10 ppm	20161101_MH_SA_PD1_5-4.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD006003-Sample-12	homo sapiens, mus musculus	melanoma	metastatic melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	116	not available	not available	run 12	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	8 ppm	10 ppm	20161101_MH_SA_PD1_5-5.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD006003-Sample-13	homo sapiens, mus musculus	melanoma	metastatic melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	116	not available	not available	run 13	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	8 ppm	10 ppm	20161101_MH_SA_PD1_50-1.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD006003-Sample-14	homo sapiens, mus musculus	melanoma	metastatic melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	116	not available	not available	run 14	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	8 ppm	10 ppm	20161101_MH_SA_PD1_50-2.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD006003-Sample-15	homo sapiens, mus musculus	melanoma	metastatic melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	116	not available	not available	run 15	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	8 ppm	10 ppm	20161117_MH_SA_PD1_17-5.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD006003-Sample-16	homo sapiens, mus musculus	melanoma	metastatic melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	116	not available	not available	run 16	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	8 ppm	10 ppm	20161117_MH_SA_PD1_44-3.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD006003-Sample-17	homo sapiens, mus musculus	melanoma	metastatic melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	116	not available	not available	run 17	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	8 ppm	10 ppm	20161117_MH_SA_PD1_45-1.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD006003-Sample-18	homo sapiens, mus musculus	melanoma	metastatic melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	116	not available	not available	run 18	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	8 ppm	10 ppm	20170322_MH_SA_PD1_18_4.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD006003-Sample-19	homo sapiens, mus musculus	melanoma	metastatic melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	116	not available	not available	run 19	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	8 ppm	10 ppm	20170329_MH_SA_PD1_26_3.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD006003-Sample-20	homo sapiens, mus musculus	melanoma	metastatic melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	116	not available	not available	run 20	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	8 ppm	10 ppm	20170329_MH_SA_PD1_42_3.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD006003-Sample-21	homo sapiens, mus musculus	melanoma	metastatic melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	116	not available	not available	run 21	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	8 ppm	10 ppm	20170329_MH_SA_PD1_4_2.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD006003-Sample-22	homo sapiens, mus musculus	melanoma	metastatic melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	116	not available	not available	run 22	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	8 ppm	10 ppm	Animal_20180709_MH_SA_PD1_59_1.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD006003-Sample-23	homo sapiens, mus musculus	melanoma	metastatic melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	116	not available	not available	run 23	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	8 ppm	10 ppm	Animal_20180709_MH_SA_PD1_60_4.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD006003-Sample-24	homo sapiens, mus musculus	melanoma	metastatic melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	116	not available	not available	run 24	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	8 ppm	10 ppm	Animal_20180726_SA_MH_PD1_68_4.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD006003-Sample-25	homo sapiens, mus musculus	melanoma	metastatic melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	116	not available	not available	run 25	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	8 ppm	10 ppm	Animal_20180726_SA_MH_PD1_73_5.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD006003-Sample-26	homo sapiens, mus musculus	melanoma	metastatic melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	116	not available	not available	run 26	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	8 ppm	10 ppm	Animal_20180726_SA_MH_PD1_83_1.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD006003-Sample-27	homo sapiens, mus musculus	melanoma	metastatic melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	116	not available	not available	run 27	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	8 ppm	10 ppm	Animal_20180902_SA_MH_PD1_71_2.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD006003-Sample-28	homo sapiens, mus musculus	melanoma	metastatic melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	116	not available	not available	run 28	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	8 ppm	10 ppm	Animal_20180902_SA_MH_PD1_72_4.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD006003-Sample-29	homo sapiens, mus musculus	melanoma	metastatic melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	116	not available	not available	run 29	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	8 ppm	10 ppm	Fozzie_20181010_MH_SA_PD1_70_3.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
PXD006003-Sample-30	homo sapiens, mus musculus	melanoma	metastatic melanoma	melanoma cells	WM266–4, WM115, A375, Mel526, Mel624, Mel76, Mel04, YUMMER1.7	not available	116	not available	not available	run 30	proteomic profiling by mass spectrometry	data-dependent acquisition	label free sample	Q-Exactive Plus, Q-Exactive HF	not available	1	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (TIL, anti-PD1), response (responders, non-responders)	8 ppm	10 ppm	Fozzie_20181010_MH_SA_PD1_75_1.raw	v1.1.0	HAMLET-agentic v0.1.0	metastatic melanoma
