source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD001468-Sample-11	Homo sapiens, Mus musculus	kidney	normal	epithelial cell	HEK293	not available	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	search strategy (Closed, Open)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=farnesylated residue;AC=MOD:00437;MT=?	NT=carboxylated residue;AC=MOD:01152;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=biotinylated residue;AC=MOD:01885;MT=?	NT=S-pyridylethyl-L-cysteine;AC=MOD:00424;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=methylthiolated residue;AC=MOD:01153;MT=?	NT=homoserine;AC=MOD:00403;MT=?	NT=amidated residue;AC=MOD:00674;MT=?	NT=iodoacetic acid derivatized residue;AC=MOD:00399;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=sulfated residue;AC=MOD:00695;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=homoserine lactone;AC=MOD:00404;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=formylated residue;AC=MOD:00493;MT=?	NT=deaminated residue;AC=MOD:01160;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=monosodium salt;AC=MOD:00423;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=dehydrated residue;AC=MOD:00704;MT=?	dithiothreitol	iodoacetamide	Orbitrap	35%, 25%	b1945_293T_proteinID_09B_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001468-Sample-12	Homo sapiens, Mus musculus	kidney	normal	epithelial cell	HEK293	not available	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	search strategy (Closed, Open)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=farnesylated residue;AC=MOD:00437;MT=?	NT=carboxylated residue;AC=MOD:01152;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=biotinylated residue;AC=MOD:01885;MT=?	NT=S-pyridylethyl-L-cysteine;AC=MOD:00424;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=methylthiolated residue;AC=MOD:01153;MT=?	NT=homoserine;AC=MOD:00403;MT=?	NT=amidated residue;AC=MOD:00674;MT=?	NT=iodoacetic acid derivatized residue;AC=MOD:00399;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=sulfated residue;AC=MOD:00695;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=homoserine lactone;AC=MOD:00404;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=formylated residue;AC=MOD:00493;MT=?	NT=deaminated residue;AC=MOD:01160;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=monosodium salt;AC=MOD:00423;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=dehydrated residue;AC=MOD:00704;MT=?	dithiothreitol	iodoacetamide	Orbitrap	35%, 25%	b1940_293T_proteinID_04B_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001468-Sample-13	Homo sapiens, Mus musculus	kidney	normal	epithelial cell	HEK293	not available	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	search strategy (Closed, Open)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=farnesylated residue;AC=MOD:00437;MT=?	NT=carboxylated residue;AC=MOD:01152;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=biotinylated residue;AC=MOD:01885;MT=?	NT=S-pyridylethyl-L-cysteine;AC=MOD:00424;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=methylthiolated residue;AC=MOD:01153;MT=?	NT=homoserine;AC=MOD:00403;MT=?	NT=amidated residue;AC=MOD:00674;MT=?	NT=iodoacetic acid derivatized residue;AC=MOD:00399;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=sulfated residue;AC=MOD:00695;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=homoserine lactone;AC=MOD:00404;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=formylated residue;AC=MOD:00493;MT=?	NT=deaminated residue;AC=MOD:01160;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=monosodium salt;AC=MOD:00423;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=dehydrated residue;AC=MOD:00704;MT=?	dithiothreitol	iodoacetamide	Orbitrap	35%, 25%	b1937_293T_proteinID_01B_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001468-Sample-14	Homo sapiens, Mus musculus	kidney	normal	epithelial cell	HEK293	not available	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	search strategy (Closed, Open)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=farnesylated residue;AC=MOD:00437;MT=?	NT=carboxylated residue;AC=MOD:01152;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=biotinylated residue;AC=MOD:01885;MT=?	NT=S-pyridylethyl-L-cysteine;AC=MOD:00424;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=methylthiolated residue;AC=MOD:01153;MT=?	NT=homoserine;AC=MOD:00403;MT=?	NT=amidated residue;AC=MOD:00674;MT=?	NT=iodoacetic acid derivatized residue;AC=MOD:00399;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=sulfated residue;AC=MOD:00695;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=homoserine lactone;AC=MOD:00404;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=formylated residue;AC=MOD:00493;MT=?	NT=deaminated residue;AC=MOD:01160;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=monosodium salt;AC=MOD:00423;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=dehydrated residue;AC=MOD:00704;MT=?	dithiothreitol	iodoacetamide	Orbitrap	35%, 25%	b1926_293T_proteinID_06A_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001468-Sample-15	Homo sapiens, Mus musculus	kidney	normal	epithelial cell	HEK293	not available	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	search strategy (Closed, Open)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=farnesylated residue;AC=MOD:00437;MT=?	NT=carboxylated residue;AC=MOD:01152;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=biotinylated residue;AC=MOD:01885;MT=?	NT=S-pyridylethyl-L-cysteine;AC=MOD:00424;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=methylthiolated residue;AC=MOD:01153;MT=?	NT=homoserine;AC=MOD:00403;MT=?	NT=amidated residue;AC=MOD:00674;MT=?	NT=iodoacetic acid derivatized residue;AC=MOD:00399;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=sulfated residue;AC=MOD:00695;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=homoserine lactone;AC=MOD:00404;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=formylated residue;AC=MOD:00493;MT=?	NT=deaminated residue;AC=MOD:01160;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=monosodium salt;AC=MOD:00423;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=dehydrated residue;AC=MOD:00704;MT=?	dithiothreitol	iodoacetamide	Orbitrap	35%, 25%	b1942_293T_proteinID_06B_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001468-Sample-16	Homo sapiens, Mus musculus	kidney	normal	epithelial cell	HEK293	not available	not available	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	search strategy (Closed, Open)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=farnesylated residue;AC=MOD:00437;MT=?	NT=carboxylated residue;AC=MOD:01152;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=biotinylated residue;AC=MOD:01885;MT=?	NT=S-pyridylethyl-L-cysteine;AC=MOD:00424;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=methylthiolated residue;AC=MOD:01153;MT=?	NT=homoserine;AC=MOD:00403;MT=?	NT=amidated residue;AC=MOD:00674;MT=?	NT=iodoacetic acid derivatized residue;AC=MOD:00399;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=sulfated residue;AC=MOD:00695;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=homoserine lactone;AC=MOD:00404;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=formylated residue;AC=MOD:00493;MT=?	NT=deaminated residue;AC=MOD:01160;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=monosodium salt;AC=MOD:00423;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=dehydrated residue;AC=MOD:00704;MT=?	dithiothreitol	iodoacetamide	Orbitrap	35%, 25%	b1941_293T_proteinID_05B_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001468-Sample-17	Homo sapiens, Mus musculus	kidney	normal	epithelial cell	HEK293	not available	not available	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	search strategy (Closed, Open)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=farnesylated residue;AC=MOD:00437;MT=?	NT=carboxylated residue;AC=MOD:01152;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=biotinylated residue;AC=MOD:01885;MT=?	NT=S-pyridylethyl-L-cysteine;AC=MOD:00424;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=methylthiolated residue;AC=MOD:01153;MT=?	NT=homoserine;AC=MOD:00403;MT=?	NT=amidated residue;AC=MOD:00674;MT=?	NT=iodoacetic acid derivatized residue;AC=MOD:00399;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=sulfated residue;AC=MOD:00695;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=homoserine lactone;AC=MOD:00404;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=formylated residue;AC=MOD:00493;MT=?	NT=deaminated residue;AC=MOD:01160;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=monosodium salt;AC=MOD:00423;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=dehydrated residue;AC=MOD:00704;MT=?	dithiothreitol	iodoacetamide	Orbitrap	35%, 25%	b1932_293T_proteinID_12A_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001468-Sample-18	Homo sapiens, Mus musculus	kidney	normal	epithelial cell	HEK293	not available	not available	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	search strategy (Closed, Open)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=farnesylated residue;AC=MOD:00437;MT=?	NT=carboxylated residue;AC=MOD:01152;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=biotinylated residue;AC=MOD:01885;MT=?	NT=S-pyridylethyl-L-cysteine;AC=MOD:00424;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=methylthiolated residue;AC=MOD:01153;MT=?	NT=homoserine;AC=MOD:00403;MT=?	NT=amidated residue;AC=MOD:00674;MT=?	NT=iodoacetic acid derivatized residue;AC=MOD:00399;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=sulfated residue;AC=MOD:00695;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=homoserine lactone;AC=MOD:00404;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=formylated residue;AC=MOD:00493;MT=?	NT=deaminated residue;AC=MOD:01160;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=monosodium salt;AC=MOD:00423;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=dehydrated residue;AC=MOD:00704;MT=?	dithiothreitol	iodoacetamide	Orbitrap	35%, 25%	b1931_293T_proteinID_11A_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001468-Sample-19	Homo sapiens, Mus musculus	kidney	normal	epithelial cell	HEK293	not available	not available	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	search strategy (Closed, Open)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=farnesylated residue;AC=MOD:00437;MT=?	NT=carboxylated residue;AC=MOD:01152;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=biotinylated residue;AC=MOD:01885;MT=?	NT=S-pyridylethyl-L-cysteine;AC=MOD:00424;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=methylthiolated residue;AC=MOD:01153;MT=?	NT=homoserine;AC=MOD:00403;MT=?	NT=amidated residue;AC=MOD:00674;MT=?	NT=iodoacetic acid derivatized residue;AC=MOD:00399;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=sulfated residue;AC=MOD:00695;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=homoserine lactone;AC=MOD:00404;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=formylated residue;AC=MOD:00493;MT=?	NT=deaminated residue;AC=MOD:01160;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=monosodium salt;AC=MOD:00423;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=dehydrated residue;AC=MOD:00704;MT=?	dithiothreitol	iodoacetamide	Orbitrap	35%, 25%	b1944_293T_proteinID_08B_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001468-Sample-20	Homo sapiens, Mus musculus	kidney	normal	epithelial cell	HEK293	not available	not available	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	search strategy (Closed, Open)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=farnesylated residue;AC=MOD:00437;MT=?	NT=carboxylated residue;AC=MOD:01152;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=biotinylated residue;AC=MOD:01885;MT=?	NT=S-pyridylethyl-L-cysteine;AC=MOD:00424;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=methylthiolated residue;AC=MOD:01153;MT=?	NT=homoserine;AC=MOD:00403;MT=?	NT=amidated residue;AC=MOD:00674;MT=?	NT=iodoacetic acid derivatized residue;AC=MOD:00399;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=sulfated residue;AC=MOD:00695;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=homoserine lactone;AC=MOD:00404;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=formylated residue;AC=MOD:00493;MT=?	NT=deaminated residue;AC=MOD:01160;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=monosodium salt;AC=MOD:00423;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=dehydrated residue;AC=MOD:00704;MT=?	dithiothreitol	iodoacetamide	Orbitrap	35%, 25%	b1943_293T_proteinID_07B_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001468-Sample-21	Homo sapiens, Mus musculus	kidney	normal	epithelial cell	HEK293	not available	not available	not available	not available	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	search strategy (Closed, Open)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=farnesylated residue;AC=MOD:00437;MT=?	NT=carboxylated residue;AC=MOD:01152;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=biotinylated residue;AC=MOD:01885;MT=?	NT=S-pyridylethyl-L-cysteine;AC=MOD:00424;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=methylthiolated residue;AC=MOD:01153;MT=?	NT=homoserine;AC=MOD:00403;MT=?	NT=amidated residue;AC=MOD:00674;MT=?	NT=iodoacetic acid derivatized residue;AC=MOD:00399;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=sulfated residue;AC=MOD:00695;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=homoserine lactone;AC=MOD:00404;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=formylated residue;AC=MOD:00493;MT=?	NT=deaminated residue;AC=MOD:01160;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=monosodium salt;AC=MOD:00423;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=dehydrated residue;AC=MOD:00704;MT=?	dithiothreitol	iodoacetamide	Orbitrap	35%, 25%	b1948_293T_proteinID_12B_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001468-Sample-22	Homo sapiens, Mus musculus	kidney	normal	epithelial cell	HEK293	not available	not available	not available	not available	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	search strategy (Closed, Open)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=farnesylated residue;AC=MOD:00437;MT=?	NT=carboxylated residue;AC=MOD:01152;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=biotinylated residue;AC=MOD:01885;MT=?	NT=S-pyridylethyl-L-cysteine;AC=MOD:00424;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=methylthiolated residue;AC=MOD:01153;MT=?	NT=homoserine;AC=MOD:00403;MT=?	NT=amidated residue;AC=MOD:00674;MT=?	NT=iodoacetic acid derivatized residue;AC=MOD:00399;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=sulfated residue;AC=MOD:00695;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=homoserine lactone;AC=MOD:00404;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=formylated residue;AC=MOD:00493;MT=?	NT=deaminated residue;AC=MOD:01160;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=monosodium salt;AC=MOD:00423;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=dehydrated residue;AC=MOD:00704;MT=?	dithiothreitol	iodoacetamide	Orbitrap	35%, 25%	b1947_293T_proteinID_11B_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001468-Sample-23	Homo sapiens, Mus musculus	kidney	normal	epithelial cell	HEK293	not available	not available	not available	not available	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	search strategy (Closed, Open)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=farnesylated residue;AC=MOD:00437;MT=?	NT=carboxylated residue;AC=MOD:01152;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=biotinylated residue;AC=MOD:01885;MT=?	NT=S-pyridylethyl-L-cysteine;AC=MOD:00424;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=methylthiolated residue;AC=MOD:01153;MT=?	NT=homoserine;AC=MOD:00403;MT=?	NT=amidated residue;AC=MOD:00674;MT=?	NT=iodoacetic acid derivatized residue;AC=MOD:00399;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=sulfated residue;AC=MOD:00695;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=homoserine lactone;AC=MOD:00404;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=formylated residue;AC=MOD:00493;MT=?	NT=deaminated residue;AC=MOD:01160;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=monosodium salt;AC=MOD:00423;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=dehydrated residue;AC=MOD:00704;MT=?	dithiothreitol	iodoacetamide	Orbitrap	35%, 25%	b1927_293T_proteinID_07A_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD001468-Sample-24	Homo sapiens, Mus musculus	kidney	normal	epithelial cell	HEK293	not available	not available	not available	not available	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	Q-Exactive Orbitrap, LTQ Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	search strategy (Closed, Open)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=farnesylated residue;AC=MOD:00437;MT=?	NT=carboxylated residue;AC=MOD:01152;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=biotinylated residue;AC=MOD:01885;MT=?	NT=S-pyridylethyl-L-cysteine;AC=MOD:00424;MT=?	NT=carbamoylated residue;AC=MOD:00398;MT=?	NT=methylthiolated residue;AC=MOD:01153;MT=?	NT=homoserine;AC=MOD:00403;MT=?	NT=amidated residue;AC=MOD:00674;MT=?	NT=iodoacetic acid derivatized residue;AC=MOD:00399;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	NT=sulfated residue;AC=MOD:00695;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	NT=deamidated residue;AC=MOD:00400;MT=?	NT=homoserine lactone;AC=MOD:00404;MT=?	NT=phosphorylated residue;AC=MOD:00696;MT=?	NT=formylated residue;AC=MOD:00493;MT=?	NT=deaminated residue;AC=MOD:01160;MT=?	NT=dihydroxylated residue;AC=MOD:00428;MT=?	NT=monosodium salt;AC=MOD:00423;MT=?	NT=(R)-5-oxo-1;AC=MOD:00419;MT=?	NT=dehydrated residue;AC=MOD:00704;MT=?	dithiothreitol	iodoacetamide	Orbitrap	35%, 25%	b1930_293T_proteinID_10A_QE3_122212.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
