source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD004242-Sample-11	Homo sapiens	plasma	obese	not available	not available	18 and 65 years	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time (before weight loss, after weight loss, and five time points during weight maintenance)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	orbitrap	20150805_QEp1_LC7_PhGe_SA_Plate1D_30_4.raw	v1.1.0	HAMLET-agentic v2.1.0	obese
PXD004242-Sample-12	Homo sapiens	plasma	obese	not available	not available	18 and 65 years	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time (before weight loss, after weight loss, and five time points during weight maintenance)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	orbitrap	20150805_QEp1_LC7_PhGe_SA_Plate1D_30_5.raw	v1.1.0	HAMLET-agentic v2.1.0	obese
PXD004242-Sample-13	Homo sapiens	plasma	obese	not available	not available	18 and 65 years	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time (before weight loss, after weight loss, and five time points during weight maintenance)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	orbitrap	20150805_QEp1_LC7_PhGe_SA_Plate1D_41_7.raw	v1.1.0	HAMLET-agentic v2.1.0	obese
PXD004242-Sample-14	Homo sapiens	plasma	obese	not available	not available	18 and 65 years	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time (before weight loss, after weight loss, and five time points during weight maintenance)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	orbitrap	20150811_QEp1_LC7_PhGe_SA_Plate2B_21_7.raw	v1.1.0	HAMLET-agentic v2.1.0	obese
PXD004242-Sample-15	Homo sapiens	plasma	obese	not available	not available	18 and 65 years	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time (before weight loss, after weight loss, and five time points during weight maintenance)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	orbitrap	20150811_QEp1_LC7_PhGe_SA_Plate2B_29_2.raw	v1.1.0	HAMLET-agentic v2.1.0	obese
PXD004242-Sample-16	Homo sapiens	plasma	obese	not available	not available	18 and 65 years	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time (before weight loss, after weight loss, and five time points during weight maintenance)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	orbitrap	20150824_QEp1_LC7_PhGe_SA_Plate4D_14_6.raw	v1.1.0	HAMLET-agentic v2.1.0	obese
PXD004242-Sample-17	Homo sapiens	plasma	obese	not available	not available	18 and 65 years	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time (before weight loss, after weight loss, and five time points during weight maintenance)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	orbitrap	20150827_QEp1_LC7_PhGe_SA_Plate2C_06_6.raw	v1.1.0	HAMLET-agentic v2.1.0	obese
PXD004242-Sample-18	Homo sapiens	plasma	obese	not available	not available	18 and 65 years	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time (before weight loss, after weight loss, and five time points during weight maintenance)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	orbitrap	20150827_QEp1_LC7_PhGe_SA_Plate2C_38_1.raw	v1.1.0	HAMLET-agentic v2.1.0	obese
PXD004242-Sample-19	Homo sapiens	plasma	obese	not available	not available	18 and 65 years	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time (before weight loss, after weight loss, and five time points during weight maintenance)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	orbitrap	20150827_QEp1_LC7_PhGe_SA_Plate2C_38_6.raw	v1.1.0	HAMLET-agentic v2.1.0	obese
PXD004242-Sample-20	Homo sapiens	plasma	obese	not available	not available	18 and 65 years	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time (before weight loss, after weight loss, and five time points during weight maintenance)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	orbitrap	20150827_QEp1_LC7_PhGe_SA_Plate2C_42_3.raw	v1.1.0	HAMLET-agentic v2.1.0	obese
PXD004242-Sample-21	Homo sapiens	plasma	obese	not available	not available	18 and 65 years	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time (before weight loss, after weight loss, and five time points during weight maintenance)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	orbitrap	20150901_QEp1_LC7_PhGe_SA_Plate1E_1_6.raw	v1.1.0	HAMLET-agentic v2.1.0	obese
PXD004242-Sample-22	Homo sapiens	plasma	obese	not available	not available	18 and 65 years	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time (before weight loss, after weight loss, and five time points during weight maintenance)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	orbitrap	20150901_QEp1_LC7_PhGe_SA_Plate1E_30_5.raw	v1.1.0	HAMLET-agentic v2.1.0	obese
PXD004242-Sample-23	Homo sapiens	plasma	obese	not available	not available	18 and 65 years	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time (before weight loss, after weight loss, and five time points during weight maintenance)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	orbitrap	20150901_QEp1_LC7_PhGe_SA_Plate1E_45_7.raw	v1.1.0	HAMLET-agentic v2.1.0	obese
PXD004242-Sample-24	Homo sapiens	plasma	obese	not available	not available	18 and 65 years	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time (before weight loss, after weight loss, and five time points during weight maintenance)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	orbitrap	20150907_QEp1_LC7_PhGe_SA_Plate2D_29_6.raw	v1.1.0	HAMLET-agentic v2.1.0	obese
PXD004242-Sample-25	Homo sapiens	plasma	obese	not available	not available	18 and 65 years	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time (before weight loss, after weight loss, and five time points during weight maintenance)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	orbitrap	20150907_QEp1_LC7_PhGe_SA_Plate2D_36_7.raw	v1.1.0	HAMLET-agentic v2.1.0	obese
PXD004242-Sample-26	Homo sapiens	plasma	obese	not available	not available	18 and 65 years	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time (before weight loss, after weight loss, and five time points during weight maintenance)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	orbitrap	20150907_QEp1_LC7_PhGe_SA_Plate2D_49_2.raw	v1.1.0	HAMLET-agentic v2.1.0	obese
PXD004242-Sample-27	Homo sapiens	plasma	obese	not available	not available	18 and 65 years	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time (before weight loss, after weight loss, and five time points during weight maintenance)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	orbitrap	20150912_QEp1_LC7_PhGe_SA_Plate3D_48_4.raw	v1.1.0	HAMLET-agentic v2.1.0	obese
PXD004242-Sample-28	Homo sapiens	plasma	obese	not available	not available	18 and 65 years	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time (before weight loss, after weight loss, and five time points during weight maintenance)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	orbitrap	20150917_QEp1_LC7_PhGe_SA_Plate3B_35_1.raw	v1.1.0	HAMLET-agentic v2.1.0	obese
PXD004242-Sample-29	Homo sapiens	plasma	obese	not available	not available	18 and 65 years	run 29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time (before weight loss, after weight loss, and five time points during weight maintenance)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	orbitrap	20150917_QEp1_LC7_PhGe_SA_Plate3C_37_6.raw	v1.1.0	HAMLET-agentic v2.1.0	obese
PXD004242-Sample-30	Homo sapiens	plasma	obese	not available	not available	18 and 65 years	run 30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time (before weight loss, after weight loss, and five time points during weight maintenance)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	orbitrap	20150917_QEp1_LC8_PhGe_SA_Plate3D_51_2.raw	v1.1.0	HAMLET-agentic v2.1.0	obese
PXD004242-Sample-31	Homo sapiens	plasma	obese	not available	not available	18 and 65 years	run 31	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time (before weight loss, after weight loss, and five time points during weight maintenance)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	orbitrap	20150901_QEp1_LC7_PhGe_SA_Plate1E_19_2.raw	v1.1.0	HAMLET-agentic v2.1.0	obese
PXD004242-Sample-32	Homo sapiens	plasma	obese	not available	not available	18 and 65 years	run 32	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time (before weight loss, after weight loss, and five time points during weight maintenance)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	orbitrap	20150917_QEp1_LC7_PhGe_SA_Plate4C_03_7.raw	v1.1.0	HAMLET-agentic v2.1.0	obese
PXD004242-Sample-33	Homo sapiens	plasma	obese	not available	not available	18 and 65 years	run 33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time (before weight loss, after weight loss, and five time points during weight maintenance)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	orbitrap	20150618_QEp1_LC7_PhGe_SA_Plate1B_30_3.raw	v1.1.0	HAMLET-agentic v2.1.0	obese
PXD004242-Sample-34	Homo sapiens	plasma	obese	not available	not available	18 and 65 years	run 34	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time (before weight loss, after weight loss, and five time points during weight maintenance)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	orbitrap	20150624_QEp1_LC7_PhGe_SA_Plate2A_36_1.raw	v1.1.0	HAMLET-agentic v2.1.0	obese
PXD004242-Sample-35	Homo sapiens	plasma	obese	not available	not available	18 and 65 years	run 35	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time (before weight loss, after weight loss, and five time points during weight maintenance)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	orbitrap	20150618_QEp1_LC7_PhGe_SA_Plate1B_11_3.raw	v1.1.0	HAMLET-agentic v2.1.0	obese
PXD004242-Sample-36	Homo sapiens	plasma	obese	not available	not available	18 and 65 years	run 36	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time (before weight loss, after weight loss, and five time points during weight maintenance)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	orbitrap	20150917_QEp1_LC7_PhGe_SA_Plate2A_25_1.raw	v1.1.0	HAMLET-agentic v2.1.0	obese
PXD004242-Sample-37	Homo sapiens	plasma	obese	not available	not available	18 and 65 years	run 37	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time (before weight loss, after weight loss, and five time points during weight maintenance)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	orbitrap	20150618_QEp1_LC7_PhGe_SA_Plate1B_41_1.raw	v1.1.0	HAMLET-agentic v2.1.0	obese
PXD004242-Sample-38	Homo sapiens	plasma	obese	not available	not available	18 and 65 years	run 38	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time (before weight loss, after weight loss, and five time points during weight maintenance)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	orbitrap	20150811_QEp1_LC7_PhGe_SA_Plate2B_21_2.raw	v1.1.0	HAMLET-agentic v2.1.0	obese
PXD004242-Sample-39	Homo sapiens	plasma	obese	not available	not available	18 and 65 years	run 39	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive HF;AC=MS:1002523	NT=Lys-C;AC=MS:1001309	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	time (before weight loss, after weight loss, and five time points during weight maintenance)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	7 ppm	20 ppm	orbitrap	20150725_QEp1_LC7_PhGe_SA_Plate3B_39_2.raw	v1.1.0	HAMLET-agentic v2.1.0	obese
