source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD031991-Sample-11	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 11	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150508_S_ASIR_01_01_Capsa1_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-12	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 12	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	2021MH000_CRNA_002_02.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-13	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 13	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150512_S_ASIR_02_02_Capsa1_PIC_II_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-14	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 14	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	161220_S_ASIR_01_01_2ug_CID_IT.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-15	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 15	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	160308_S_Histone_Human_PIC_01_02_2ug_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-16	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 16	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_06_01_Human_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-17	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 17	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	160308_S_Histone_Sycon1_PIC_01_02_2ug_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-18	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 18	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_30_03_HCD_Corallochytrium.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-19	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 19	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	160427_S_Histones_02_01_physco_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-20	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 20	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_26_01_Spizello1_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-21	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 21	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150508_S_ASIR_02_02_Capsa1_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-22	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 22	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150625_S_ASIR_01_03_Acanth1_HCD_Fusion.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-23	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 23	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_13_01_Phyto1_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-24	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 24	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	2020MH001_CRNA_002_02_20pto.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-25	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 25	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_19_01_Bige1_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-26	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 26	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_37_03_HCD_Thecamonas.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-27	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 27	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	160427_S_Histones_01_02_physco_green_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-28	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 28	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_13_01_Phyto1_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-29	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 29	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_30_01_Corallo1_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-30	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 30	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150218_S_ASIR_03_01_Theca1.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-31	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 31	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	161220_S_ASIR_03_01_2ug_HCD_IT.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-32	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 32	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_33_01_Sycon2_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-33	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 33	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_04_01_Acantha1_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-34	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 34	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_31_01_Corallo2_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-35	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 35	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_10_01_Spizello1_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-36	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 36	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_19_01_Bige1_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-37	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 37	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_34_01_Sycon3_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-38	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 38	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_16_01_Phyto4_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-39	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 39	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_20_01_Bige2_HCD.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-40	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 40	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_18_01_Thalas2_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-41	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 41	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150508_S_ASIR_01_02_Capsa1_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-42	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 42	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_26_01_Spizello1_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-43	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 43	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	2021MZ001_CRNA_001_01_45pto.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-44	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 44	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	2021MZ001_CRNA_002_01_45pto.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-45	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 45	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_04_04_CID_Acanthamoeba.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-46	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 46	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	160427_S_Histones_01_01_physco_green_CID.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-47	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 47	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	2021MH000_CRNA_012_01.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-48	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 48	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_11_04_CID_Physcomitrella.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-49	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 49	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	2021MH000_CRNA_004_01.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-50	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 50	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	161220_S_ASIR_07_01_2ug_CID_IT.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-51	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 51	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	2021MZ002_CRNA_004_01_45pto.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
PXD031991-Sample-52	Capsaspora owczarzaki	not available	not available	filopodial cells, ES cells	30	not available	not available	run 52	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	1	1	not available	phylogenetic group (Eukaryota, Archaea)	NT=Acetyl;AC=UNIMOD:1;MT=Variable;TA=K	7 ppm	beta-mercaptoethanol	orbitrap	150527_S_ASIR_26_04_CID_Spizellomyces.raw	v1.1.0	HAMLET-agentic v0.1.0	not available
