source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD002266-Sample-20	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130412_002_UL01429-LS-01.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-21	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130412_002_UL01429-LS-12.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-22	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130830_001_UL01504-LS-08.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-23	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130412_002_UL01429-LS-04.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-24	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130830_001_UL01504-LS-03.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-25	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130412_002_UL01429-LS-16.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-26	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130412_002_UL01429-LS-02.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-27	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130830_001_UL01504-LS-17.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-28	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130830_001_UL01504-LS-04.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-29	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130412_002_UL01429-LS-11.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-30	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130830_001_UL01504-LS-16.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-31	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 31	proteomic profiling by mass spectrometry	not available	not available	LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130830_001_UL01504-LS-02.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-32	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 32	proteomic profiling by mass spectrometry	not available	not available	LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130412_002_UL01429-LS-08.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-33	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 33	proteomic profiling by mass spectrometry	not available	not available	LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130830_001_UL01504-LS-09.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-34	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 34	proteomic profiling by mass spectrometry	not available	not available	LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130412_002_UL01429-LS-09.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
PXD002266-Sample-35	P. falciparum	not available	not available	schizonts	not available	not available	not available	run 35	proteomic profiling by mass spectrometry	not available	not available	LTQ Orbitrap Velos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (wild-type, PfPKGT618Q mutant), treatment (Compound 2)	NT=Phospho;AC=UNIMOD:21;MT=?	NT=TMT6plex;AC=UNIMOD:737;MT=?	NT=Carbamidomethyl;AC=UNIMOD:4;MT=?	NT=Oxidation;AC=UNIMOD:35;MT=?	dithiothreitol	iodoacetamide	Orbitrap	normalized collision energy of 42.5	130830_001_UL01504-LS-12.raw	v1.1.0	HAMLET-agentic v2.2.5	not available
