source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000262-Sample-11	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=N-ethylmaleimide on cysteines;AC=UNIMOD:108;MT=Variable;TA=C	NT=Nethylmaleimidehydrolysis;AC=UNIMOD:320;MT=Variable;TA=C	7 ppm	20 ppm	orbitrap	101211_EXP191_CYTO_6.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-12	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=N-ethylmaleimide on cysteines;AC=UNIMOD:108;MT=Variable;TA=C	NT=Nethylmaleimidehydrolysis;AC=UNIMOD:320;MT=Variable;TA=C	7 ppm	20 ppm	orbitrap	101211_EXP191_CYTO_7.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-13	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=N-ethylmaleimide on cysteines;AC=UNIMOD:108;MT=Variable;TA=C	NT=Nethylmaleimidehydrolysis;AC=UNIMOD:320;MT=Variable;TA=C	7 ppm	20 ppm	orbitrap	101211_EXP191_MEM_1.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-14	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=N-ethylmaleimide on cysteines;AC=UNIMOD:108;MT=Variable;TA=C	NT=Nethylmaleimidehydrolysis;AC=UNIMOD:320;MT=Variable;TA=C	7 ppm	20 ppm	orbitrap	101211_EXP191_MEM_2.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-15	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=N-ethylmaleimide on cysteines;AC=UNIMOD:108;MT=Variable;TA=C	NT=Nethylmaleimidehydrolysis;AC=UNIMOD:320;MT=Variable;TA=C	7 ppm	20 ppm	orbitrap	101211_EXP191_MEM_3.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-16	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=N-ethylmaleimide on cysteines;AC=UNIMOD:108;MT=Variable;TA=C	NT=Nethylmaleimidehydrolysis;AC=UNIMOD:320;MT=Variable;TA=C	7 ppm	20 ppm	orbitrap	101211_EXP191_NUC_7.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-17	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=N-ethylmaleimide on cysteines;AC=UNIMOD:108;MT=Variable;TA=C	NT=Nethylmaleimidehydrolysis;AC=UNIMOD:320;MT=Variable;TA=C	7 ppm	20 ppm	orbitrap	101211_EXP191_NUC_8.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-18	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Nethylmaleimidehydrolysis;AC=UNIMOD:320;MT=Variable;TA=C	NT=N-ethylmaleimide on cysteines;AC=UNIMOD:108;MT=Variable;TA=C	7 ppm	20 ppm	orbitrap	101211_EXP191_TCL_1.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-19	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=N-ethylmaleimide on cysteines;AC=UNIMOD:108;MT=Variable;TA=C	NT=Nethylmaleimidehydrolysis;AC=UNIMOD:320;MT=Variable;TA=C	7 ppm	20 ppm	orbitrap	101211_EXP191_TCL_5.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-20	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=N-ethylmaleimide on cysteines;AC=UNIMOD:108;MT=Variable;TA=C	NT=Nethylmaleimidehydrolysis;AC=UNIMOD:320;MT=Variable;TA=C	7 ppm	20 ppm	orbitrap	101211_EXP191_TCL_6.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-21	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=N-ethylmaleimide on cysteines;AC=UNIMOD:108;MT=Variable;TA=C	NT=Nethylmaleimidehydrolysis;AC=UNIMOD:320;MT=Variable;TA=C	7 ppm	20 ppm	orbitrap	101211_EXP191_TCL_7.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-22	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Nethylmaleimidehydrolysis;AC=UNIMOD:320;MT=Variable;TA=C	NT=N-ethylmaleimide on cysteines;AC=UNIMOD:108;MT=Variable;TA=C	7 ppm	20 ppm	orbitrap	181211_EXP191_CYTOSKEL.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-23	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=N-ethylmaleimide on cysteines;AC=UNIMOD:108;MT=Variable;TA=C	NT=Nethylmaleimidehydrolysis;AC=UNIMOD:320;MT=Variable;TA=C	7 ppm	20 ppm	orbitrap	221111_EXP187_5_1.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-24	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=N-ethylmaleimide on cysteines;AC=UNIMOD:108;MT=Variable;TA=C	NT=Nethylmaleimidehydrolysis;AC=UNIMOD:320;MT=Variable;TA=C	7 ppm	20 ppm	orbitrap	PT1621S1FP1A2.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-25	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=N-ethylmaleimide on cysteines;AC=UNIMOD:108;MT=Variable;TA=C	NT=Nethylmaleimidehydrolysis;AC=UNIMOD:320;MT=Variable;TA=C	7 ppm	20 ppm	orbitrap	PT1621S2FP1A12.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-26	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=N-ethylmaleimide on cysteines;AC=UNIMOD:108;MT=Variable;TA=C	NT=Nethylmaleimidehydrolysis;AC=UNIMOD:320;MT=Variable;TA=C	7 ppm	20 ppm	orbitrap	PT1621S2FP1B10.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-27	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=N-ethylmaleimide on cysteines;AC=UNIMOD:108;MT=Variable;TA=C	NT=Nethylmaleimidehydrolysis;AC=UNIMOD:320;MT=Variable;TA=C	7 ppm	20 ppm	orbitrap	PT1621S3FP1B1.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-28	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=N-ethylmaleimide on cysteines;AC=UNIMOD:108;MT=Variable;TA=C	NT=Nethylmaleimidehydrolysis;AC=UNIMOD:320;MT=Variable;TA=C	7 ppm	20 ppm	orbitrap	PT1621S4FP1C2.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-29	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=N-ethylmaleimide on cysteines;AC=UNIMOD:108;MT=Variable;TA=C	NT=Nethylmaleimidehydrolysis;AC=UNIMOD:320;MT=Variable;TA=C	7 ppm	20 ppm	orbitrap	PT1621S4FP1C4.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-30	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=N-ethylmaleimide on cysteines;AC=UNIMOD:108;MT=Variable;TA=C	NT=Nethylmaleimidehydrolysis;AC=UNIMOD:320;MT=Variable;TA=C	7 ppm	20 ppm	orbitrap	PT1624S1F00.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-31	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 31	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	7 ppm	20 ppm	orbitrap	PT1621S3FP1B2.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-32	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 32	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	7 ppm	20 ppm	orbitrap	031111_EXP187_B1.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-33	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	7 ppm	20 ppm	orbitrap	PT1624S2F00.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
PXD000262-Sample-34	Homo sapiens	bone	osteosarcoma	osteosarcoma cell	U2OS	not available	not available	not available	not available	run 34	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	treatment (DMSO, cycloheximide, MG132), subcellular compartment (nucleus, cytosol, cytoskeleton, membrane)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	not applicable	not applicable	7 ppm	20 ppm	orbitrap	PT1621S1FP1A4.raw	v1.1.0	HAMLET-agentic v2.1.0	osteosarcoma
