source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[reduction reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD006401-Sample-13	Mus musculus, Homo sapiens	kidney, tonsil	ctsl−/−	not available	male	6-months	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample preparation protocol (DTR, FASP 10k, FASP 30k), histological staining (H&E, hematoxylin, hemalaun, unstained)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	2_DTR2.raw	v1.1.0	HAMLET-agentic v2.2.5	ctsl−/−
PXD006401-Sample-14	Mus musculus, Homo sapiens	kidney, tonsil	ctsl−/−	not available	male	6-months	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample preparation protocol (DTR, FASP 10k, FASP 30k), histological staining (H&E, hematoxylin, hemalaun, unstained)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	6_hemalaun1_2.raw	v1.1.0	HAMLET-agentic v2.2.5	ctsl−/−
PXD006401-Sample-15	Mus musculus, Homo sapiens	kidney, tonsil	ctsl−/−	not available	male	6-months	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample preparation protocol (DTR, FASP 10k, FASP 30k), histological staining (H&E, hematoxylin, hemalaun, unstained)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	3_hematoxylin1_1.raw	v1.1.0	HAMLET-agentic v2.2.5	ctsl−/−
PXD006401-Sample-16	Mus musculus, Homo sapiens	kidney, tonsil	ctsl−/−	not available	male	6-months	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample preparation protocol (DTR, FASP 10k, FASP 30k), histological staining (H&E, hematoxylin, hemalaun, unstained)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	12_hematoxylin2_2.raw	v1.1.0	HAMLET-agentic v2.2.5	ctsl−/−
PXD006401-Sample-17	Mus musculus, Homo sapiens	kidney, tonsil	ctsl−/−	not available	male	6-months	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample preparation protocol (DTR, FASP 10k, FASP 30k), histological staining (H&E, hematoxylin, hemalaun, unstained)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	3_DTR3.raw	v1.1.0	HAMLET-agentic v2.2.5	ctsl−/−
PXD006401-Sample-18	Mus musculus, Homo sapiens	kidney, tonsil	ctsl−/−	not available	male	6-months	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample preparation protocol (DTR, FASP 10k, FASP 30k), histological staining (H&E, hematoxylin, hemalaun, unstained)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	13_hemalaun2_1.raw	v1.1.0	HAMLET-agentic v2.2.5	ctsl−/−
PXD006401-Sample-19	Mus musculus, Homo sapiens	kidney, tonsil	ctsl−/−	not available	male	6-months	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample preparation protocol (DTR, FASP 10k, FASP 30k), histological staining (H&E, hematoxylin, hemalaun, unstained)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	10_FASP30k_2.raw	v1.1.0	HAMLET-agentic v2.2.5	ctsl−/−
PXD006401-Sample-20	Mus musculus, Homo sapiens	kidney, tonsil	ctsl−/−	not available	male	6-months	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample preparation protocol (DTR, FASP 10k, FASP 30k), histological staining (H&E, hematoxylin, hemalaun, unstained)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	10_HE2_2.raw	v1.1.0	HAMLET-agentic v2.2.5	ctsl−/−
PXD006401-Sample-21	Mus musculus, Homo sapiens	kidney, tonsil	ctsl−/−	not available	male	6-months	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample preparation protocol (DTR, FASP 10k, FASP 30k), histological staining (H&E, hematoxylin, hemalaun, unstained)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	1_DTR1.raw	v1.1.0	HAMLET-agentic v2.2.5	ctsl−/−
PXD006401-Sample-22	Mus musculus, Homo sapiens	kidney, tonsil	ctsl−/−	not available	male	6-months	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample preparation protocol (DTR, FASP 10k, FASP 30k), histological staining (H&E, hematoxylin, hemalaun, unstained)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	4_DTR4.raw	v1.1.0	HAMLET-agentic v2.2.5	ctsl−/−
PXD006401-Sample-23	Mus musculus, Homo sapiens	kidney, tonsil	ctsl−/−	not available	male	6-months	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample preparation protocol (DTR, FASP 10k, FASP 30k), histological staining (H&E, hematoxylin, hemalaun, unstained)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	7_FASP10k_3.raw	v1.1.0	HAMLET-agentic v2.2.5	ctsl−/−
PXD006401-Sample-24	Mus musculus, Homo sapiens	kidney, tonsil	ctsl−/−	not available	male	6-months	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample preparation protocol (DTR, FASP 10k, FASP 30k), histological staining (H&E, hematoxylin, hemalaun, unstained)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	11_FASP30k_3.raw	v1.1.0	HAMLET-agentic v2.2.5	ctsl−/−
PXD006401-Sample-25	Mus musculus, Homo sapiens	kidney, tonsil	ctsl−/−	not available	male	6-months	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample preparation protocol (DTR, FASP 10k, FASP 30k), histological staining (H&E, hematoxylin, hemalaun, unstained)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	5_hemalaun1_1.raw	v1.1.0	HAMLET-agentic v2.2.5	ctsl−/−
PXD006401-Sample-26	Mus musculus, Homo sapiens	kidney, tonsil	ctsl−/−	not available	male	6-months	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample preparation protocol (DTR, FASP 10k, FASP 30k), histological staining (H&E, hematoxylin, hemalaun, unstained)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	9_FASP30k_1.raw	v1.1.0	HAMLET-agentic v2.2.5	ctsl−/−
PXD006401-Sample-27	Mus musculus, Homo sapiens	kidney, tonsil	ctsl−/−	not available	male	6-months	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample preparation protocol (DTR, FASP 10k, FASP 30k), histological staining (H&E, hematoxylin, hemalaun, unstained)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	8_FASP10k_4.raw	v1.1.0	HAMLET-agentic v2.2.5	ctsl−/−
PXD006401-Sample-28	Mus musculus, Homo sapiens	kidney, tonsil	ctsl−/−	not available	male	6-months	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	sample preparation protocol (DTR, FASP 10k, FASP 30k), histological staining (H&E, hematoxylin, hemalaun, unstained)	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	6_FASP10k_2.raw	v1.1.0	HAMLET-agentic v2.2.5	ctsl−/−
