source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000282-Sample-11	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	NT=Deuterium Methylation of Lysine;AC=UNIMOD:284;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_KO_11.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-12	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	NT=Deuterium Methylation of Lysine;AC=UNIMOD:284;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_KO_15.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-13	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	NT=Deuterium Methylation of Lysine;AC=UNIMOD:284;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_KO_16.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-14	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	NT=Deuterium Methylation of Lysine;AC=UNIMOD:284;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_KO_17.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-15	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	NT=Deuterium Methylation of Lysine;AC=UNIMOD:284;MT=Variable;TA=K	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_KO_18.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-16	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	NT=Deuterium Methylation of Lysine;AC=UNIMOD:284;MT=Variable;TA=K	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_KO_19.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-17	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	NT=Deuterium Methylation of Lysine;AC=UNIMOD:284;MT=Variable;TA=K	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_KO_22.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-18	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	NT=Deuterium Methylation of Lysine;AC=UNIMOD:284;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_KO_3.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-19	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	NT=Deuterium Methylation of Lysine;AC=UNIMOD:284;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_KO_4.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-20	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	NT=Deuterium Methylation of Lysine;AC=UNIMOD:284;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_WT_11.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-21	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	NT=Deuterium Methylation of Lysine;AC=UNIMOD:284;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_WT_14.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-22	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	NT=Deuterium Methylation of Lysine;AC=UNIMOD:284;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_WT_15.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-23	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	NT=Deuterium Methylation of Lysine;AC=UNIMOD:284;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_WT_17.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-24	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	NT=Deuterium Methylation of Lysine;AC=UNIMOD:284;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_WT_18.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-25	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	NT=Deuterium Methylation of Lysine;AC=UNIMOD:284;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_WT_22.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-26	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	NT=Deuterium Methylation of Lysine;AC=UNIMOD:284;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_WT_24.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-27	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	NT=Deuterium Methylation of Lysine;AC=UNIMOD:284;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_WT_3.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-28	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	NT=Deuterium Methylation of Lysine;AC=UNIMOD:284;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_WT_6.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-29	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	NT=Deuterium Methylation of Lysine;AC=UNIMOD:284;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_WT_7.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
PXD000282-Sample-30	Mus musculus	plasma, platelets	epac1-deficient, healthy	platelets	not available	not available	not available	run 30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Orbitrap Velos Pro;AC=MS:1003096	NT=Trypsin;AC=MS:1001251	not available	not available	not available	genotype (WT, Epac1-/-)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Methyl;AC=UNIMOD:34;MT=Variable;TA=K	NT=Deuterium Methylation of Lysine;AC=UNIMOD:284;MT=Variable;TA=K	NT=Carbamyl;AC=UNIMOD:5;MT=Variable;TA=K	8 ppm	0.4 m/z	orbitrap	300m/z-2000m/z	35 NCE	P_WT_8.raw	v1.1.0	HAMLET-agentic v2.1.0	epac1-deficient, healthy
