source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000115-Sample-11	Homo sapiens	kidney	not available	epithelial cell	HEK 293, HeLa, MDBK	not available	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait (Npro-GST, GST alone), treatment (poly(I·C)), glutathione concentration (10 mM, 30 mM), zinc status (presence of zinc, TPEN chelator)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6-ppm	0.6-Da	orbitrap	100804_03.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000115-Sample-12	Homo sapiens	kidney	not available	epithelial cell	HEK 293, HeLa, MDBK	not available	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait (Npro-GST, GST alone), treatment (poly(I·C)), glutathione concentration (10 mM, 30 mM), zinc status (presence of zinc, TPEN chelator)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6-ppm	0.6-Da	orbitrap	100804_04.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000115-Sample-13	Homo sapiens	kidney	not available	epithelial cell	HEK 293, HeLa, MDBK	not available	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait (Npro-GST, GST alone), treatment (poly(I·C)), glutathione concentration (10 mM, 30 mM), zinc status (presence of zinc, TPEN chelator)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6-ppm	0.6-Da	orbitrap	100804_05.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000115-Sample-14	Homo sapiens	kidney	not available	epithelial cell	HEK 293, HeLa, MDBK	not available	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait (Npro-GST, GST alone), treatment (poly(I·C)), glutathione concentration (10 mM, 30 mM), zinc status (presence of zinc, TPEN chelator)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6-ppm	0.6-Da	orbitrap	100804_06.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000115-Sample-15	Homo sapiens	kidney	not available	epithelial cell	HEK 293, HeLa, MDBK	not available	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait (Npro-GST, GST alone), treatment (poly(I·C)), glutathione concentration (10 mM, 30 mM), zinc status (presence of zinc, TPEN chelator)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6-ppm	0.6-Da	orbitrap	100804_07.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000115-Sample-16	Homo sapiens	kidney	not available	epithelial cell	HEK 293, HeLa, MDBK	not available	not available	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait (Npro-GST, GST alone), treatment (poly(I·C)), glutathione concentration (10 mM, 30 mM), zinc status (presence of zinc, TPEN chelator)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6-ppm	0.6-Da	orbitrap	100804_08.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000115-Sample-17	Homo sapiens	kidney	not available	epithelial cell	HEK 293, HeLa, MDBK	not available	not available	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait (Npro-GST, GST alone), treatment (poly(I·C)), glutathione concentration (10 mM, 30 mM), zinc status (presence of zinc, TPEN chelator)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6-ppm	0.6-Da	orbitrap	100804_09.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000115-Sample-18	Homo sapiens	kidney	not available	epithelial cell	HEK 293, HeLa, MDBK	not available	not available	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait (Npro-GST, GST alone), treatment (poly(I·C)), glutathione concentration (10 mM, 30 mM), zinc status (presence of zinc, TPEN chelator)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6-ppm	0.6-Da	orbitrap	100804_10.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000115-Sample-19	Homo sapiens	kidney	not available	epithelial cell	HEK 293, HeLa, MDBK	not available	not available	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait (Npro-GST, GST alone), treatment (poly(I·C)), glutathione concentration (10 mM, 30 mM), zinc status (presence of zinc, TPEN chelator)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6-ppm	0.6-Da	orbitrap	100804_11.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000115-Sample-20	Homo sapiens	kidney	not available	epithelial cell	HEK 293, HeLa, MDBK	not available	not available	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait (Npro-GST, GST alone), treatment (poly(I·C)), glutathione concentration (10 mM, 30 mM), zinc status (presence of zinc, TPEN chelator)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6-ppm	0.6-Da	orbitrap	100804_12.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000115-Sample-21	Homo sapiens	kidney	not available	epithelial cell	HEK 293, HeLa, MDBK	not available	not available	not available	not available	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	not available	not available	not available	bait (Npro-GST, GST alone), treatment (poly(I·C)), glutathione concentration (10 mM, 30 mM), zinc status (presence of zinc, TPEN chelator)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6-ppm	0.6-Da	orbitrap	100804_13.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000115-Sample-22	Homo sapiens	kidney	not available	epithelial cell	HEK 293, HeLa, MDBK	not available	not available	not available	not available	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait (Npro-GST, GST alone), treatment (poly(I·C)), glutathione concentration (10 mM, 30 mM), zinc status (presence of zinc, TPEN chelator)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6-ppm	0.6-Da	orbitrap	100804_14.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000115-Sample-23	Homo sapiens	kidney	not available	epithelial cell	HEK 293, HeLa, MDBK	not available	not available	not available	not available	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait (Npro-GST, GST alone), treatment (poly(I·C)), glutathione concentration (10 mM, 30 mM), zinc status (presence of zinc, TPEN chelator)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6-ppm	0.6-Da	orbitrap	100804_15.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000115-Sample-24	Homo sapiens	kidney	not available	epithelial cell	HEK 293, HeLa, MDBK	not available	not available	not available	not available	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait (Npro-GST, GST alone), treatment (poly(I·C)), glutathione concentration (10 mM, 30 mM), zinc status (presence of zinc, TPEN chelator)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6-ppm	0.6-Da	orbitrap	100804_16.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000115-Sample-25	Homo sapiens	kidney	not available	epithelial cell	HEK 293, HeLa, MDBK	not available	not available	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait (Npro-GST, GST alone), treatment (poly(I·C)), glutathione concentration (10 mM, 30 mM), zinc status (presence of zinc, TPEN chelator)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6-ppm	0.6-Da	orbitrap	100804_17.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000115-Sample-26	Homo sapiens	kidney	not available	epithelial cell	HEK 293, HeLa, MDBK	not available	not available	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait (Npro-GST, GST alone), treatment (poly(I·C)), glutathione concentration (10 mM, 30 mM), zinc status (presence of zinc, TPEN chelator)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6-ppm	0.6-Da	orbitrap	100804_18.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000115-Sample-27	Homo sapiens	kidney	not available	epithelial cell	HEK 293, HeLa, MDBK	not available	not available	not available	not available	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait (Npro-GST, GST alone), treatment (poly(I·C)), glutathione concentration (10 mM, 30 mM), zinc status (presence of zinc, TPEN chelator)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6-ppm	0.6-Da	orbitrap	100804_19.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000115-Sample-28	Homo sapiens	kidney	not available	epithelial cell	HEK 293, HeLa, MDBK	not available	not available	not available	not available	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait (Npro-GST, GST alone), treatment (poly(I·C)), glutathione concentration (10 mM, 30 mM), zinc status (presence of zinc, TPEN chelator)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6-ppm	0.6-Da	orbitrap	100804_20.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000115-Sample-29	Homo sapiens	kidney	not available	epithelial cell	HEK 293, HeLa, MDBK	not available	not available	not available	not available	run 29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait (Npro-GST, GST alone), treatment (poly(I·C)), glutathione concentration (10 mM, 30 mM), zinc status (presence of zinc, TPEN chelator)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6-ppm	0.6-Da	orbitrap	100804_21.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
PXD000115-Sample-30	Homo sapiens	kidney	not available	epithelial cell	HEK 293, HeLa, MDBK	not available	not available	not available	not available	run 30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait (Npro-GST, GST alone), treatment (poly(I·C)), glutathione concentration (10 mM, 30 mM), zinc status (presence of zinc, TPEN chelator)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	6-ppm	0.6-Da	orbitrap	100804_22.raw	v1.1.0	HAMLET-agentic v2.1.0	not available
