source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000313-Sample-11	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	10_3.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-12	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	10_3.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-13	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	1_1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-14	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	1_1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-15	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	1_1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-16	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	1_1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-17	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	1_2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-18	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	1_2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-19	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	1_2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-20	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	1_2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-21	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	1_3.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-22	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	1_3.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-23	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	1_3.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-24	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	1_3.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-25	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	2_1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-26	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	2_1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-27	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	2_1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-28	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	2_1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-29	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	2_2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-30	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	2_2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-31	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	2_2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-32	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	2_2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-33	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	2_3.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-34	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	2_3.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-35	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	2_3.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-36	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	2_3.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-37	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	15 ppm	0.02 Da	orbitrap	3_1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-38	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	15 ppm	0.02 Da	orbitrap	3_1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-39	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	15 ppm	0.02 Da	orbitrap	3_1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-40	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	15 ppm	0.02 Da	orbitrap	3_1.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000313-Sample-41	Oryza sativa	embryos	normal	not available	not available	6, 12, 18, 24 and 30 DAP	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	Q Exactive, Triple Quad 5500	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	developmental stage (6 DAP, 12 DAP, 18 DAP, 24 DAP, 30 DAP)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	15 ppm	0.02 Da	orbitrap	3_2.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
