source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000281-Sample-15	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF7, LCC2	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	Thermo Scientific LTQ Orbitrap Velos, 4800 MALDI-TOF/TOF, Agilent 6530 Q-TOF	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (MCF7, LCC2), treatment (untreated, 4-OHT, fulvestrant), subcellular fraction (cytosolic, DNA-binding)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	orbitrap	HJ_LCC2_iTRAQ8_D-E2-4OHT-ICI_1mg_IPG37-49_fr44.raw	v1.1.0	HAMLET-agentic v2.1.0	breast carcinoma
PXD000281-Sample-16	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF7, LCC2	not available	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	Thermo Scientific LTQ Orbitrap Velos, 4800 MALDI-TOF/TOF, Agilent 6530 Q-TOF	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (MCF7, LCC2), treatment (untreated, 4-OHT, fulvestrant), subcellular fraction (cytosolic, DNA-binding)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	orbitrap	HJ_LCC2_iTRAQ8_D-E2-4OHT-ICI_1mg_IPG37-49_fr44.raw	v1.1.0	HAMLET-agentic v2.1.0	breast carcinoma
PXD000281-Sample-17	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF7, LCC2	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	Thermo Scientific LTQ Orbitrap Velos, 4800 MALDI-TOF/TOF, Agilent 6530 Q-TOF	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (MCF7, LCC2), treatment (untreated, 4-OHT, fulvestrant), subcellular fraction (cytosolic, DNA-binding)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	orbitrap	HJ_LCC2_iTRAQ8_D-E2-4OHT-ICI_1mg_IPG37-49_fr45.raw	v1.1.0	HAMLET-agentic v2.1.0	breast carcinoma
PXD000281-Sample-18	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF7, LCC2	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	Thermo Scientific LTQ Orbitrap Velos, 4800 MALDI-TOF/TOF, Agilent 6530 Q-TOF	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (MCF7, LCC2), treatment (untreated, 4-OHT, fulvestrant), subcellular fraction (cytosolic, DNA-binding)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	orbitrap	HJ_LCC2_iTRAQ8_D-E2-4OHT-ICI_1mg_IPG37-49_fr45.raw	v1.1.0	HAMLET-agentic v2.1.0	breast carcinoma
PXD000281-Sample-19	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF7, LCC2	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	Thermo Scientific LTQ Orbitrap Velos, 4800 MALDI-TOF/TOF, Agilent 6530 Q-TOF	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (MCF7, LCC2), treatment (untreated, 4-OHT, fulvestrant), subcellular fraction (cytosolic, DNA-binding)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	orbitrap	HJ_LCC2_iTRAQ8_D-E2-4OHT-ICI_1mg_IPG37-49_fr45.raw	v1.1.0	HAMLET-agentic v2.1.0	breast carcinoma
PXD000281-Sample-20	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF7, LCC2	not available	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	Thermo Scientific LTQ Orbitrap Velos, 4800 MALDI-TOF/TOF, Agilent 6530 Q-TOF	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (MCF7, LCC2), treatment (untreated, 4-OHT, fulvestrant), subcellular fraction (cytosolic, DNA-binding)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	orbitrap	HJ_LCC2_iTRAQ8_D-E2-4OHT-ICI_1mg_IPG37-49_fr45.raw	v1.1.0	HAMLET-agentic v2.1.0	breast carcinoma
PXD000281-Sample-21	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF7, LCC2	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	Thermo Scientific LTQ Orbitrap Velos, 4800 MALDI-TOF/TOF, Agilent 6530 Q-TOF	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (MCF7, LCC2), treatment (untreated, 4-OHT, fulvestrant), subcellular fraction (cytosolic, DNA-binding)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	orbitrap	HJ_LCC2_iTRAQ8_D-E2-4OHT-ICI_1mg_IPG37-49_fr47.raw	v1.1.0	HAMLET-agentic v2.1.0	breast carcinoma
PXD000281-Sample-22	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF7, LCC2	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	Thermo Scientific LTQ Orbitrap Velos, 4800 MALDI-TOF/TOF, Agilent 6530 Q-TOF	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (MCF7, LCC2), treatment (untreated, 4-OHT, fulvestrant), subcellular fraction (cytosolic, DNA-binding)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	orbitrap	HJ_LCC2_iTRAQ8_D-E2-4OHT-ICI_1mg_IPG37-49_fr47.raw	v1.1.0	HAMLET-agentic v2.1.0	breast carcinoma
PXD000281-Sample-23	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF7, LCC2	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	Thermo Scientific LTQ Orbitrap Velos, 4800 MALDI-TOF/TOF, Agilent 6530 Q-TOF	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (MCF7, LCC2), treatment (untreated, 4-OHT, fulvestrant), subcellular fraction (cytosolic, DNA-binding)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	orbitrap	HJ_LCC2_iTRAQ8_D-E2-4OHT-ICI_1mg_IPG37-49_fr47.raw	v1.1.0	HAMLET-agentic v2.1.0	breast carcinoma
PXD000281-Sample-24	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF7, LCC2	not available	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	Thermo Scientific LTQ Orbitrap Velos, 4800 MALDI-TOF/TOF, Agilent 6530 Q-TOF	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (MCF7, LCC2), treatment (untreated, 4-OHT, fulvestrant), subcellular fraction (cytosolic, DNA-binding)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	orbitrap	HJ_LCC2_iTRAQ8_D-E2-4OHT-ICI_1mg_IPG37-49_fr47.raw	v1.1.0	HAMLET-agentic v2.1.0	breast carcinoma
PXD000281-Sample-25	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF7, LCC2	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	Thermo Scientific LTQ Orbitrap Velos, 4800 MALDI-TOF/TOF, Agilent 6530 Q-TOF	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (MCF7, LCC2), treatment (untreated, 4-OHT, fulvestrant), subcellular fraction (cytosolic, DNA-binding)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	not applicable	orbitrap	HJ_LCC2_iTRAQ8_D-E2-4OHT-ICI_1mg_IPG37-49_fr49.raw	v1.1.0	HAMLET-agentic v2.1.0	breast carcinoma
PXD000281-Sample-26	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF7, LCC2	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	Thermo Scientific LTQ Orbitrap Velos, 4800 MALDI-TOF/TOF, Agilent 6530 Q-TOF	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (MCF7, LCC2), treatment (untreated, 4-OHT, fulvestrant), subcellular fraction (cytosolic, DNA-binding)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	not applicable	orbitrap	HJ_LCC2_iTRAQ8_D-E2-4OHT-ICI_1mg_IPG37-49_fr49.raw	v1.1.0	HAMLET-agentic v2.1.0	breast carcinoma
PXD000281-Sample-27	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF7, LCC2	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	Thermo Scientific LTQ Orbitrap Velos, 4800 MALDI-TOF/TOF, Agilent 6530 Q-TOF	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (MCF7, LCC2), treatment (untreated, 4-OHT, fulvestrant), subcellular fraction (cytosolic, DNA-binding)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	not applicable	orbitrap	HJ_LCC2_iTRAQ8_D-E2-4OHT-ICI_1mg_IPG37-49_fr49.raw	v1.1.0	HAMLET-agentic v2.1.0	breast carcinoma
PXD000281-Sample-28	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF7, LCC2	not available	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	Thermo Scientific LTQ Orbitrap Velos, 4800 MALDI-TOF/TOF, Agilent 6530 Q-TOF	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (MCF7, LCC2), treatment (untreated, 4-OHT, fulvestrant), subcellular fraction (cytosolic, DNA-binding)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	not applicable	orbitrap	HJ_LCC2_iTRAQ8_D-E2-4OHT-ICI_1mg_IPG37-49_fr49.raw	v1.1.0	HAMLET-agentic v2.1.0	breast carcinoma
PXD000281-Sample-29	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF7, LCC2	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	Thermo Scientific LTQ Orbitrap Velos, 4800 MALDI-TOF/TOF, Agilent 6530 Q-TOF	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (MCF7, LCC2), treatment (untreated, 4-OHT, fulvestrant), subcellular fraction (cytosolic, DNA-binding)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	not applicable	orbitrap	HJ_LCC2_iTRAQ8_D-E2-4OHT-ICI_1mg_IPG37-49_fr51.raw	v1.1.0	HAMLET-agentic v2.1.0	breast carcinoma
PXD000281-Sample-30	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF7, LCC2	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	Thermo Scientific LTQ Orbitrap Velos, 4800 MALDI-TOF/TOF, Agilent 6530 Q-TOF	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (MCF7, LCC2), treatment (untreated, 4-OHT, fulvestrant), subcellular fraction (cytosolic, DNA-binding)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	not applicable	orbitrap	HJ_LCC2_iTRAQ8_D-E2-4OHT-ICI_1mg_IPG37-49_fr51.raw	v1.1.0	HAMLET-agentic v2.1.0	breast carcinoma
PXD000281-Sample-31	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF7, LCC2	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	Thermo Scientific LTQ Orbitrap Velos, 4800 MALDI-TOF/TOF, Agilent 6530 Q-TOF	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (MCF7, LCC2), treatment (untreated, 4-OHT, fulvestrant), subcellular fraction (cytosolic, DNA-binding)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	not applicable	orbitrap	HJ_LCC2_iTRAQ8_D-E2-4OHT-ICI_1mg_IPG37-49_fr51.raw	v1.1.0	HAMLET-agentic v2.1.0	breast carcinoma
PXD000281-Sample-32	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF7, LCC2	not available	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	Thermo Scientific LTQ Orbitrap Velos, 4800 MALDI-TOF/TOF, Agilent 6530 Q-TOF	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (MCF7, LCC2), treatment (untreated, 4-OHT, fulvestrant), subcellular fraction (cytosolic, DNA-binding)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	not applicable	orbitrap	HJ_LCC2_iTRAQ8_D-E2-4OHT-ICI_1mg_IPG37-49_fr51.raw	v1.1.0	HAMLET-agentic v2.1.0	breast carcinoma
PXD000281-Sample-33	Homo sapiens	breast	breast carcinoma	epithelial cell	MCF7, LCC2	not available	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	Thermo Scientific LTQ Orbitrap Velos, 4800 MALDI-TOF/TOF, Agilent 6530 Q-TOF	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	cell line (MCF7, LCC2), treatment (untreated, 4-OHT, fulvestrant), subcellular fraction (cytosolic, DNA-binding)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=mTRAQ heavy;AC=UNIMOD:1302;MT=Variable;TA=H	orbitrap	HJ_LCC2_iTRAQ8_D-E2-4OHT-ICI_1mg_IPG37-49_fr55.raw	v1.1.0	HAMLET-agentic v2.1.0	breast carcinoma
