source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[precursor mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000174-Sample-11	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm2_SCX29.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-12	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm2_SCX30.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-13	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm2_SCX32.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-14	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm2_rerun_SCX29.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-15	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm2_rerun_SCX35.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-16	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm2_rerun_rerun_SCX27.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-17	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_HCD_SCX16.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-18	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_SCX09.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-19	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_SCX11.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-20	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_SCX13.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-21	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_SCX17.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-22	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_SCX18.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-23	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_rerun_HCD_SCX16.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-24	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_rerun_SCX05.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-25	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_rerun_SCX09.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-26	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_SCX08.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-27	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_SCX11.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-28	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_SCX17.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-29	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_SCX18.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-30	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_rerun_SCX09.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-31	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 31	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_HCD_SCX15.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-32	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 32	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_rerun_SCX15.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-33	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm1_SCX24.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-34	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 34	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm1_SCX36.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-35	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 35	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm1_SCX39.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-36	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 36	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_SCX04.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-37	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 37	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm1_SCX33.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-38	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 38	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm1_rerun_SCX27.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-39	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 39	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_SCX09.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-40	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 40	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_HCD_SCX12.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-41	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 41	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm2_rerun_SCX34.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-42	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 42	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm1_rerun_SCX20.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-43	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 43	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm1_rerun_SCX38.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-44	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 44	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_rerun_HCD_SCX17.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-45	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 45	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_rerun_SCX06.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-46	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 46	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_rerun_SCX14.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-47	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 47	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_rerun_SCX13.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-48	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 48	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_HCD_SCX10.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-49	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 49	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_rerun_HCD_SCX11.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-50	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 50	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_SCX12.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-51	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 51	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm1_rerun_SCX24.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-52	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 52	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100507_CP_EC_mm1_SCX25.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-53	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 53	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_SCX15.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-54	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 54	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_HCD_SCX14.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-55	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 55	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm2_rerun_HCD_SCX15.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000174-Sample-56	Mus musculus	heart	normal	cardiomyocyte	not available	not available	not available	run 56	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	transgenic peptide (AC3-I, AC3-C), isoproterenol treatment	not available	20 ppm	orbitrap	OR5_20100520_CP_EC_mm1_HCD_SCX09.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
