source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000261-Sample-11	Homo sapiens	frontal lobe	toxoplasma encephalitis co-infected with hiv, uninfected control	not available	not available	1 to 54 years	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (toxoplasma encephalitis co-infected with HIV, uninfected control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	20 ppm	0.1 Da	dithiothreitol	iodoacetamide	orbitrap	ToxoEncep_iTRAQ_11.raw	v1.1.0	HAMLET-agentic v2.1.0	toxoplasma encephalitis co-infected with hiv, uninfected control
PXD000261-Sample-12	Homo sapiens	frontal lobe	toxoplasma encephalitis co-infected with hiv, uninfected control	not available	not available	1 to 54 years	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (toxoplasma encephalitis co-infected with HIV, uninfected control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	20 ppm	0.1 Da	dithiothreitol	iodoacetamide	orbitrap	ToxoEncep_iTRAQ_12.raw	v1.1.0	HAMLET-agentic v2.1.0	toxoplasma encephalitis co-infected with hiv, uninfected control
PXD000261-Sample-13	Homo sapiens	frontal lobe	toxoplasma encephalitis co-infected with hiv, uninfected control	not available	not available	1 to 54 years	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (toxoplasma encephalitis co-infected with HIV, uninfected control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	20 ppm	0.1 Da	dithiothreitol	iodoacetamide	orbitrap	ToxoEncep_iTRAQ_13.raw	v1.1.0	HAMLET-agentic v2.1.0	toxoplasma encephalitis co-infected with hiv, uninfected control
PXD000261-Sample-14	Homo sapiens	frontal lobe	toxoplasma encephalitis co-infected with hiv, uninfected control	not available	not available	1 to 54 years	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (toxoplasma encephalitis co-infected with HIV, uninfected control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	20 ppm	0.1 Da	dithiothreitol	iodoacetamide	orbitrap	ToxoEncep_iTRAQ_14.raw	v1.1.0	HAMLET-agentic v2.1.0	toxoplasma encephalitis co-infected with hiv, uninfected control
PXD000261-Sample-15	Homo sapiens	frontal lobe	toxoplasma encephalitis co-infected with hiv, uninfected control	not available	not available	1 to 54 years	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (toxoplasma encephalitis co-infected with HIV, uninfected control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	20 ppm	0.1 Da	dithiothreitol	iodoacetamide	orbitrap	ToxoEncep_iTRAQ_15.raw	v1.1.0	HAMLET-agentic v2.1.0	toxoplasma encephalitis co-infected with hiv, uninfected control
PXD000261-Sample-16	Homo sapiens	frontal lobe	toxoplasma encephalitis co-infected with hiv, uninfected control	not available	not available	1 to 54 years	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (toxoplasma encephalitis co-infected with HIV, uninfected control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	20 ppm	0.1 Da	dithiothreitol	iodoacetamide	orbitrap	ToxoEncep_iTRAQ_16.raw	v1.1.0	HAMLET-agentic v2.1.0	toxoplasma encephalitis co-infected with hiv, uninfected control
PXD000261-Sample-17	Homo sapiens	frontal lobe	toxoplasma encephalitis co-infected with hiv, uninfected control	not available	not available	1 to 54 years	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (toxoplasma encephalitis co-infected with HIV, uninfected control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	20 ppm	0.1 Da	dithiothreitol	iodoacetamide	orbitrap	ToxoEncep_iTRAQ_17.raw	v1.1.0	HAMLET-agentic v2.1.0	toxoplasma encephalitis co-infected with hiv, uninfected control
PXD000261-Sample-18	Homo sapiens	frontal lobe	toxoplasma encephalitis co-infected with hiv, uninfected control	not available	not available	1 to 54 years	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (toxoplasma encephalitis co-infected with HIV, uninfected control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	20 ppm	0.1 Da	dithiothreitol	iodoacetamide	orbitrap	ToxoEncep_iTRAQ_18.raw	v1.1.0	HAMLET-agentic v2.1.0	toxoplasma encephalitis co-infected with hiv, uninfected control
PXD000261-Sample-19	Homo sapiens	frontal lobe	toxoplasma encephalitis co-infected with hiv, uninfected control	not available	not available	1 to 54 years	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (toxoplasma encephalitis co-infected with HIV, uninfected control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	20 ppm	0.1 Da	dithiothreitol	iodoacetamide	orbitrap	ToxoEncep_iTRAQ_19.raw	v1.1.0	HAMLET-agentic v2.1.0	toxoplasma encephalitis co-infected with hiv, uninfected control
PXD000261-Sample-20	Homo sapiens	frontal lobe	toxoplasma encephalitis co-infected with hiv, uninfected control	not available	not available	1 to 54 years	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (toxoplasma encephalitis co-infected with HIV, uninfected control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	20 ppm	0.1 Da	dithiothreitol	iodoacetamide	orbitrap	ToxoEncep_iTRAQ_20.raw	v1.1.0	HAMLET-agentic v2.1.0	toxoplasma encephalitis co-infected with hiv, uninfected control
PXD000261-Sample-21	Homo sapiens	frontal lobe	toxoplasma encephalitis co-infected with hiv, uninfected control	not available	not available	1 to 54 years	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (toxoplasma encephalitis co-infected with HIV, uninfected control)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=iTRAQ4plex;AC=UNIMOD:214;MT=Fixed;TA=K	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Formylation;AC=UNIMOD:122;MT=Variable;TA=K	20 ppm	0.1 Da	dithiothreitol	iodoacetamide	orbitrap	ToxoEncep_iTRAQ_21.raw	v1.1.0	HAMLET-agentic v2.1.0	toxoplasma encephalitis co-infected with hiv, uninfected control
