source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[reduction reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000409-Sample-11	Saccharomyces cerevisiae	yeast	normal	yeast cell	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	not available	AC=PRIDE:0000615;NT=SILAC heavy R:13C(6)15N(4)	AC=PRIDE:0000617;NT=SILAC heavy K:13C(6)15N(2)	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (standard, heat shock t=0, heat shock t=30 min)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=13C(6) 15N(2) Silac label;AC=UNIMOD:259;MT=Variable;TA=K	NT=Loss of Lysine;AC=UNIMOD:313;MT=Variable;TA=K	7 ppm	20 ppm	dithiothreitol	orbitrap	20110814_EXQ4_NaNa_SA_HSR_t30_03.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000409-Sample-12	Saccharomyces cerevisiae	yeast	normal	yeast cell	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	not available	AC=PRIDE:0000611;NT=SILAC light R:12C(6)14N(4)	AC=PRIDE:0000613;NT=SILAC light K:12C(6)14N(2)	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (standard, heat shock t=0, heat shock t=30 min)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=13C(6) 15N(2) Silac label;AC=UNIMOD:259;MT=Variable;TA=K	NT=Loss of Lysine;AC=UNIMOD:313;MT=Variable;TA=K	7 ppm	20 ppm	dithiothreitol	orbitrap	20110814_EXQ4_NaNa_SA_HSR_t30_03.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000409-Sample-13	Saccharomyces cerevisiae	yeast	normal	yeast cell	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	not available	AC=PRIDE:0000615;NT=SILAC heavy R:13C(6)15N(4)	AC=PRIDE:0000617;NT=SILAC heavy K:13C(6)15N(2)	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (standard, heat shock t=0, heat shock t=30 min)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=13C(6) 15N(2) Silac label;AC=UNIMOD:259;MT=Variable;TA=K	NT=Loss of Lysine;AC=UNIMOD:313;MT=Variable;TA=K	7 ppm	20 ppm	dithiothreitol	orbitrap	20110814_EXQ4_NaNa_SA_HSR_t75_01.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000409-Sample-14	Saccharomyces cerevisiae	yeast	normal	yeast cell	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	not available	AC=PRIDE:0000611;NT=SILAC light R:12C(6)14N(4)	AC=PRIDE:0000613;NT=SILAC light K:12C(6)14N(2)	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (standard, heat shock t=0, heat shock t=30 min)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=13C(6) 15N(2) Silac label;AC=UNIMOD:259;MT=Variable;TA=K	NT=Loss of Lysine;AC=UNIMOD:313;MT=Variable;TA=K	7 ppm	20 ppm	dithiothreitol	orbitrap	20110814_EXQ4_NaNa_SA_HSR_t75_01.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000409-Sample-15	Saccharomyces cerevisiae	yeast	normal	yeast cell	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=PRIDE:0000615;NT=SILAC heavy R:13C(6)15N(4)	AC=PRIDE:0000617;NT=SILAC heavy K:13C(6)15N(2)	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (standard, heat shock t=0, heat shock t=30 min)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=13C(6) 15N(2) Silac label;AC=UNIMOD:259;MT=Variable;TA=K	NT=Loss of Lysine;AC=UNIMOD:313;MT=Variable;TA=K	7 ppm	20 ppm	dithiothreitol	orbitrap	20110814_EXQ4_NaNa_SA_HSR_t75_02.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000409-Sample-16	Saccharomyces cerevisiae	yeast	normal	yeast cell	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-independent acquisition;AC=PRIDE:0000450	AC=PRIDE:0000611;NT=SILAC light R:12C(6)14N(4)	AC=PRIDE:0000613;NT=SILAC light K:12C(6)14N(2)	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (standard, heat shock t=0, heat shock t=30 min)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=13C(6) 15N(2) Silac label;AC=UNIMOD:259;MT=Variable;TA=K	NT=Loss of Lysine;AC=UNIMOD:313;MT=Variable;TA=K	7 ppm	20 ppm	dithiothreitol	orbitrap	20110814_EXQ4_NaNa_SA_HSR_t75_02.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000409-Sample-17	Saccharomyces cerevisiae	yeast	normal	yeast cell	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	not available	AC=PRIDE:0000615;NT=SILAC heavy R:13C(6)15N(4)	AC=PRIDE:0000617;NT=SILAC heavy K:13C(6)15N(2)	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (standard, heat shock t=0, heat shock t=30 min)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=13C(6) 15N(2) Silac label;AC=UNIMOD:259;MT=Variable;TA=K	NT=Loss of Lysine;AC=UNIMOD:313;MT=Variable;TA=K	7 ppm	20 ppm	dithiothreitol	orbitrap	20110814_EXQ4_NaNa_SA_HSR_t75_03.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000409-Sample-18	Saccharomyces cerevisiae	yeast	normal	yeast cell	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	not available	AC=PRIDE:0000611;NT=SILAC light R:12C(6)14N(4)	AC=PRIDE:0000613;NT=SILAC light K:12C(6)14N(2)	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (standard, heat shock t=0, heat shock t=30 min)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=13C(6) 15N(2) Silac label;AC=UNIMOD:259;MT=Variable;TA=K	NT=Loss of Lysine;AC=UNIMOD:313;MT=Variable;TA=K	7 ppm	20 ppm	dithiothreitol	orbitrap	20110814_EXQ4_NaNa_SA_HSR_t75_03.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000409-Sample-19	Saccharomyces cerevisiae	yeast	normal	yeast cell	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	not available	AC=PRIDE:0000615;NT=SILAC heavy R:13C(6)15N(4)	AC=PRIDE:0000617;NT=SILAC heavy K:13C(6)15N(2)	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (standard, heat shock t=0, heat shock t=30 min)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=13C(6) 15N(2) Silac label;AC=UNIMOD:259;MT=Variable;TA=K	NT=Loss of Lysine;AC=UNIMOD:313;MT=Variable;TA=K	7 ppm	20 ppm	dithiothreitol	orbitrap	20110815_EXQ4_NaNa_SA_HSR_t0_01.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000409-Sample-20	Saccharomyces cerevisiae	yeast	normal	yeast cell	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	not available	AC=PRIDE:0000611;NT=SILAC light R:12C(6)14N(4)	AC=PRIDE:0000613;NT=SILAC light K:12C(6)14N(2)	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (standard, heat shock t=0, heat shock t=30 min)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=13C(6) 15N(2) Silac label;AC=UNIMOD:259;MT=Variable;TA=K	NT=Loss of Lysine;AC=UNIMOD:313;MT=Variable;TA=K	7 ppm	20 ppm	dithiothreitol	orbitrap	20110815_EXQ4_NaNa_SA_HSR_t0_01.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000409-Sample-21	Saccharomyces cerevisiae	yeast	normal	yeast cell	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	not available	AC=PRIDE:0000615;NT=SILAC heavy R:13C(6)15N(4)	AC=PRIDE:0000617;NT=SILAC heavy K:13C(6)15N(2)	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (standard, heat shock t=0, heat shock t=30 min)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=13C(6) 15N(2) Silac label;AC=UNIMOD:259;MT=Variable;TA=K	NT=Loss of Lysine;AC=UNIMOD:313;MT=Variable;TA=K	7 ppm	20 ppm	dithiothreitol	orbitrap	20110815_EXQ4_NaNa_SA_HSR_t0_02.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000409-Sample-22	Saccharomyces cerevisiae	yeast	normal	yeast cell	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	not available	AC=PRIDE:0000611;NT=SILAC light R:12C(6)14N(4)	AC=PRIDE:0000613;NT=SILAC light K:12C(6)14N(2)	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (standard, heat shock t=0, heat shock t=30 min)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=13C(6) 15N(2) Silac label;AC=UNIMOD:259;MT=Variable;TA=K	NT=Loss of Lysine;AC=UNIMOD:313;MT=Variable;TA=K	7 ppm	20 ppm	dithiothreitol	orbitrap	20110815_EXQ4_NaNa_SA_HSR_t0_02.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000409-Sample-23	Saccharomyces cerevisiae	yeast	normal	yeast cell	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	not available	AC=PRIDE:0000615;NT=SILAC heavy R:13C(6)15N(4)	AC=PRIDE:0000617;NT=SILAC heavy K:13C(6)15N(2)	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (standard, heat shock t=0, heat shock t=30 min)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=13C(6) 15N(2) Silac label;AC=UNIMOD:259;MT=Variable;TA=K	NT=Loss of Lysine;AC=UNIMOD:313;MT=Variable;TA=K	7 ppm	20 ppm	dithiothreitol	orbitrap	20110815_EXQ4_NaNa_SA_HSR_t0_03.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000409-Sample-24	Saccharomyces cerevisiae	yeast	normal	yeast cell	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	not available	AC=PRIDE:0000611;NT=SILAC light R:12C(6)14N(4)	AC=PRIDE:0000613;NT=SILAC light K:12C(6)14N(2)	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (standard, heat shock t=0, heat shock t=30 min)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=13C(6) 15N(2) Silac label;AC=UNIMOD:259;MT=Variable;TA=K	NT=Loss of Lysine;AC=UNIMOD:313;MT=Variable;TA=K	7 ppm	20 ppm	dithiothreitol	orbitrap	20110815_EXQ4_NaNa_SA_HSR_t0_03.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000409-Sample-25	Saccharomyces cerevisiae	yeast	normal	yeast cell	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=PRIDE:0000615;NT=SILAC heavy R:13C(6)15N(4)	AC=PRIDE:0000617;NT=SILAC heavy K:13C(6)15N(2)	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (standard, heat shock t=0, heat shock t=30 min)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Loss of Lysine;AC=UNIMOD:313;MT=Variable;TA=K	NT=13C(6) 15N(2) Silac label;AC=UNIMOD:259;MT=Variable;TA=K	7 ppm	20 ppm	dithiothreitol	orbitrap	20110922_EXQ4_NaNa_SA_YeastEasy_Labelfree_01.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000409-Sample-26	Saccharomyces cerevisiae	yeast	normal	yeast cell	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=PRIDE:0000611;NT=SILAC light R:12C(6)14N(4)	AC=PRIDE:0000613;NT=SILAC light K:12C(6)14N(2)	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (standard, heat shock t=0, heat shock t=30 min)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Loss of Lysine;AC=UNIMOD:313;MT=Variable;TA=K	NT=13C(6) 15N(2) Silac label;AC=UNIMOD:259;MT=Variable;TA=K	7 ppm	20 ppm	dithiothreitol	orbitrap	20110922_EXQ4_NaNa_SA_YeastEasy_Labelfree_01.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000409-Sample-27	Saccharomyces cerevisiae	yeast	normal	yeast cell	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=PRIDE:0000615;NT=SILAC heavy R:13C(6)15N(4)	AC=PRIDE:0000617;NT=SILAC heavy K:13C(6)15N(2)	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (standard, heat shock t=0, heat shock t=30 min)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Loss of Lysine;AC=UNIMOD:313;MT=Variable;TA=K	NT=13C(6) 15N(2) Silac label;AC=UNIMOD:259;MT=Variable;TA=K	7 ppm	20 ppm	dithiothreitol	orbitrap	20110922_EXQ4_NaNa_SA_YeastEasy_Labelfree_02.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000409-Sample-28	Saccharomyces cerevisiae	yeast	normal	yeast cell	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=PRIDE:0000611;NT=SILAC light R:12C(6)14N(4)	AC=PRIDE:0000613;NT=SILAC light K:12C(6)14N(2)	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (standard, heat shock t=0, heat shock t=30 min)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Loss of Lysine;AC=UNIMOD:313;MT=Variable;TA=K	NT=13C(6) 15N(2) Silac label;AC=UNIMOD:259;MT=Variable;TA=K	7 ppm	20 ppm	dithiothreitol	orbitrap	20110922_EXQ4_NaNa_SA_YeastEasy_Labelfree_02.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000409-Sample-29	Saccharomyces cerevisiae	yeast	normal	yeast cell	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	AC=PRIDE:0000615;NT=SILAC heavy R:13C(6)15N(4)	AC=PRIDE:0000617;NT=SILAC heavy K:13C(6)15N(2)	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (standard, heat shock t=0, heat shock t=30 min)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	NT=Loss of Lysine;AC=UNIMOD:313;MT=Variable;TA=K	NT=13C(6) 15N(2) Silac label;AC=UNIMOD:259;MT=Variable;TA=K	7 ppm	20 ppm	dithiothreitol	orbitrap	20110922_EXQ4_NaNa_SA_YeastEasy_Labelfree_03.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
