source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[ms2 mass analyzer]	comment[ms1 scan range]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000118-Sample-11	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	4_SDS.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-12	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	4_Tween.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-13	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	Micyo_2_10_09_2D_Elute_1000mM.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-14	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	Micyo_2_10_09_2D_Elute_100mM.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-15	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	Micyo_2_10_09_2D_Elute_100mM_091003212339.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-16	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	Micyo_2_10_09_2D_Elute_10mM.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-17	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	Micyo_2_10_09_2D_Elute_10mM_091003122141.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-18	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	Micyo_2_10_09_2D_Elute_20mM.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-19	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	Micyo_2_10_09_2D_Elute_250mM.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-20	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	Micyo_2_10_09_2D_Elute_250mM_091003224106.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-21	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	Micyo_2_10_09_2D_Elute_25mM.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-22	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	Micyo_2_10_09_2D_Elute_25mM_091003161355.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-23	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	Micyo_2_10_09_2D_Elute_30mM.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-24	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	Micyo_2_10_09_2D_Elute_30mM_091003173121.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-25	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	Micyo_2_10_09_2D_Elute_40mM.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-26	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	Micyo_2_10_09_2D_Elute_500mM.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-27	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	Micyo_2_10_09_2D_Elute_500mM_091003235831.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-28	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	Micyo_2_10_09_2D_Elute_50mM.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-29	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	Micyo_2_10_09_2D_Elute_50mM_091003200613.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-30	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	Micyo_2_10_09_2D_Elute_5mM.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-31	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 31	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	1-2_Pellet.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-32	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 32	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	3-2_Pellet.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-33	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	4_Digitonin.raw	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-34	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 34	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	Micyo_2_10_09_2D_Elute_1000mM_091004011557.RAW	v1.1.0	HAMLET-agentic v2.1.0	virulent
PXD000118-Sample-35	Mesomycoplasma hyopneumoniae	cell suspension culture	virulent	not available	not available	not available	run 35	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	LTQ Velos Pro, LTQ FT Ultra	NT=Trypsin;AC=MS:1001251	not available	not available	not available	fractionation method (digitonin, Tween 20, SDS, insoluble pellet, non-DDF)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	0.4 Da, 10 ppm	ion trap	350m/z-1750m/z	Micyo_2_10_09_2D_Elute_15mM.RAW	v1.1.0	HAMLET-agentic v2.1.0	virulent
