source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000605-Sample-11	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_27.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-12	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_27.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-13	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_3.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-14	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_3.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-15	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_3.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-16	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_3.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-17	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_31.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-18	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_31.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-19	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_31.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-20	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_31.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-21	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_33.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-22	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_33.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-23	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_33.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-24	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_33.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-25	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_35.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-26	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_35.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-27	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_35.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-28	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_35.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-29	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_45.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-30	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_45.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-31	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_45.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-32	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_45.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-33	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_47.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
PXD000605-Sample-34	Homo sapiens	plasma	normal	not available	male	29±2 years old	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=Orbitrap Velos Pro;AC=MS:1003096	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	condition (baseline, after RIPC)	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Representative mass and accurate mass for 116 & 117;AC=UNIMOD:214;MT=Variable;TA=C	NT=Proline oxidation to pyrrolidinone;AC=UNIMOD:360;MT=Variable;TA=P	NT=Accurate mass for 115;AC=UNIMOD:533;MT=Variable;TA=C	10 ppm	0.6 Da	orbitrap	EH_Exp1_47.raw	v1.1.0	HAMLET-agentic v2.1.0	normal
