source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD004242-Sample-34	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 34	proteomic profiling by mass spectrometry	not available	not available	Q Exactive HF	not available	not available	not available	not available	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150624_QEp1_LC7_PhGe_SA_Plate2A_36_1.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-35	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 35	proteomic profiling by mass spectrometry	not available	not available	Q Exactive HF	not available	not available	not available	not available	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150618_QEp1_LC7_PhGe_SA_Plate1B_11_3.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-36	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 36	proteomic profiling by mass spectrometry	not available	not available	Q Exactive HF	not available	not available	not available	not available	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150917_QEp1_LC7_PhGe_SA_Plate2A_25_1.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-37	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 37	proteomic profiling by mass spectrometry	not available	not available	Q Exactive HF	not available	not available	not available	not available	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150618_QEp1_LC7_PhGe_SA_Plate1B_41_1.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-38	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 38	proteomic profiling by mass spectrometry	not available	not available	Q Exactive HF	not available	not available	not available	not available	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150811_QEp1_LC7_PhGe_SA_Plate2B_21_2.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-39	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 39	proteomic profiling by mass spectrometry	not available	not available	Q Exactive HF	not available	not available	not available	not available	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150725_QEp1_LC7_PhGe_SA_Plate3B_39_2.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-40	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 40	proteomic profiling by mass spectrometry	not available	not available	Q Exactive HF	not available	not available	not available	not available	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150827_QEp1_LC7_PhGe_SA_Plate2C_21_2.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-41	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 41	proteomic profiling by mass spectrometry	not available	not available	Q Exactive HF	not available	not available	not available	not available	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150618_QEp1_LC7_PhGe_SA_Plate1B_30_2.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-42	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 42	proteomic profiling by mass spectrometry	not available	not available	Q Exactive HF	not available	not available	not available	not available	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150901_QEp1_LC7_PhGe_SA_Plate1E_57_1.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-43	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 43	proteomic profiling by mass spectrometry	not available	not available	Q Exactive HF	not available	not available	not available	not available	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150912_QEp1_LC7_PhGe_SA_Plate3D_23_2.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-44	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 44	proteomic profiling by mass spectrometry	not available	not available	Q Exactive HF	not available	not available	not available	not available	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150912_QEp1_LC7_PhGe_SA_Plate3D_40_5.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-45	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 45	proteomic profiling by mass spectrometry	not available	not available	Q Exactive HF	not available	not available	not available	not available	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150907_QEp1_LC7_PhGe_SA_Plate2D_21_6.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-46	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 46	proteomic profiling by mass spectrometry	not available	not available	Q Exactive HF	not available	not available	not available	not available	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150701_QEp1_LC7_PhGe_SA_Plate3A_48_3.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-47	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 47	proteomic profiling by mass spectrometry	not available	not available	Q Exactive HF	not available	not available	not available	not available	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150805_QEp1_LC7_PhGe_SA_Plate1D_57_4.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-48	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 48	proteomic profiling by mass spectrometry	not available	not available	Q Exactive HF	not available	not available	not available	not available	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150618_QEp1_LC7_PhGe_SA_Plate1B_53_1.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-49	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 49	proteomic profiling by mass spectrometry	not available	not available	Q Exactive HF	not available	not available	not available	not available	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150824_QEp1_LC7_PhGe_SA_Plate4D_43_4.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-50	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 50	proteomic profiling by mass spectrometry	not available	not available	Q Exactive HF	not available	not available	not available	not available	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150624_QEp1_LC7_PhGe_SA_Plate2A_36_4.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-51	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 51	proteomic profiling by mass spectrometry	not available	not available	Q Exactive HF	not available	not available	not available	not available	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150805_QEp1_LC7_PhGe_SA_Plate1D_41_5.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-52	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 52	proteomic profiling by mass spectrometry	not available	not available	Q Exactive HF	not available	not available	not available	not available	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150811_QEp1_LC7_PhGe_SA_Plate2B_29_7.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-53	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 53	proteomic profiling by mass spectrometry	not available	not available	Q Exactive HF	not available	not available	not available	not available	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150917_QEp1_LC7_PhGe_SA_Plate4C_58_5.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-54	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 54	proteomic profiling by mass spectrometry	not available	not available	Q Exactive HF	not available	not available	not available	not available	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150701_QEp1_LC7_PhGe_SA_Plate3A_46_4.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-55	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 55	proteomic profiling by mass spectrometry	not available	not available	Q Exactive HF	not available	not available	not available	not available	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150624_QEp1_LC7_PhGe_SA_Plate2A_38_3.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
PXD004242-Sample-56	Homo sapiens	plasma	obesity	not available	female, male	18-65	run 56	proteomic profiling by mass spectrometry	not available	not available	Q Exactive HF	not available	not available	not available	not available	time point (week -8, week 0, week 4, week 13, week 26, week 39, week 52), weight loss, weight maintenance, liraglutide treatment	not available	Orbitrap	20150618_QEp1_LC7_PhGe_SA_Plate1B_1_7.raw	v1.1.0	HAMLET-agentic v2.2.5	obesity
