source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD006195-Sample-11	Escherichia coli	not available	normal	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	not available	not available	Orbitrap Elite	NT=Trypsin;AC=MS:1001251	not available	not available	not available	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII23127.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-12	Escherichia coli	not available	normal	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII13387.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-13	Escherichia coli	not available	normal	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII23111.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-14	Escherichia coli	not available	normal	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII13393.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-15	Escherichia coli	not available	normal	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII13375.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-16	Escherichia coli	not available	normal	not available	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII13389.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-17	Escherichia coli	not available	normal	not available	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII23115.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-18	Escherichia coli	not available	normal	not available	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII13379.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-19	Escherichia coli	not available	normal	not available	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII13365.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-20	Escherichia coli	not available	normal	not available	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII23121.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-21	Escherichia coli	not available	normal	not available	not available	not available	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII13381.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-22	Escherichia coli	not available	normal	not available	not available	not available	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII23097.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-23	Escherichia coli	not available	normal	not available	not available	not available	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII23099.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-24	Escherichia coli	not available	normal	not available	not available	not available	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII23119.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-25	Escherichia coli	not available	normal	not available	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII13367.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-26	Escherichia coli	not available	normal	not available	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII13373.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-27	Escherichia coli	not available	normal	not available	not available	not available	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII13361.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-28	Escherichia coli	not available	normal	not available	not available	not available	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII13383.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-29	Escherichia coli	not available	normal	not available	not available	not available	run 29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII13391.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-30	Escherichia coli	not available	normal	not available	not available	not available	run 30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII23093.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-31	Escherichia coli	not available	normal	not available	not available	not available	run 31	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII23105.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-32	Escherichia coli	not available	normal	not available	not available	not available	run 32	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII23129.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-33	Escherichia coli	not available	normal	not available	not available	not available	run 33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII23125.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-34	Escherichia coli	not available	normal	not available	not available	not available	run 34	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII13395.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-35	Escherichia coli	not available	normal	not available	not available	not available	run 35	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII23095.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD006195-Sample-36	Escherichia coli	not available	normal	not available	not available	not available	run 36	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Orbitrap Elite;AC=MS:1001910	NT=Trypsin;AC=MS:1001251	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	bait protein (Strep-tag, Strep-LpxC, His6-MBP, His6-MBP-FtsH), growth temperature (30°C, 37°C, 40°C)	NT=monohydroxylated residue;AC=MOD:00425;MT=?	NT=6x(13)C labeled residue;AC=MOD:00544;MT=?	Orbitrap	35%	OEII23113.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
