source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD031991-Sample-11	Homo sapiens, Capsaspora owczarzaki, Corallochytrium limacisporum, Creolimax fragrantissima, Spizellomyces punctatus, Thecamonas trahens, Chlamydomonas reinhardtii, Guillardia theta, Emiliania huxleyi, Thalassiosira pseudonana, Bigelowiella natans, Naegleria gruberi, Gefionella okellyi, Fabomonas tropica, Physcomitrella patens, Sycon ciliatum, Phytophthora infestans, Methanobrevibacter cuticularis, Methanospirillum stamsii, Methanosarcina spelaei, Nitrososphaera viennensis	sponges	normal	ES cells	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	taxonomic group (eukaryotes, archaea)	NT=dimethylated residue;AC=MOD:00429;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	beta-mercaptoethanol	150508_S_ASIR_01_01_Capsa1_HCD.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD031991-Sample-12	Homo sapiens, Capsaspora owczarzaki, Corallochytrium limacisporum, Creolimax fragrantissima, Spizellomyces punctatus, Thecamonas trahens, Chlamydomonas reinhardtii, Guillardia theta, Emiliania huxleyi, Thalassiosira pseudonana, Bigelowiella natans, Naegleria gruberi, Gefionella okellyi, Fabomonas tropica, Physcomitrella patens, Sycon ciliatum, Phytophthora infestans, Methanobrevibacter cuticularis, Methanospirillum stamsii, Methanosarcina spelaei, Nitrososphaera viennensis	sponges	normal	ES cells	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	taxonomic group (eukaryotes, archaea)	NT=dimethylated residue;AC=MOD:00429;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	beta-mercaptoethanol	2021MH000_CRNA_002_02.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD031991-Sample-13	Homo sapiens, Capsaspora owczarzaki, Corallochytrium limacisporum, Creolimax fragrantissima, Spizellomyces punctatus, Thecamonas trahens, Chlamydomonas reinhardtii, Guillardia theta, Emiliania huxleyi, Thalassiosira pseudonana, Bigelowiella natans, Naegleria gruberi, Gefionella okellyi, Fabomonas tropica, Physcomitrella patens, Sycon ciliatum, Phytophthora infestans, Methanobrevibacter cuticularis, Methanospirillum stamsii, Methanosarcina spelaei, Nitrososphaera viennensis	sponges	normal	ES cells	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	taxonomic group (eukaryotes, archaea)	NT=dimethylated residue;AC=MOD:00429;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	beta-mercaptoethanol	150512_S_ASIR_02_02_Capsa1_PIC_II_CID.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD031991-Sample-14	Homo sapiens, Capsaspora owczarzaki, Corallochytrium limacisporum, Creolimax fragrantissima, Spizellomyces punctatus, Thecamonas trahens, Chlamydomonas reinhardtii, Guillardia theta, Emiliania huxleyi, Thalassiosira pseudonana, Bigelowiella natans, Naegleria gruberi, Gefionella okellyi, Fabomonas tropica, Physcomitrella patens, Sycon ciliatum, Phytophthora infestans, Methanobrevibacter cuticularis, Methanospirillum stamsii, Methanosarcina spelaei, Nitrososphaera viennensis	sponges	normal	ES cells	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	taxonomic group (eukaryotes, archaea)	NT=dimethylated residue;AC=MOD:00429;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	beta-mercaptoethanol	161220_S_ASIR_01_01_2ug_CID_IT.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD031991-Sample-15	Homo sapiens, Capsaspora owczarzaki, Corallochytrium limacisporum, Creolimax fragrantissima, Spizellomyces punctatus, Thecamonas trahens, Chlamydomonas reinhardtii, Guillardia theta, Emiliania huxleyi, Thalassiosira pseudonana, Bigelowiella natans, Naegleria gruberi, Gefionella okellyi, Fabomonas tropica, Physcomitrella patens, Sycon ciliatum, Phytophthora infestans, Methanobrevibacter cuticularis, Methanospirillum stamsii, Methanosarcina spelaei, Nitrososphaera viennensis	sponges	normal	ES cells	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	taxonomic group (eukaryotes, archaea)	NT=dimethylated residue;AC=MOD:00429;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	beta-mercaptoethanol	160308_S_Histone_Human_PIC_01_02_2ug_CID.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD031991-Sample-16	Homo sapiens, Capsaspora owczarzaki, Corallochytrium limacisporum, Creolimax fragrantissima, Spizellomyces punctatus, Thecamonas trahens, Chlamydomonas reinhardtii, Guillardia theta, Emiliania huxleyi, Thalassiosira pseudonana, Bigelowiella natans, Naegleria gruberi, Gefionella okellyi, Fabomonas tropica, Physcomitrella patens, Sycon ciliatum, Phytophthora infestans, Methanobrevibacter cuticularis, Methanospirillum stamsii, Methanosarcina spelaei, Nitrososphaera viennensis	sponges	normal	ES cells	not available	not available	not available	run 16	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	taxonomic group (eukaryotes, archaea)	NT=dimethylated residue;AC=MOD:00429;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	beta-mercaptoethanol	150527_S_ASIR_06_01_Human_HCD.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD031991-Sample-17	Homo sapiens, Capsaspora owczarzaki, Corallochytrium limacisporum, Creolimax fragrantissima, Spizellomyces punctatus, Thecamonas trahens, Chlamydomonas reinhardtii, Guillardia theta, Emiliania huxleyi, Thalassiosira pseudonana, Bigelowiella natans, Naegleria gruberi, Gefionella okellyi, Fabomonas tropica, Physcomitrella patens, Sycon ciliatum, Phytophthora infestans, Methanobrevibacter cuticularis, Methanospirillum stamsii, Methanosarcina spelaei, Nitrososphaera viennensis	sponges	normal	ES cells	not available	not available	not available	run 17	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	taxonomic group (eukaryotes, archaea)	NT=dimethylated residue;AC=MOD:00429;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	beta-mercaptoethanol	160308_S_Histone_Sycon1_PIC_01_02_2ug_CID.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD031991-Sample-18	Homo sapiens, Capsaspora owczarzaki, Corallochytrium limacisporum, Creolimax fragrantissima, Spizellomyces punctatus, Thecamonas trahens, Chlamydomonas reinhardtii, Guillardia theta, Emiliania huxleyi, Thalassiosira pseudonana, Bigelowiella natans, Naegleria gruberi, Gefionella okellyi, Fabomonas tropica, Physcomitrella patens, Sycon ciliatum, Phytophthora infestans, Methanobrevibacter cuticularis, Methanospirillum stamsii, Methanosarcina spelaei, Nitrososphaera viennensis	sponges	normal	ES cells	not available	not available	not available	run 18	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	taxonomic group (eukaryotes, archaea)	NT=dimethylated residue;AC=MOD:00429;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	beta-mercaptoethanol	150527_S_ASIR_30_03_HCD_Corallochytrium.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD031991-Sample-19	Homo sapiens, Capsaspora owczarzaki, Corallochytrium limacisporum, Creolimax fragrantissima, Spizellomyces punctatus, Thecamonas trahens, Chlamydomonas reinhardtii, Guillardia theta, Emiliania huxleyi, Thalassiosira pseudonana, Bigelowiella natans, Naegleria gruberi, Gefionella okellyi, Fabomonas tropica, Physcomitrella patens, Sycon ciliatum, Phytophthora infestans, Methanobrevibacter cuticularis, Methanospirillum stamsii, Methanosarcina spelaei, Nitrososphaera viennensis	sponges	normal	ES cells	not available	not available	not available	run 19	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	taxonomic group (eukaryotes, archaea)	NT=dimethylated residue;AC=MOD:00429;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	beta-mercaptoethanol	160427_S_Histones_02_01_physco_CID.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD031991-Sample-20	Homo sapiens, Capsaspora owczarzaki, Corallochytrium limacisporum, Creolimax fragrantissima, Spizellomyces punctatus, Thecamonas trahens, Chlamydomonas reinhardtii, Guillardia theta, Emiliania huxleyi, Thalassiosira pseudonana, Bigelowiella natans, Naegleria gruberi, Gefionella okellyi, Fabomonas tropica, Physcomitrella patens, Sycon ciliatum, Phytophthora infestans, Methanobrevibacter cuticularis, Methanospirillum stamsii, Methanosarcina spelaei, Nitrososphaera viennensis	sponges	normal	ES cells	not available	not available	not available	run 20	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	taxonomic group (eukaryotes, archaea)	NT=dimethylated residue;AC=MOD:00429;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	beta-mercaptoethanol	150527_S_ASIR_26_01_Spizello1_HCD.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD031991-Sample-21	Homo sapiens, Capsaspora owczarzaki, Corallochytrium limacisporum, Creolimax fragrantissima, Spizellomyces punctatus, Thecamonas trahens, Chlamydomonas reinhardtii, Guillardia theta, Emiliania huxleyi, Thalassiosira pseudonana, Bigelowiella natans, Naegleria gruberi, Gefionella okellyi, Fabomonas tropica, Physcomitrella patens, Sycon ciliatum, Phytophthora infestans, Methanobrevibacter cuticularis, Methanospirillum stamsii, Methanosarcina spelaei, Nitrososphaera viennensis	sponges	normal	ES cells	not available	not available	not available	run 21	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	taxonomic group (eukaryotes, archaea)	NT=dimethylated residue;AC=MOD:00429;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	beta-mercaptoethanol	150508_S_ASIR_02_02_Capsa1_CID.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD031991-Sample-22	Homo sapiens, Capsaspora owczarzaki, Corallochytrium limacisporum, Creolimax fragrantissima, Spizellomyces punctatus, Thecamonas trahens, Chlamydomonas reinhardtii, Guillardia theta, Emiliania huxleyi, Thalassiosira pseudonana, Bigelowiella natans, Naegleria gruberi, Gefionella okellyi, Fabomonas tropica, Physcomitrella patens, Sycon ciliatum, Phytophthora infestans, Methanobrevibacter cuticularis, Methanospirillum stamsii, Methanosarcina spelaei, Nitrososphaera viennensis	sponges	normal	ES cells	not available	not available	not available	run 22	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	taxonomic group (eukaryotes, archaea)	NT=dimethylated residue;AC=MOD:00429;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	beta-mercaptoethanol	150625_S_ASIR_01_03_Acanth1_HCD_Fusion.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD031991-Sample-23	Homo sapiens, Capsaspora owczarzaki, Corallochytrium limacisporum, Creolimax fragrantissima, Spizellomyces punctatus, Thecamonas trahens, Chlamydomonas reinhardtii, Guillardia theta, Emiliania huxleyi, Thalassiosira pseudonana, Bigelowiella natans, Naegleria gruberi, Gefionella okellyi, Fabomonas tropica, Physcomitrella patens, Sycon ciliatum, Phytophthora infestans, Methanobrevibacter cuticularis, Methanospirillum stamsii, Methanosarcina spelaei, Nitrososphaera viennensis	sponges	normal	ES cells	not available	not available	not available	run 23	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	taxonomic group (eukaryotes, archaea)	NT=dimethylated residue;AC=MOD:00429;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	beta-mercaptoethanol	150527_S_ASIR_13_01_Phyto1_HCD.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD031991-Sample-24	Homo sapiens, Capsaspora owczarzaki, Corallochytrium limacisporum, Creolimax fragrantissima, Spizellomyces punctatus, Thecamonas trahens, Chlamydomonas reinhardtii, Guillardia theta, Emiliania huxleyi, Thalassiosira pseudonana, Bigelowiella natans, Naegleria gruberi, Gefionella okellyi, Fabomonas tropica, Physcomitrella patens, Sycon ciliatum, Phytophthora infestans, Methanobrevibacter cuticularis, Methanospirillum stamsii, Methanosarcina spelaei, Nitrososphaera viennensis	sponges	normal	ES cells	not available	not available	not available	run 24	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	taxonomic group (eukaryotes, archaea)	NT=dimethylated residue;AC=MOD:00429;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	beta-mercaptoethanol	2020MH001_CRNA_002_02_20pto.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD031991-Sample-25	Homo sapiens, Capsaspora owczarzaki, Corallochytrium limacisporum, Creolimax fragrantissima, Spizellomyces punctatus, Thecamonas trahens, Chlamydomonas reinhardtii, Guillardia theta, Emiliania huxleyi, Thalassiosira pseudonana, Bigelowiella natans, Naegleria gruberi, Gefionella okellyi, Fabomonas tropica, Physcomitrella patens, Sycon ciliatum, Phytophthora infestans, Methanobrevibacter cuticularis, Methanospirillum stamsii, Methanosarcina spelaei, Nitrososphaera viennensis	sponges	normal	ES cells	not available	not available	not available	run 25	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	taxonomic group (eukaryotes, archaea)	NT=dimethylated residue;AC=MOD:00429;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	beta-mercaptoethanol	150527_S_ASIR_19_01_Bige1_HCD.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD031991-Sample-26	Homo sapiens, Capsaspora owczarzaki, Corallochytrium limacisporum, Creolimax fragrantissima, Spizellomyces punctatus, Thecamonas trahens, Chlamydomonas reinhardtii, Guillardia theta, Emiliania huxleyi, Thalassiosira pseudonana, Bigelowiella natans, Naegleria gruberi, Gefionella okellyi, Fabomonas tropica, Physcomitrella patens, Sycon ciliatum, Phytophthora infestans, Methanobrevibacter cuticularis, Methanospirillum stamsii, Methanosarcina spelaei, Nitrososphaera viennensis	sponges	normal	ES cells	not available	not available	not available	run 26	proteomic profiling by mass spectrometry	not available	label free sample	LTQ-Orbitrap Fusion Lumos	NT=Trypsin;AC=MS:1001251	not available	not available	not available	taxonomic group (eukaryotes, archaea)	NT=dimethylated residue;AC=MOD:00429;MT=?	NT=acetylated residue;AC=MOD:00394;MT=?	NT=monomethylated residue;AC=MOD:00599;MT=?	beta-mercaptoethanol	150527_S_ASIR_37_03_HCD_Thecamonas.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
