source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[cellosaurus accession]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000551-Sample-13	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 13	proteomic profiling by mass spectrometry	not available	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	L17968_1325_Petra_S37p_Aunt_90531_28-32-2.raw	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-14	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 14	proteomic profiling by mass spectrometry	not available	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	not available	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	L17972_1325_Petra_S37p_Aunt_90531_28-32-6.raw	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-15	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 15	proteomic profiling by mass spectrometry	not available	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	L17979_1325_Petra_S37p_Aunt_90531_28-32-13.raw	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-16	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 16	proteomic profiling by mass spectrometry	not available	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	L18360_1323_hNaa10p-S37P_father_proband1_89325_wt_M_20-24-6.raw	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-17	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 17	proteomic profiling by mass spectrometry	not available	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	L18457_1324_hNaa10p-S37P_grandmother_proband1_90528_carrier_F_24-28-8.raw	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-18	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	not available	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	R11674_Petra_988_Patient5_S37P_24-28-9.raw	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-19	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	R11693_Petra_988_Patient5_S37P_20-24-10.raw	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-20	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	R11694_Petra_988_Patient5_S37P_20-24-11.raw	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-21	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	R11697_Petra_988_Patient5_S37P_20-24-14.raw	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-22	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 22	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	R11709_Petra_1001_Patient7_S37P_28-32-8.raw	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-23	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 23	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	not available	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	R11711_Petra_1001_Patient7_S37P_28-32-10.raw	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-24	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	R11729_Petra_1001_Patient7_S37P_24-28-10.raw	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-25	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	R11752_Petra_1001_Patient7_S37P_20-24-15.raw	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-26	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	R11774_Petra_988_Patient8_S37P_24-28-1.raw	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-27	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	R11782_Petra_988_Patient8_S37P_24-28-9.raw	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-28	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	R11804_Petra_988_Patient8_S37P_20-24-13.raw	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-29	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	R11828_Petra_1001_Patient12_S37P_24-28-1.raw	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-30	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	R11835_Petra_1001_Patient12_S37P_24-28-8.raw	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-31	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 31	proteomic profiling by mass spectrometry	not available	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	R11765_Petra_988_Patient8_S37P_28-32-10.RAW	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-32	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 32	proteomic profiling by mass spectrometry	not available	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	R11821_Petra_1001_Patient12_S37P_28-32-12.RAW	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-33	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 33	proteomic profiling by mass spectrometry	not available	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	R11832_Petra_1001_Patient12_S37P_24-28-5.RAW	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-34	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 34	proteomic profiling by mass spectrometry	not available	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	L17206_1223_Petra_hNaa10p_S37P_patient3_90688_28-32-14.RAW	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-35	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 35	proteomic profiling by mass spectrometry	not available	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	L13087_Petra_S37P_patient1_89323proband_28-32-13.RAW	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-36	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 36	proteomic profiling by mass spectrometry	not available	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	L17995_1325_Petra_S37p_Aunt_90531_24-28-11.RAW	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-37	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 37	proteomic profiling by mass spectrometry	not available	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	R11760_Petra_988_Patient8_S37P_28-32-5.RAW	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
PXD000551-Sample-38	Homo sapiens	blood, skin	ogden syndrome	B cells, fibroblasts	BJ	not available	not available	male	newborn	run 38	proteomic profiling by mass spectrometry	not available	not available	LTQ Orbitrap XL, LTQ Orbitrap Velos	not available	not available	not available	NT=collision-induced dissociation;AC=MS:1000133	genotype/condition (hNaa10-WT, hNaa10-S37P, WT-hTERT, S37P-hTERT)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	10 ppm	0.5 m/z	orbitrap	R11727_Petra_1001_Patient7_S37P_24-28-8.RAW	v1.1.0	HAMLET-agentic v2.1.0	ogden syndrome
