source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000561-Sample-11	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Adult_Kidney_Gel_Elite_55_f01.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-12	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Fetal_Testis_bRP_Elite_26_f22.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-13	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Fetal_Placenta_Gel_Velos_14_f20.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-14	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Fetal_Placenta_Gel_Velos_14_f15.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-15	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Adult_Colon_Gel_Elite_51_f19.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-16	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Adult_Prostate_Gel_Elite_62_f24.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-17	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Fetal_Brain_bRP_Elite_15_f15.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-18	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Fetal_Brain_bRP_Elite_15_f12.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-19	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Adult_CD8Tcells_bRP_Velos_43_f11.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-20	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Adult_Esophagus_bRP_Velos_3_f11.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-21	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Adult_Bcells_bRP_Velos_42_f05.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-22	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 22	proteomic profiling by mass spectrometry	not available	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	not available	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Adult_Heart_bRP_Elite_39_f23.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-23	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 23	proteomic profiling by mass spectrometry	not available	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	not available	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Adult_NKcells_bRP_Velos_46_f23.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-24	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 24	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Adult_Platelets_bRP_Velos_35_f16.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-25	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 25	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Adult_Retina_bRP_Elite_64_f05.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-26	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Adult_CD4Tcells_bRP_Elite_28_f12.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-27	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Adult_Kidney_Gel_Elite_55_f04.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-28	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Adult_Platelets_Gel_Elite_48_f18.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-29	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Adult_Bcells_bRP_Velos_42_f03.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-30	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Fetal_Gut_bRP_Elite_17_f10.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-31	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 31	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Fetal_Placenta_Gel_Velos_14_f08.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-32	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 32	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Adult_CD8Tcells_Gel_Velos_45_f30.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-33	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Adult_Prostate_Gel_Elite_62_f10.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-34	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 34	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Fetal_Ovary_bRP_Elite_25_f02.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-35	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 35	proteomic profiling by mass spectrometry	not available	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	not available	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Adult_Testis_bRP_Elite_68_f18.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-36	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 36	proteomic profiling by mass spectrometry	not available	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	not available	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Adult_Testis_bRP_Elite_68_f09.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-37	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 37	proteomic profiling by mass spectrometry	not available	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	not available	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Fetal_Heart_Gel_Velos_73_f21.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-38	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 38	proteomic profiling by mass spectrometry	not available	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	not available	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Fetal_Placenta_bRP_Elite_79_f21.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-39	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 39	proteomic profiling by mass spectrometry	not available	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	not available	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Adult_Liver_Gel_Elite_83_f19.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-40	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 40	proteomic profiling by mass spectrometry	not available	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	not available	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Adult_Platelets_Gel_Velos_36_f18.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
PXD000561-Sample-41	Homo sapiens	tissues	normal	hematopoietic cells	not available	not available	not available	run 41	proteomic profiling by mass spectrometry	not available	not available	LTQ-Orbitrap Velos, LTQ-Orbitrap Elite	not available	not available	not available	not available	tissue/cell type (adult tissues, fetal tissues, hematopoietic cells)	NT=acetylated residue;AC=MOD:00394;MT=?	NT=L-methionine sulfoxide;AC=MOD:00719;MT=?	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	Orbitrap	Adult_Bcells_Gel_Elite_76_f22.raw	v1.1.0	HAMLET-agentic v2.2.5	normal
