source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000604-Sample-11	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100409_Exp1_fr29.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-12	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 3	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100409_Exp1_fr29.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-13	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100409_Exp1_fr30.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-14	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100409_Exp1_fr30.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-15	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100409_Exp1_fr30.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-16	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 4	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100409_Exp1_fr30.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-17	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100409_Exp2_fr28.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-18	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100409_Exp2_fr28.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-19	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100409_Exp2_fr28.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-20	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 5	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100409_Exp2_fr28.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-21	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100507_Exp1_fr35.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-22	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100507_Exp1_fr35.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-23	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100507_Exp1_fr35.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-24	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 6	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100507_Exp1_fr35.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-25	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	not applicable	orbitrap	100507_Exp1_fr39.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-26	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	not applicable	orbitrap	100507_Exp1_fr39.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-27	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	not applicable	orbitrap	100507_Exp1_fr39.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-28	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 7	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	not applicable	orbitrap	100507_Exp1_fr39.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-29	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100507_Exp1_fr41.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-30	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100507_Exp1_fr41.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-31	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100507_Exp1_fr41.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-32	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 8	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100507_Exp1_fr41.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-33	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100507_Exp1_fr48.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-34	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100507_Exp1_fr48.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-35	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100507_Exp1_fr48.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-36	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 9	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	orbitrap	100507_Exp1_fr48.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-37	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	not applicable	orbitrap	100507_Exp1_fr50.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-38	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ115	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	not applicable	orbitrap	100507_Exp1_fr50.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-39	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ116	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	not applicable	orbitrap	100507_Exp1_fr50.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-40	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 10	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ117	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	not applicable	orbitrap	100507_Exp1_fr50.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
PXD000604-Sample-41	Homo sapiens	adrenal gland	malignant and benign adrenocortical tumors	tumor cells	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	iTRAQ114	NT=LTQ Orbitrap Velos;AC=MS:1001742	not available	not available	not available	not available	tumor type (malignant, benign)	NT=TMT6plex;AC=UNIMOD:730;MT=Variable;TA=K	NT=ubiquitinylation residue;AC=UNIMOD:121;MT=Variable;TA=C	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Variable;TA=C	orbitrap	100507_Exp1_fr51.raw	v1.1.0	HAMLET-agentic v2.1.0	malignant and benign adrenocortical tumors
