source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	comment[modification parameters]	comment[reduction reagent]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD013753-Sample-11	Homo sapiens	brain	alzheimer’s disease, normal	synaptoneurosomes	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	TW-6.raw	v1.1.0	HAMLET-agentic v2.2.5	alzheimer’s disease, normal
PXD013753-Sample-12	Homo sapiens	brain	alzheimer’s disease, normal	synaptoneurosomes	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	TW-17.raw	v1.1.0	HAMLET-agentic v2.2.5	alzheimer’s disease, normal
PXD013753-Sample-13	Homo sapiens	brain	alzheimer’s disease, normal	synaptoneurosomes	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	TW-8.raw	v1.1.0	HAMLET-agentic v2.2.5	alzheimer’s disease, normal
PXD013753-Sample-14	Homo sapiens	brain	alzheimer’s disease, normal	synaptoneurosomes	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	TW-16.raw	v1.1.0	HAMLET-agentic v2.2.5	alzheimer’s disease, normal
PXD013753-Sample-15	Homo sapiens	brain	alzheimer’s disease, normal	synaptoneurosomes	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	TW-5.raw	v1.1.0	HAMLET-agentic v2.2.5	alzheimer’s disease, normal
PXD013753-Sample-16	Homo sapiens	brain	alzheimer’s disease, normal	synaptoneurosomes	not available	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	TW-14.raw	v1.1.0	HAMLET-agentic v2.2.5	alzheimer’s disease, normal
PXD013753-Sample-17	Homo sapiens	brain	alzheimer’s disease, normal	synaptoneurosomes	not available	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	TW-3.raw	v1.1.0	HAMLET-agentic v2.2.5	alzheimer’s disease, normal
PXD013753-Sample-18	Homo sapiens	brain	alzheimer’s disease, normal	synaptoneurosomes	not available	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	TW-15.raw	v1.1.0	HAMLET-agentic v2.2.5	alzheimer’s disease, normal
PXD013753-Sample-19	Homo sapiens	brain	alzheimer’s disease, normal	synaptoneurosomes	not available	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	TW-18.raw	v1.1.0	HAMLET-agentic v2.2.5	alzheimer’s disease, normal
PXD013753-Sample-20	Homo sapiens	brain	alzheimer’s disease, normal	synaptoneurosomes	not available	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=Q Exactive HF;AC=MS:1002523	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	NT=iodoacetamide derivatized residue;AC=MOD:00397;MT=?	dithiothreitol	Orbitrap	TW-9.raw	v1.1.0	HAMLET-agentic v2.2.5	alzheimer’s disease, normal
