source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[ms2 mass analyzer]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD000272-Sample-11	Mus musculus	liver	longevity	not available	male	7–8 months, 30–32 months	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	diet (AL, DR), strain (C57Bl/6, ICRFa), age (young, old)	not available	orbitrap	091204_20_SM_TMT1_12_M.raw	v1.1.0	HAMLET-agentic v2.1.0	longevity
PXD000272-Sample-12	Mus musculus	liver	longevity	not available	male	7–8 months, 30–32 months	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	diet (AL, DR), strain (C57Bl/6, ICRFa), age (young, old)	not available	orbitrap	100215_02_SM_TMT2_1_R.raw	v1.1.0	HAMLET-agentic v2.1.0	longevity
PXD000272-Sample-13	Mus musculus	liver	longevity	not available	male	7–8 months, 30–32 months	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	diet (AL, DR), strain (C57Bl/6, ICRFa), age (young, old)	not available	orbitrap	100215_03_SM_TMT2_2_R.raw	v1.1.0	HAMLET-agentic v2.1.0	longevity
PXD000272-Sample-14	Mus musculus	liver	longevity	not available	male	7–8 months, 30–32 months	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	diet (AL, DR), strain (C57Bl/6, ICRFa), age (young, old)	not available	orbitrap	100215_04_SM_TMT2_3_R.raw	v1.1.0	HAMLET-agentic v2.1.0	longevity
PXD000272-Sample-15	Mus musculus	liver	longevity	not available	male	7–8 months, 30–32 months	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	diet (AL, DR), strain (C57Bl/6, ICRFa), age (young, old)	not available	orbitrap	100215_05_SM_TMT2_4_R.raw	v1.1.0	HAMLET-agentic v2.1.0	longevity
PXD000272-Sample-16	Mus musculus	liver	longevity	not available	male	7–8 months, 30–32 months	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	diet (AL, DR), strain (C57Bl/6, ICRFa), age (young, old)	not available	orbitrap	100215_06_SM_TMT2_5_R.raw	v1.1.0	HAMLET-agentic v2.1.0	longevity
PXD000272-Sample-17	Mus musculus	liver	longevity	not available	male	7–8 months, 30–32 months	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	diet (AL, DR), strain (C57Bl/6, ICRFa), age (young, old)	not available	orbitrap	100215_07_SM_TMT2_6_R.raw	v1.1.0	HAMLET-agentic v2.1.0	longevity
PXD000272-Sample-18	Mus musculus	liver	longevity	not available	male	7–8 months, 30–32 months	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	diet (AL, DR), strain (C57Bl/6, ICRFa), age (young, old)	not available	orbitrap	100215_09_SM_TMT2_7_R.raw	v1.1.0	HAMLET-agentic v2.1.0	longevity
PXD000272-Sample-19	Mus musculus	liver	longevity	not available	male	7–8 months, 30–32 months	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	diet (AL, DR), strain (C57Bl/6, ICRFa), age (young, old)	not available	orbitrap	100215_10_SM_TMT2_8_R.raw	v1.1.0	HAMLET-agentic v2.1.0	longevity
PXD000272-Sample-20	Mus musculus	liver	longevity	not available	male	7–8 months, 30–32 months	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	diet (AL, DR), strain (C57Bl/6, ICRFa), age (young, old)	not available	orbitrap	100215_11_SM_TMT2_9_R.raw	v1.1.0	HAMLET-agentic v2.1.0	longevity
PXD000272-Sample-21	Mus musculus	liver	longevity	not available	male	7–8 months, 30–32 months	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	not available	NT=LTQ Orbitrap XL;AC=MS:1000556	not available	not available	not available	not available	diet (AL, DR), strain (C57Bl/6, ICRFa), age (young, old)	not available	orbitrap	100215_12_SM_TMT2_10_R.raw	v1.1.0	HAMLET-agentic v2.1.0	longevity
