source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[ms2 mass analyzer]	comment[collision energy]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD008934-Sample-11	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 11	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1273.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-12	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 12	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1195.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-13	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1004.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-14	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1198.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-15	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1467.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-16	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 16	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1425.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-17	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 17	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1320.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-18	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 18	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1146.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-19	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 19	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1209.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-20	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 20	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1325.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-21	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 21	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1427.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-22	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 22	proteomic profiling by mass spectrometry	not available	label free sample	Q Exactive	NT=Trypsin;AC=MS:1001251	not available	not available	not available	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1086.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-23	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 23	proteomic profiling by mass spectrometry	not available	label free sample	Q Exactive	NT=Trypsin;AC=MS:1001251	not available	not available	not available	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1228.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-24	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 24	proteomic profiling by mass spectrometry	not available	label free sample	Q Exactive	NT=Trypsin;AC=MS:1001251	not available	not available	not available	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1602.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-25	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 25	proteomic profiling by mass spectrometry	not available	label free sample	Q Exactive	NT=Trypsin;AC=MS:1001251	not available	not available	not available	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1200.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-26	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 26	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1339.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-27	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 27	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1605.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-28	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 28	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1290.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-29	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 29	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1366.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-30	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 30	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1510.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-31	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 31	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1379.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-32	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 32	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1472.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-33	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 33	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1375.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
PXD008934-Sample-34	Homo sapiens	left ventricle	heart failure	cardiomyocytes	not available	not available	not available	run 34	proteomic profiling by mass spectrometry	NT=data-dependent acquisition;AC=PRIDE:0000627	label free sample	NT=Q Exactive;AC=MS:1001911	NT=Trypsin;AC=MS:1001251	not available	not available	NT=beam-type collision-induced dissociation;AC=MS:1000422	heart condition (normal, cHyp, HCMpEF, HCMrEF, DCM, ICM)	not available	dithiothreitol	iodoacetamide	Orbitrap	collision energy of 27%	Prosser_1356.raw	v1.1.0	HAMLET-agentic v2.2.5	heart failure
