source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD021874-Sample-15	haloferax volcanii	not available	wild-type (wt) and mutant strains	3	not available	mid- and late-logarithmic growth phases	run 15	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive HFX	not available	3	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (WT, Δagl15, ΔaglB)	6 ppm	8 ppm	20190606_StS_Agl15_SN_Try_Rep2.raw	v1.1.0	HAMLET-agentic v0.1.0	wild-type (wt) and mutant strains
PXD021874-Sample-16	haloferax volcanii	not available	wild-type (wt) and mutant strains	3	not available	mid- and late-logarithmic growth phases	run 16	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive HFX	not available	3	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (WT, Δagl15, ΔaglB)	6 ppm	8 ppm	20190606_StS_AglB_Mem_GluC_Rep2.raw	v1.1.0	HAMLET-agentic v0.1.0	wild-type (wt) and mutant strains
PXD021874-Sample-17	haloferax volcanii	not available	wild-type (wt) and mutant strains	3	not available	mid- and late-logarithmic growth phases	run 17	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive HFX	not available	3	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (WT, Δagl15, ΔaglB)	6 ppm	8 ppm	20190606_StS_AglB_Mem_Try_Rep2.raw	v1.1.0	HAMLET-agentic v0.1.0	wild-type (wt) and mutant strains
PXD021874-Sample-18	haloferax volcanii	not available	wild-type (wt) and mutant strains	3	not available	mid- and late-logarithmic growth phases	run 18	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive HFX	not available	3	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (WT, Δagl15, ΔaglB)	6 ppm	8 ppm	20190606_StS_AglB_SN_Try_Rep2.raw	v1.1.0	HAMLET-agentic v0.1.0	wild-type (wt) and mutant strains
PXD021874-Sample-19	haloferax volcanii	not available	wild-type (wt) and mutant strains	3	not available	mid- and late-logarithmic growth phases	run 19	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive HFX	not available	3	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (WT, Δagl15, ΔaglB)	6 ppm	8 ppm	20190606_StS_H53_Cyt_GluC_Rep2.raw	v1.1.0	HAMLET-agentic v0.1.0	wild-type (wt) and mutant strains
PXD021874-Sample-20	haloferax volcanii	not available	wild-type (wt) and mutant strains	3	not available	mid- and late-logarithmic growth phases	run 20	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive HFX	not available	3	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (WT, Δagl15, ΔaglB)	6 ppm	8 ppm	20190606_StS_H53_Cyt_Try_Rep2.raw	v1.1.0	HAMLET-agentic v0.1.0	wild-type (wt) and mutant strains
PXD021874-Sample-21	haloferax volcanii	not available	wild-type (wt) and mutant strains	3	not available	mid- and late-logarithmic growth phases	run 21	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive HFX	not available	3	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (WT, Δagl15, ΔaglB)	6 ppm	8 ppm	20190607_StS_Agl15_Cyt_GluC_Rep3.raw	v1.1.0	HAMLET-agentic v0.1.0	wild-type (wt) and mutant strains
PXD021874-Sample-22	haloferax volcanii	not available	wild-type (wt) and mutant strains	3	not available	mid- and late-logarithmic growth phases	run 22	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive HFX	not available	3	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (WT, Δagl15, ΔaglB)	6 ppm	8 ppm	20190607_StS_Agl15_Cyt_Try_Rep3.raw	v1.1.0	HAMLET-agentic v0.1.0	wild-type (wt) and mutant strains
PXD021874-Sample-23	haloferax volcanii	not available	wild-type (wt) and mutant strains	3	not available	mid- and late-logarithmic growth phases	run 23	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive HFX	not available	3	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (WT, Δagl15, ΔaglB)	6 ppm	8 ppm	20190607_StS_Agl15_SN_Try_Rep3.raw	v1.1.0	HAMLET-agentic v0.1.0	wild-type (wt) and mutant strains
PXD021874-Sample-24	haloferax volcanii	not available	wild-type (wt) and mutant strains	3	not available	mid- and late-logarithmic growth phases	run 24	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive HFX	not available	3	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (WT, Δagl15, ΔaglB)	6 ppm	8 ppm	20190607_StS_AglB_Cyt_GluC_Rep3.raw	v1.1.0	HAMLET-agentic v0.1.0	wild-type (wt) and mutant strains
PXD021874-Sample-25	haloferax volcanii	not available	wild-type (wt) and mutant strains	3	not available	mid- and late-logarithmic growth phases	run 25	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive HFX	not available	3	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (WT, Δagl15, ΔaglB)	6 ppm	8 ppm	20190607_StS_AglB_Cyt_Try_Rep3.raw	v1.1.0	HAMLET-agentic v0.1.0	wild-type (wt) and mutant strains
PXD021874-Sample-26	haloferax volcanii	not available	wild-type (wt) and mutant strains	3	not available	mid- and late-logarithmic growth phases	run 26	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive HFX	not available	3	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (WT, Δagl15, ΔaglB)	6 ppm	8 ppm	20190607_StS_AglB_Mem_Try_Rep3.raw	v1.1.0	HAMLET-agentic v0.1.0	wild-type (wt) and mutant strains
PXD021874-Sample-27	haloferax volcanii	not available	wild-type (wt) and mutant strains	3	not available	mid- and late-logarithmic growth phases	run 27	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive HFX	not available	3	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (WT, Δagl15, ΔaglB)	6 ppm	8 ppm	20190607_StS_AglB_SN_GluC_Rep3.raw	v1.1.0	HAMLET-agentic v0.1.0	wild-type (wt) and mutant strains
PXD021874-Sample-28	haloferax volcanii	not available	wild-type (wt) and mutant strains	3	not available	mid- and late-logarithmic growth phases	run 28	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive HFX	not available	3	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (WT, Δagl15, ΔaglB)	6 ppm	8 ppm	20190607_StS_AglB_SN_Try_Rep3.raw	v1.1.0	HAMLET-agentic v0.1.0	wild-type (wt) and mutant strains
PXD021874-Sample-29	haloferax volcanii	not available	wild-type (wt) and mutant strains	3	not available	mid- and late-logarithmic growth phases	run 29	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive HFX	not available	3	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (WT, Δagl15, ΔaglB)	6 ppm	8 ppm	20190607_StS_H53_Cyt_Try_Rep3.raw	v1.1.0	HAMLET-agentic v0.1.0	wild-type (wt) and mutant strains
PXD021874-Sample-30	haloferax volcanii	not available	wild-type (wt) and mutant strains	3	not available	mid- and late-logarithmic growth phases	run 30	proteomic profiling by mass spectrometry	data-independent acquisition	label free sample	Q-Exactive HFX	not available	3	3	NT=beam-type collision-induced dissociation;AC=MS:1000422	strain (WT, Δagl15, ΔaglB)	6 ppm	8 ppm	20190607_StS_H53_SN_Try_Rep3.raw	v1.1.0	HAMLET-agentic v0.1.0	wild-type (wt) and mutant strains
