source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[sex]	characteristics[age]	assay name	technology type	comment[proteomics data acquisition method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	factor value[experimental design]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[reduction reagent]	comment[alkylation reagent]	comment[data file]	comment[sdrf version]	comment[sdrf annotation tool]	factor value[disease]
PXD007073-Sample-13	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 13	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150918VS28.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-14	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 14	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160403VS54.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-15	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 15	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150902VS03.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-16	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 16	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150902VS07.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-17	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 17	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160403VS53.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-18	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 18	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160403VS56.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-19	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 19	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160403VS65.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-20	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 20	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150310VS27.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-21	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 21	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150918VS46.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-22	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 22	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160403VS04.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-23	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 23	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20151119VS30.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-24	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 24	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20151119VS33.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-25	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 25	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160403VS63.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-26	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 26	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160423VS32.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-27	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 27	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160403VS36.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-28	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 28	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150823VS40.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-29	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 29	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160403VS12.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-30	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 30	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150918VS45.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-31	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 31	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160403VS42.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-32	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 32	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160403VS49.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-33	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 33	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160403VS59.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-34	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 34	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150918VS38.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-35	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 35	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150902VS19.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-36	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 36	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150918VS34.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-37	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 37	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150310VS26.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-38	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 38	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20151119VS34.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-39	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 39	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160423VS28.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-40	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 40	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20150902VS02.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
PXD007073-Sample-41	Homo sapiens	meninges	meningioma, normal	tumour cells	not available	not available	not available	run 41	proteomic profiling by mass spectrometry	not available	label free sample	not available	NT=Lys-C;AC=MS:1001309	not available	not available	not available	WHO grade (I, II, III, normal healthy human meninges)	NT=Carbamidomethyl;AC=UNIMOD:4;MT=Fixed;TA=C	NT=Oxidation;AC=UNIMOD:35;MT=Variable;TA=M	NT=Phospho;AC=UNIMOD:21;MT=Variable;TA=STY	NT=Deamidation;AC=UNIMOD:7;MT=Variable;TA=NQ	dithiothreitol	iodoacetamide	20160423VS30.raw	v1.1.0	HAMLET-agentic v2.1.0	meningioma, normal
